slot,scene_uid,cluster,robot,family,placement,direction,method,repeat,planner_feasible,physical_run,quality_completed,execution_completed,T_init,T_opt,status,total_plan_wall_s,shared_graph_statistics,endpoint_closure_error_rad,planning_cost_scope,quality_completion_time_s,raw_motion_completion_time_s,T_smooth,T_retime,T_validate,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,solver_return_status,checkpoint_selected,feasible_checkpoint_count,optimizer_native_status,optimizer_elapsed_s,optimizer_stop_at_budget,optimizer_elapsed_beyond_30s,shared_initial_sha256,first_legal_path_s,active_control_count,selected_path_available_s,adopted_updates,dense_min_clearance_m,transitions_actually_modified,predicted_execution_s,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,actual_scan_s,actual_transition_s,actual_wait_s,tracking_p95_rad,actual_endpoint_error_rad,quality_transition_s,dense_geometry_feasible
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B1,1,False,False,,,0.22656712999742012,,no_verified_path_at_primary_checkpoint,30.74853517500742,,,,,,30.27957518999756,,,True,860,419,10,User_Requested_Stop,10.0,0,User_Requested_Stop,30.27957518999756,True,0.2795751899975585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B1,2,False,False,,,0.22620065200317185,,no_verified_path_at_primary_checkpoint,30.654311239995877,,,,,,30.17308098799549,,,True,860,419,10,User_Requested_Stop,10.0,0,User_Requested_Stop,30.17308098799549,True,0.17308098799549043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B2-common,0,False,False,,,38.47104440900148,,graph_connected_but_no_verified_C2_fit,38.47104440900148,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B2-common,1,False,False,,,38.21217714299564,,graph_connected_but_no_verified_C2_fit,38.21217714299564,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B2-common,2,False,False,,,38.36535830497451,,graph_connected_but_no_verified_C2_fit,38.36535830497451,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,Proposed,0,False,False,,,38.47104440900148,,graph_connected_but_no_verified_C2_fit,38.47104440900148,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,Proposed,1,False,False,,,38.21217714299564,,graph_connected_but_no_verified_C2_fit,38.21217714299564,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,Proposed,2,False,False,,,38.36535830497451,,graph_connected_but_no_verified_C2_fit,38.36535830497451,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,A1,0,True,True,True,True,13.281008915000712,30.578447507999954,planner_feasible,45.56337020000501,"{""fine_possible"": 51580, ""fine_discontinuous"": 39349, ""fine_geometry_rejected"": 619, ""fine_collision_rejected"": 0, ""fine_retained"": 11612, ""endpoint_nodes"": 288, ""endpoint_layers"": 28, ""endpoint_possible"": 3047, ""endpoint_retained"": 1011}",0.0,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",26.339000000009207,26.339000000009207,,0.03251718799583614,1.0025959560007323,,,,,User_Requested_Stop,,,User_Requested_Stop,30.578447507999954,True,0.5784475079999538,4dddd640643e20e58e27114f477c3a6b31c9174705a2b5d9b1f29b63f0c5c3d5,13.281008915000712,39,13.281008915000712,0,0.02134013826076319,[],26.13978674875142,26.339000000009207,26.339000000009207,4.4581187540024985,0.999999999999979,0.999999999999979,0.0,0.0007577779859971583,0,0.4824206006918455,0.8154543150752901,9.031223641264852e-05,0.0,0.5045822612420692,0.0,0.0,16.179000000000002,9.961,0.2,0.001,0.001,0.44020985050656336,35.81828230166998,conservative_3d_component_bounding_box_diagonal,0.1500244993510912,0.1500749512597423,0.149972004943807,3.4015053303721495e-05,5.9558173207750336e-05,3.3194773872634735e-16,5.2746300421596514e-05,0.00010026050953222882,4.4703483581542975e-08,3.1648087773571213e-05,4.608640809007883e-05,0.0,0.0,16.179000000004915,9.96100000000405,0.1990000000002432,5.971518943498344e-05,3.149008751313076e-06,9.96100000000405,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0,panda,cylinder,0,v,A1,1,True,False,,,13.296408964990405,30.835628928005463,planner_feasible,45.8613723039889,"{""fine_possible"": 51580, ""fine_discontinuous"": 39349, ""fine_geometry_rejected"": 619, ""fine_collision_rejected"": 0, ""fine_retained"": 11612, ""endpoint_nodes"": 288, ""endpoint_layers"": 28, ""endpoint_possible"": 3047, ""endpoint_retained"": 1011}",0.0,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,0.032682837001630105,1.0119579240126768,,,,,User_Requested_Stop,,,User_Requested_Stop,30.835628928005463,True,0.8356289280054625,4dddd640643e20e58e27114f477c3a6b31c9174705a2b5d9b1f29b63f0c5c3d5,13.296408964990405,39,13.296408964990405,0,0.02134013826076319,[],26.13978674875142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
