slot,repeat,fine_possible,fine_discontinuous,fine_geometry_rejected,fine_collision_rejected,fine_retained,endpoint_nodes,endpoint_layers,endpoint_possible,endpoint_retained,distance_fit_solver_status,time_fit_solver_status,endpoint_pruned_fraction,fine_pruned_fraction,graph_build_s,candidate_validation_s,distance_fit_feasible,time_fit_feasible,distance_fit_status,time_fit_status
panda_saddle_p1_u,0,100784,88854,258,0,11672,218,20,2472,240,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9029126213592233,0.8841879663438641,9.28224272900843,0.1359613550012,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p1_u,1,100784,88854,258,0,11672,218,20,2472,240,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9029126213592233,0.8841879663438641,9.376491285001975,0.1359613550012,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p1_u,2,100784,88854,258,0,11672,218,20,2472,240,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9029126213592233,0.8841879663438641,9.46039877399744,0.1359613550012,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p1_v,0,109056,88741,458,0,19857,314,28,3624,498,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8625827814569537,0.8179192341549295,16.001848708998295,0.18428949199733324,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p1_v,1,109056,88741,458,0,19857,314,28,3624,498,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8625827814569537,0.8179192341549295,16.045437327004038,0.18428949199733324,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p1_v,2,109056,88741,458,0,19857,314,28,3624,498,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8625827814569537,0.8179192341549295,15.993055202998221,0.18428949199733324,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p0_u,0,7988,6209,3,0,1776,74,20,280,70,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.75,0.7776664997496244,1.4777145039988682,0.044059745996491984,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p0_u,1,7988,6209,3,0,1776,74,20,280,70,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.75,0.7776664997496244,1.4844079010072164,0.044059745996491984,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p0_u,2,7988,6209,3,0,1776,74,20,280,70,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.75,0.7776664997496244,1.4918302639998728,0.044059745996491984,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p0_v,0,28676,25292,0,0,3384,211,28,1733,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8834391229082516,0.8819919096108244,3.0776112930034287,0.11411382099322509,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p0_v,1,28676,25292,0,0,3384,211,28,1733,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8834391229082516,0.8819919096108244,3.0782818799925735,0.11411382099322509,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p0_v,2,28676,25292,0,0,3384,211,28,1733,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8834391229082516,0.8819919096108244,3.068918484990718,0.11411382099322509,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p1_u,0,14290,11865,0,0,2425,104,20,562,98,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8256227758007118,0.8303009097270819,2.0137032070051646,0.05809857399435714,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p1_u,1,14290,11865,0,0,2425,104,20,562,98,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8256227758007118,0.8303009097270819,2.0291096190048847,0.05809857399435714,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p1_u,2,14290,11865,0,0,2425,104,20,562,98,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8256227758007118,0.8303009097270819,2.0190830700012157,0.05809857399435714,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p1_v,0,18744,16018,0,0,2726,168,28,1108,160,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.855595667870036,0.8545667947076397,2.454921902011847,0.0857752790034283,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p1_v,1,18744,16018,0,0,2726,168,28,1108,160,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.855595667870036,0.8545667947076397,2.456855911994353,0.0857752790034283,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_cylinder_p1_v,2,18744,16018,0,0,2726,168,28,1108,160,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.855595667870036,0.8545667947076397,2.461904579991824,0.0857752790034283,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p0_u,0,7789,6018,0,0,1771,74,20,280,70,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.75,0.7726280652201823,1.4057275319937617,0.04280606498650741,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p0_u,1,7789,6018,0,0,1771,74,20,280,70,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.75,0.7726280652201823,1.4162966909934767,0.04280606498650741,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p0_u,2,7789,6018,0,0,1771,74,20,280,70,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.75,0.7726280652201823,1.4101364310045028,0.04280606498650741,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p0_v,0,26896,23520,0,0,3376,210,28,1616,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.875,0.8744794765020821,2.992622712990851,0.10198105199378915,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p0_v,1,26896,23520,0,0,3376,210,28,1616,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.875,0.8744794765020821,2.943008550995728,0.10198105199378915,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p0_v,2,26896,23520,0,0,3376,210,28,1616,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.875,0.8744794765020821,2.9853017659916077,0.10198105199378915,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p1_u,0,27078,23725,0,0,3353,144,20,1080,136,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8740740740740741,0.8761725385922151,2.6862532300001476,0.07654050200653728,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p1_u,1,27078,23725,0,0,3353,144,20,1080,136,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8740740740740741,0.8761725385922151,2.697218746005092,0.07654050200653728,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p1_u,2,27078,23725,0,0,3353,144,20,1080,136,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8740740740740741,0.8761725385922151,2.695989997999277,0.07654050200653728,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p1_v,0,46904,42557,0,0,4347,268,28,2790,256,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9082437275985663,0.907321337199386,3.7977047710010083,0.1299426420009695,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p1_v,1,46904,42557,0,0,4347,268,28,2790,256,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9082437275985663,0.907321337199386,3.783799964003265,0.1299426420009695,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_plane_p1_v,2,46904,42557,0,0,4347,268,28,2790,256,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9082437275985663,0.907321337199386,3.797615905990824,0.1299426420009695,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p0_u,0,20482,17556,0,0,2926,128,20,847,121,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8571428571428572,0.8571428571428572,2.4619209740048973,0.08853213698603213,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p0_u,1,20482,17556,0,0,2926,128,20,847,121,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8571428571428572,0.8571428571428572,2.4916315479931654,0.08853213698603213,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p0_u,2,20482,17556,0,0,2926,128,20,847,121,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8571428571428572,0.8571428571428572,2.5375489790021675,0.08853213698603213,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p0_v,0,42600,38340,0,0,4260,262,28,2520,252,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9,0.9,3.838099909000448,0.1290704519924475,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p0_v,1,42600,38340,0,0,4260,262,28,2520,252,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9,0.9,3.8881096849945607,0.1290704519924475,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p0_v,2,42600,38340,0,0,4260,262,28,2520,252,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.9,0.9,3.9327040880016284,0.1290704519924475,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p1_u,0,23686,20579,0,0,3107,137,20,999,129,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8708708708708709,0.8688254665203073,2.666998180997325,0.07385132300260011,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p1_u,1,23686,20579,0,0,3107,137,20,999,129,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8708708708708709,0.8688254665203073,2.6562520020088414,0.07385132300260011,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p1_u,2,23686,20579,0,0,3107,137,20,999,129,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8708708708708709,0.8688254665203073,2.6823172099975636,0.07385132300260011,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p1_v,0,28000,24552,0,0,3448,210,28,1616,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.875,0.8768571428571429,3.0961096009996254,0.10377745000005234,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p1_v,1,28000,24552,0,0,3448,210,28,1616,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.875,0.8768571428571429,3.121904933999758,0.10377745000005234,True,True,verified_graph_initial_path,verified_graph_initial_path
ur5e_saddle_p1_v,2,28000,24552,0,0,3448,210,28,1616,202,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.875,0.8768571428571429,3.1125148119899677,0.10377745000005234,True,True,verified_graph_initial_path,verified_graph_initial_path
