robot,baseline,method,metric,paired_scenes,clusters,difference,ci_lower,ci_upper,status,scope,interval_scope,mean_ratio,median_scene_ratio,ratio_ci_lower,ratio_ci_upper,median_scene_ratio_ci_lower,median_scene_ratio_ci_upper
panda,B1,A2,total_plan_wall_s,12,6,-10.164767554668085,-15.244582051114975,-4.616676592169825,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.682498570728377,0.5465323226263413,0.5280138577135625,0.855484986306526,0.480049485735411,0.6041264161671711
panda,B1,A2,physical_verified_path_available_s,0,,,,,not_estimable_no_common_values,,,,,,,,
ur5e,B0,Proposed,quality_completed,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
ur5e,B0,Proposed,quality_execution_s,12,6,-0.024750000000031136,-0.05941666666674076,0.005333333333338667,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9988439756339635,0.9998740823032417,0.9971169553754798,1.0002505461122293,0.9995171414775467,1.0000985173144181
ur5e,B0,Proposed,quality_transition_s,12,6,-0.011000000000041124,-0.019583333333438684,-0.0033333333333340023,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9981505611365574,0.9991365841328357,0.9963819701512355,0.999438840644772,0.9985250737463132,0.9994425468195092
ur5e,B0,Proposed,total_plan_wall_s,12,6,30.416105085772063,28.96900898538338,32.03466153449417,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,23.35122250894603,25.089442549929668,22.210178084820996,24.654580218487745,23.261698170884856,25.94127262778256
ur5e,B0,Proposed,physical_verified_path_available_s,0,,,,,not_estimable_no_common_values,,,,,,,,
ur5e,B1,Proposed,quality_completed,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
ur5e,B1,Proposed,quality_execution_s,12,6,-0.08700000000010633,-0.21768750000026604,0.07225000000008623,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9959481801740221,0.997413127501575,0.9895487392066209,1.0032601829011525,0.9915974124443163,1.0001805770615246
ur5e,B1,Proposed,quality_transition_s,12,6,-0.034666666666748704,-0.0691666666667734,0.007833333333304715,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9941945657786271,0.9956604439298229,0.9873896595207887,1.00112339408425,0.9901716333696993,0.9982942517113509
ur5e,B1,Proposed,total_plan_wall_s,12,6,-0.7130657569521421,-2.1105979054461472,0.8344937572273392,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9780527594482332,1.0009333502393638,0.9350602424144585,1.0256304785274968,0.9418671824928195,1.0683354926134458
ur5e,B1,Proposed,physical_verified_path_available_s,0,,,,,not_estimable_no_common_values,,,,,,,,
ur5e,B2-common,Proposed,quality_completed,12,6,0.16666666666666666,0.0,0.3333333333333333,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
ur5e,B2-common,Proposed,quality_execution_s,10,6,1.1395000000013926,0.5439166666673311,1.8542500000022677,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.0566448079735857,1.0506124361033269,1.0271907076083373,1.0916735332894911,1.016116266705545,1.074807076487045
ur5e,B2-common,Proposed,quality_transition_s,10,6,0.7604166666670138,0.4455833333334673,1.1809437500007511,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.1548342213323972,1.150685177589768,1.084374154131727,1.234041944845662,1.077216396568178,1.1538008249853724
ur5e,B2-common,Proposed,total_plan_wall_s,12,6,-2.7160734630573056,-5.725071795529304,1.5530664925798991,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9212572645450448,0.9239088352655942,0.8417022457370495,1.0497783200840354,0.873570790780561,1.0657623075015217
ur5e,B2-common,Proposed,physical_verified_path_available_s,10,6,-16.17787612758305,-21.073933014583115,-11.196371400517727,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.18481101899323835,0.15994584994770872,0.15242518605013308,0.24433744410013764,0.1508433003370766,0.30138736276601535
ur5e,A1,Proposed,quality_completed,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
ur5e,A1,Proposed,quality_execution_s,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.0,1.0,1.0,1.0,1.0,1.0
ur5e,A1,Proposed,quality_transition_s,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.0,1.0,1.0,1.0,1.0,1.0
ur5e,A1,Proposed,total_plan_wall_s,12,6,-0.004319836919116564,-0.09412287600044912,0.102270963944551,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9998640759280044,1.0002496143669417,0.9970044850669939,1.0030717631610202,0.9955384384374828,1.0019305207609677
ur5e,A1,Proposed,physical_verified_path_available_s,12,6,-0.009107609165463751,-0.019800685079341445,-0.0005635178337494532,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9978885947645878,0.9990725609492679,0.9962985932595623,0.9998518862534497,0.9979025143134864,0.9992821284256455
ur5e,A2,Proposed,quality_completed,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
ur5e,A2,Proposed,quality_execution_s,12,6,-0.01650000000002076,-0.04950000000006227,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9992290199987532,1.0,0.9975922758262844,1.0,1.0,1.0
ur5e,A2,Proposed,quality_transition_s,12,6,-0.0036666666666912797,-0.01100000000007384,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.999382759346282,1.0,0.9979691682820875,1.0,1.0,1.0
ur5e,A2,Proposed,total_plan_wall_s,12,6,26.911779220667494,25.59183673883227,28.218571737556186,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,6.531540397188644,6.734550374184695,6.176759834747733,6.931069323379586,6.16661232985447,7.154953220795631
ur5e,A2,Proposed,physical_verified_path_available_s,12,6,0.49913391450051375,0.0,1.4974017435015412,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.1311684931600607,1.0,1.0,1.3757667153189288,1.0,1.0
ur5e,B1,A2,quality_completed,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
ur5e,B1,A2,quality_execution_s,12,6,-0.07050000000008556,-0.20482916666691434,0.08136458333343287,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9967166287617075,0.9986913411467319,0.9903288201160432,1.0036061278701685,0.9944479040432599,1.0001805770615246
ur5e,B1,A2,quality_transition_s,12,6,-0.031000000000057426,-0.0658333333334536,0.008166666666643193,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9948086020905058,0.9970402296284658,0.9881075569558265,1.0012825696003136,0.9915577826536637,0.9982942517113509
ur5e,B1,A2,total_plan_wall_s,12,6,-27.624844977619635,-27.940443595233067,-27.32874565828347,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.14974304681162415,0.14875580994567744,0.1394674811124481,0.16068160095235617,0.1448873266213948,0.1565901540165015
ur5e,B1,A2,physical_verified_path_available_s,0,,,,,not_estimable_no_common_values,,,,,,,,
