slot,method,repeat,post_graph_budget_s,checkpoint_scope,best_plan_duration_s,native_saved_timing_s,recorded_available_s,status,common_speed_reserve,physical_quality_not_yet_verified
panda_cylinder_p0_v,A1,0,30,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,1,1,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,1,5,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,1,10,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,1,30,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,2,1,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,2,5,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,2,10,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,2,30,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,0,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,0,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,0,10,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,0,30,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,1,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,1,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,1,10,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,1,30,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,2,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,2,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,2,10,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A2,2,30,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B0,0,1,total_B0_planning,,,1.3806699970009504,planner_feasible,0.9,True
panda_cylinder_p0_v,B0,0,5,total_B0_planning,26.39184995377227,,1.3806699970009504,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,0,10,total_B0_planning,26.39184995377227,,1.3806699970009504,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,0,30,total_B0_planning,26.39184995377227,,1.3806699970009504,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,1,1,total_B0_planning,,,1.4062558830046328,planner_feasible,0.9,True
panda_cylinder_p0_v,B0,1,5,total_B0_planning,26.39184995377227,,1.4062558830046328,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,1,10,total_B0_planning,26.39184995377227,,1.4062558830046328,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,1,30,total_B0_planning,26.39184995377227,,1.4062558830046328,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,2,1,total_B0_planning,,,1.390459741000086,planner_feasible,0.9,True
panda_cylinder_p0_v,B0,2,5,total_B0_planning,26.39184995377227,,1.390459741000086,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,2,10,total_B0_planning,26.39184995377227,,1.390459741000086,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B0,2,30,total_B0_planning,26.39184995377227,,1.390459741000086,returned_verified_plan,0.9,True
panda_cylinder_p0_v,B1,0,1,post_initialization_B1_smoothing,,,,planner_feasible,0.9,True
panda_cylinder_p0_v,B1,0,5,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.0523436380026396,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,0,10,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.0523436380026396,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,0,30,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.0523436380026396,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,1,1,post_initialization_B1_smoothing,,,,planner_feasible,0.9,True
panda_cylinder_p0_v,B1,1,5,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.0706719950103434,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,1,10,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.0706719950103434,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,1,30,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.0706719950103434,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,2,1,post_initialization_B1_smoothing,,,,planner_feasible,0.9,True
panda_cylinder_p0_v,B1,2,5,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.046693078998942,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,2,10,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.046693078998942,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B1,2,30,post_initialization_B1_smoothing,26.318680172560093,24.17021648500417,1.046693078998942,saved_geometry_incumbent_reexpressed_at_common_time_dilation_not_physically_executed,0.9,True
panda_cylinder_p0_v,B2-common,0,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,0,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,0,10,post_graph_optimization,26.650026493910744,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,0,30,post_graph_optimization,17.108594935649577,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,1,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,1,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,1,10,post_graph_optimization,26.650026493910744,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,1,30,post_graph_optimization,17.108594935649577,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,2,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,2,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,2,10,post_graph_optimization,26.650026493910744,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,B2-common,2,30,post_graph_optimization,17.108594935649577,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,Proposed,0,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,Proposed,0,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,Proposed,0,10,post_graph_optimization,26.972544337341343,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,Proposed,0,30,post_graph_optimization,26.494247422605408,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,Proposed,1,1,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,Proposed,1,5,post_graph_optimization,27.23868887159279,,,verified_plan_checkpoint,0.9,True
