robot,family,method,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed,quality_transition_s_median
ur5e,plane,B1,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.839500000001262,19.78050000000119,32.617571214749965,32.65061911416706,32.88366134948374,19.639903879678346,0.20648035491952518,31.102644174333058,,0.03199346958475265,0.9841657140811245,1.0,0.8215655613322712,4.919499999999891
ur5e,cylinder,B1,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,24.410000000006846,24.421500000006866,32.294238498334984,32.18245831600507,32.98749338074849,24.210486806599953,0.20681382450372135,30.763386177167074,,0.03320581833274143,1.0036946890856295,0.999999999999979,0.8373908821005129,7.991500000002457
ur5e,saddle,B1,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,20.166000000001667,19.967500000001422,32.558178179502036,32.51658365817032,32.92692582933523,19.96639700065481,0.20818011949813808,30.995218243167376,,0.03379391258446655,1.0040623530840094,0.9999999999999961,0.8291283122523273,5.01700000000003
ur5e,plane,B2-common,4,True,4,0,0,4.0,0,0,4,4,3,0.75,18.90400000000012,18.586999999999733,30.8194266338287,30.55547149199265,36.05532710483797,18.699653655500814,3.8432376838281925,,25.261428206336863,0.032024129496373156,0.9933147435015902,0.9999742274683643,0.8210128574411377,3.6659999999997828
ur5e,cylinder,B2-common,4,True,4,0,0,4.0,0,0,4,4,3,0.75,22.55200000000458,23.49400000000573,35.88051542541386,35.80836366733517,36.93300294315826,21.192044076152595,3.3989620060795764,,30.689062668829138,0.03301014199920853,1.002645275000153,0.9999237100250529,0.8214235366436794,6.517000000001796
ur5e,saddle,B2-common,4,True,4,0,0,4.0,0,0,4,4,4,1.0,18.515249999999646,18.65799999999982,36.779068951659916,36.684288215656125,37.199471471623596,18.31592618405626,4.20052517824297,,30.77786920433088,0.03380884424647472,1.0081245674991806,0.9999868446491238,0.8350444029200795,4.3074999999998465
ur5e,plane,A1,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.76350000000117,19.79650000000121,31.8678728412439,32.73668562633004,36.85994997080027,19.56396521216802,3.846068491244902,,26.39431928633227,0.0321071005819249,0.984524650498012,1.0,0.8230837087373475,4.91649999999992
ur5e,cylinder,A1,4,True,4,0,0,4.0,0,0,4,4,4,1.0,24.48175000000694,24.676000000007175,31.091173783667426,32.349052966671785,36.25365242337308,24.282309300959064,3.3982750019980204,,26.04996412508626,0.03313679058192065,0.9990370347513817,0.999999999999979,0.8250432551535106,8.001000000002286
ur5e,saddle,A1,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.909250000001347,19.94450000000139,32.38470350757658,32.6481652006599,35.82839417168822,19.70965940362984,4.201567390744458,,26.498905444084816,0.03367438533193005,1.0019861400821053,0.9999999999999961,0.8300954262210775,4.968000000000085
ur5e,plane,A2,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.81300000000123,19.79650000000121,4.87954312924315,4.991742883491194,5.87505804428559,19.613578511054985,3.8432376838281925,,,0.032018923330421487,0.9861451988326735,1.0,0.8220380529573955,4.91649999999992
ur5e,cylinder,A2,4,True,4,0,0,4.0,0,0,4,4,4,1.0,24.48175000000694,24.676000000007175,4.457505298658361,4.443372294830624,5.211856804665876,24.282309300959064,3.3989620060795764,,,0.033181713334973516,1.006042710501788,0.999999999999979,0.8250432551535106,8.001000000002286
ur5e,saddle,A2,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.909250000001347,19.94450000000139,5.258404531826576,5.091903654999139,6.0291008127450665,19.70965940362984,4.20052517824297,,,0.03375106116679187,1.004065572914745,0.9999999999999961,0.8300954262210775,4.968000000000085
ur5e,plane,Proposed,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.76350000000117,19.79650000000121,31.876769308907875,32.724940082492445,36.86462630768074,19.56396521216802,3.8432376838281925,,26.382670547916252,0.032061494421213865,0.9873383872509294,1.0,0.8230837087373475,4.91649999999992
ur5e,cylinder,Proposed,4,True,4,0,0,4.0,0,0,4,4,4,1.0,24.48175000000694,24.676000000007175,31.02204409766273,32.25386840216864,36.149301746853354,24.282309300959064,3.3989620060795764,,25.977588122248566,0.03311114633349159,1.001695858582631,0.999999999999979,0.8250432551535106,8.001000000002286
ur5e,saddle,Proposed,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.909250000001347,19.94450000000139,32.43197721515996,32.783362410659414,35.95398776062769,19.70965940362984,4.20052517824297,,26.549018234498362,0.03388601008676536,1.0010841378328525,0.9999999999999961,0.8300954262210775,4.968000000000085
