robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations
panda,single_step_reserve,Single-step reserve,near_singular,10,3,"[6,5,4]",5.0,0.5,"[6,5,4]",0.5,0.8951111111111111,0.8951111111111111,4.011067,9.007213400000001,9.125717470000001,7640.652586,764.0652586,747.2081685,882.2518893333333,0.16733333333333336,0.8326666666666667,0.000999990032902535,0.0009999996408555018,0.008726558996099323,0.008726643504457563,0.731586800276023,5.097329606684812,0.10194659213369624,121.46666666666667,0
panda,single_step_reserve,Single-step reserve,smooth,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9460000000000001,0.9460000000000001,4.113949,6.01130955,6.07539237,6313.057203666666,631.3057203666666,616.5660485000001,710.2904052333332,0.054000000000000006,0.9460000000000001,0.0009999903007307234,0.0009999988702053073,0.008726563857900044,0.008726636708188894,0.92870492063972,5.3961491197211435,0.10792298239442286,141.9,0
panda,trac_task_20ms,TRAC-IK task 20 ms,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,9,10]",0.9666666666666666,1.0,0.9997777777777778,0.1622465,0.21661370000000002,0.2931933600000001,269.598633,26.959863300000002,25.360570333333335,33.99981738333332,0.0,0.0,0.0004610351019735035,0.0008351690707116661,0.0005616354901275826,0.006530847096231559,0.9014055398288966,6.777998689256537,0.13555997378513077,150.0,0
panda,trac_task_20ms,TRAC-IK task 20 ms,joint_limit_return,10,3,"[10,9,9]",9.333333333333334,0.9333333333333333,"[10,9,9]",0.9333333333333333,0.9664444444444444,0.9664444444444444,0.1620935,0.29099615000000023,20.2391424,1295.5880066666668,129.55880066666668,25.444778,597.7012399333323,0.0,0.0,0.00015800561269071887,0.0009731206563368511,0.0008243490855671128,0.007802761581230088,0.9121760377824831,1.9155020456389744,0.03831004091277948,144.96666666666667,0
panda,trac_task_20ms,TRAC-IK task 20 ms,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,7,8]",0.7666666666666667,0.9559999999999998,0.9557777777777776,0.163197,1.8761628500000038,20.25837955,1649.3006563333333,164.93006563333333,30.538720666666666,702.7642708833333,0.0,0.0,0.0006131286977792208,0.000981296769060216,0.003934766389975848,0.00787050067568236,0.9999999999999968,6.880075461135923,0.13760150922271844,143.4,0
panda,trac_task_20ms,TRAC-IK task 20 ms,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.16176,0.21166370000000015,0.29147561,252.6611353333333,25.266113533333332,25.24112733333333,25.551214616666666,0.0,0.0,0.00013148825953712538,0.0008269955292092147,0.0001420974489106411,0.006380699743388978,0.5035077394323682,0.9975767923178938,0.01995153584635788,150.0,0
panda,trac_task_5ms,TRAC-IK task 5 ms,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.161683,0.223468,0.30472371000000026,255.0135463333333,25.501354633333328,25.41583766666667,26.120540283333334,0.0,0.0,0.0004705352042385433,0.0008771881908813899,0.0005629021833353468,0.0071804523043372,0.9014100703434024,6.829378231244026,0.1365875646248805,150.0,0
panda,trac_task_5ms,TRAC-IK task 5 ms,joint_limit_return,10,3,"[9,9,9]",9.0,0.9,"[9,8,9]",0.8666666666666666,0.948888888888889,0.9486666666666667,0.1619475,5.18360625,5.23403071,667.697376,66.7697376,25.609759666666665,250.95186748333293,0.0,0.0,0.0001565032319260579,0.0008944707920743297,0.0006705256020942422,0.008105306554760201,0.6230476347704538,1.617690837739579,0.03235381675479158,142.33333333333334,0
panda,trac_task_5ms,TRAC-IK task 5 ms,near_singular,10,3,"[8,8,7]",7.666666666666667,0.7666666666666667,"[8,8,7]",0.7666666666666667,0.948,0.948,0.1630715,5.19228045,5.239083320000001,674.6907620000002,67.46907620000002,25.896660666666666,227.09966804999996,0.0,0.0,0.0006126055278255597,0.000995699191161846,0.004048929759440206,0.008086257143830374,0.9999999999999968,6.977523533504025,0.13955047067008047,140.4,0
panda,trac_task_5ms,TRAC-IK task 5 ms,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.1622615,0.21404000000000006,0.29198355000000015,254.24366866666668,25.424366866666666,25.361891333333332,25.886634033333333,0.0,0.0,0.00013148825971440222,0.0008394582792511074,0.00014206297240190586,0.006299183477310848,0.4162675528736817,1.0745785334314713,0.02149157066862942,150.0,0
panda,two_step_predictive,Two-step predictive,high_curvature,10,3,"[9,9,9]",9.0,0.9,"[9,8,9]",0.8666666666666666,0.94,0.9397777777777777,3.7340925,6.23395705,6.289128020000001,5829.582861,582.9582861,559.0470081666667,697.1840986166663,0.06022222222222222,0.9397777777777777,0.00010945827317934694,0.0005682438526578385,0.0015069694125307734,0.004560180055662805,0.8502188915888603,6.540750650744138,0.1308150130148828,141.0,0
panda,two_step_predictive,Two-step predictive,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,3.726557,3.89085065,4.4056757300000005,5599.741596666666,559.9741596666665,556.6956713333333,580.2916636666666,0.0,1.0,0.00015732500232272167,0.00043410827370096657,0.0017064883685267266,0.0076012197928748875,0.8122116314963684,1.2602755898136908,0.02520551179627382,150.0,0
panda,two_step_predictive,Two-step predictive,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,7,8]",0.7666666666666667,0.9522222222222222,0.952,3.7155975,6.220717550000001,6.30027008,5737.990428333333,573.7990428333333,563.8868981666667,643.4680831833333,0.06866666666666667,0.9313333333333333,0.00047428871127589345,0.0009471672744326032,0.0023944827261209,0.0077523074828860315,0.8896962791081368,5.014398842654799,0.10028797685309598,139.46666666666667,0
panda,two_step_predictive,Two-step predictive,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,9]",0.9666666666666666,1.0,0.9997777777777778,3.7329405,3.84201645,4.1340033400000005,5585.7344846666665,558.5734484666666,559.187451,568.7122779,0.00022222222222222223,0.9997777777777778,7.964435179913497e-05,9.767610110707313e-05,0.0008451041226779679,0.001477420413032,0.3631370424917284,0.6869133133142907,0.013738266266285814,150.0,0
panda,two_step_sigma,Two-step sigma-min,high_curvature,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9693333333333333,0.9693333333333333,6.0506945,6.33867385,6.53686079,9040.476491333333,904.0476491333333,902.4050373333333,927.0483180333333,0.034,0.966,0.00028640339940983346,0.0005731017245768595,0.0028360475677164936,0.004458930369851157,0.9999999999999968,8.133972167053724,0.16267944334107448,145.4,0
panda,two_step_sigma,Two-step sigma-min,joint_limit_return,10,3,"[7,7,7]",7.0,0.7,"[7,6,6]",0.6333333333333333,0.7826666666666668,0.7822222222222223,6.12092,6.5403419000000005,6.8285573100000025,9207.582614333334,920.7582614333335,922.0233975,966.5464586666667,0.21888888888888888,0.7811111111111112,0.00036751417819834816,0.0005873779786809962,0.0029894729310913737,0.0070752033320540305,0.9005480827167127,4.588229043496559,0.09176458086993118,117.4,0
