robot,uid,site_id,family,method,fixed_updates,repeat,known_zero,zero_found,objective,tau,accepted,changed_exact,max_change_rad,numerical_ns,saved_backup_ns,reconstructed_outer_ns,fixed_actual_updates,joint_actual_updates,zero_found_stage,numerical_phase_times_ns
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3299698,176074,3475772,0,0,initialization,"{""initialization_ns"":197793,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2941354}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3290554,176074,3466628,0,0,initialization,"{""initialization_ns"":192656,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2939553}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3309116,176074,3485190,0,0,initialization,"{""initialization_ns"":199294,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2946647}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3301610,176074,3477684,0,0,initialization,"{""initialization_ns"":199798,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2942683}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3574554,192213,3766767,0,0,initialization,"{""initialization_ns"":283910,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3008157}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3383425,192213,3575638,0,0,initialization,"{""initialization_ns"":216895,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2997358}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,0,1,True,False,2.6474231096295263e-20,0.0,True,True,8.5087492607272e-12,5466212,192213,5658425,0,2,,
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3449702,192213,3641915,0,0,initialization,"{""initialization_ns"":230542,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3040562}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3383224,192213,3575437,0,0,initialization,"{""initialization_ns"":219690,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2993460}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,0,0,True,False,2.6474231096295263e-20,0.0,True,True,8.5087492607272e-12,5323733,192213,5515946,0,2,,
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3320637,192213,3512850,0,0,initialization,"{""initialization_ns"":200993,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2958244}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3283363,192213,3475576,0,0,initialization,"{""initialization_ns"":195344,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2929600}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_old,0,2,True,False,2.6474231096295263e-20,0.0,True,True,8.5087492607272e-12,5362634,192213,5554847,0,2,,
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3289161,192213,3481374,0,0,initialization,"{""initialization_ns"":200202,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2927293}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,6,2,True,True,0.0,0.0,True,False,0.0,3290785,192213,3482998,0,0,initialization,"{""initialization_ns"":196785,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2936361}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3258777,192213,3450990,0,0,initialization,"{""initialization_ns"":187420,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2913566}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3514968,317832,3832800,0,0,initialization,"{""initialization_ns"":267822,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2990441}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3313653,317832,3631485,0,0,initialization,"{""initialization_ns"":201323,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2952571}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3371042,317832,3688874,0,0,initialization,"{""initialization_ns"":208067,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3003134}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3394502,317832,3712334,0,0,initialization,"{""initialization_ns"":191532,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3044653}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3322229,317832,3640061,0,0,initialization,"{""initialization_ns"":193035,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2969603}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_old,0,1,True,False,1.1553825686866392e-19,0.0,True,True,1.2572609620065123e-11,5202136,317832,5519968,0,2,,
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3289347,317832,3607179,0,0,initialization,"{""initialization_ns"":192888,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2937174}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3318295,317832,3636127,0,0,initialization,"{""initialization_ns"":192841,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2967173}"
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3293659,317832,3611491,0,0,initialization,"{""initialization_ns"":194515,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2938616}"
