input_id,robot,method,repeat,q,accepted,internal_status,internal_ok,native_status,iterations,evaluations,verification_calls,box_qp_updates,backtracking_evaluations,task_excess_objective,internal_radius,finite,joint_limit_ok,velocity_ok,position_error,orientation_error,verification_reasons,failure_kind,velocity_utilization,total_latency_ns,accepted_within_20ms
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,single_gn_k1,0,"[-0.7134899063249106,-0.03546657026635482,-1.3675165977778028,-1.6264631049404072,0.946222713518026,1.5227189742469938,-0.27479394677879354]",False,no_descent,False,,16,118,,18,,,,True,True,True,0.0013528943289840922,0.012513914523861854,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,4405661,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_lbfgsb,2,"[-0.7135192183303034,-0.03546657026635482,-1.3675165977778028,-1.6264419638815943,0.9461947531161993,1.5224373578216726,-0.2747949728818326]",False,optimizer_stop,False,"{""code"":1,""success"":false,""message"":""STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT""}",30,35,36,0,0,0.1555943036067084,0.999999,True,True,True,0.0013828128354107328,0.01226757224133194,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,6268979,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,single_gn_k1,2,"[-0.7134899063249106,-0.03546657026635482,-1.3675165977778028,-1.6264631049404072,0.946222713518026,1.5227189742469938,-0.27479394677879354]",False,no_descent,False,,16,118,,18,,,,True,True,True,0.0013528943289840922,0.012513914523861854,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,4411853,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_lbfgsb,0,"[-0.7135192183303034,-0.03546657026635482,-1.3675165977778028,-1.6264419638815943,0.9461947531161993,1.5224373578216726,-0.2747949728818326]",False,optimizer_stop,False,"{""code"":1,""success"":false,""message"":""STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT""}",30,35,36,0,0,0.1555943036067084,0.999999,True,True,True,0.0013828128354107328,0.01226757224133194,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,6216043,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,single_gn_k0,1,"[-0.7134905465921689,-0.03546657026635482,-1.3675165977778028,-1.626463497660127,0.9462252697295794,1.5227174452476717,-0.27479510581254984]",False,stationary,False,,15,100,,17,,,,True,True,True,0.0013530044616016025,0.012513007307313178,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,3821550,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,single_gn_k1,1,"[-0.7134899063249106,-0.03546657026635482,-1.3675165977778028,-1.6264631049404072,0.946222713518026,1.5227189742469938,-0.27479394677879354]",False,no_descent,False,,16,118,,18,,,,True,True,True,0.0013528943289840922,0.012513914523861854,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,4396223,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_isotropic,2,"[-0.7135191239309577,-0.03546657026635482,-1.3675165977778028,-1.6264420356780473,0.9461948553442936,1.5224382796671976,-0.2747949722384609]",False,iteration_limit,False,,30,89,90,32,59,0.15559431269916493,0.999999,True,True,True,0.001382714762139983,0.012268379690405472,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,13412434,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,single_gn_k0,2,"[-0.7134905465921689,-0.03546657026635482,-1.3675165977778028,-1.626463497660127,0.9462252697295794,1.5227174452476717,-0.27479510581254984]",False,stationary,False,,15,100,,17,,,,True,True,True,0.0013530044616016025,0.012513007307313178,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,3764990,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_isotropic,1,"[-0.7135191239309577,-0.03546657026635482,-1.3675165977778028,-1.6264420356780473,0.9461948553442936,1.5224382796671976,-0.2747949722384609]",False,iteration_limit,False,,30,89,90,32,59,0.15559431269916493,0.999999,True,True,True,0.001382714762139983,0.012268379690405472,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,13388022,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,point_loop_control,0,"[-0.713490546632697,-0.03546657026635482,-1.3675165977778028,-1.6264634974653667,0.946225269440169,1.5227174448543868,-0.2747951053873824]",False,stationary,False,,17,96,97,19,79,0.15643496324915296,0.999999,True,True,True,0.0013530044954799436,0.012513007028344425,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,13251624,False
