robot,source_uid,method,unique_inputs,stable_three_success,partial_search_success
ur5e,5da7af6fee9b0503eed8ff8c985472802b69533e592a05eedf52d9e28bb5b0c9,single_gn_k0,1,1,0
ur5e,5da7af6fee9b0503eed8ff8c985472802b69533e592a05eedf52d9e28bb5b0c9,single_gn_k1,1,1,0
ur5e,5da7af6fee9b0503eed8ff8c985472802b69533e592a05eedf52d9e28bb5b0c9,task_balance_k0,1,1,0
ur5e,5da7af6fee9b0503eed8ff8c985472802b69533e592a05eedf52d9e28bb5b0c9,task_balance_k1,1,1,0
ur5e,5da7af6fee9b0503eed8ff8c985472802b69533e592a05eedf52d9e28bb5b0c9,task_excess_gn,1,1,0
ur5e,c173bc1217a828de6205bf0d0c767d2505fbe856597d39d948838ce9d559a094,single_gn_k0,5,0,0
ur5e,c173bc1217a828de6205bf0d0c767d2505fbe856597d39d948838ce9d559a094,single_gn_k1,5,0,0
ur5e,c173bc1217a828de6205bf0d0c767d2505fbe856597d39d948838ce9d559a094,task_balance_k0,5,5,0
ur5e,c173bc1217a828de6205bf0d0c767d2505fbe856597d39d948838ce9d559a094,task_balance_k1,5,5,0
ur5e,c173bc1217a828de6205bf0d0c767d2505fbe856597d39d948838ce9d559a094,task_excess_gn,5,5,0
ur5e,e621fdc4f247e6d4f941602738d8470496c5f9695bfc622242db0628c871b460,single_gn_k0,5,0,0
ur5e,e621fdc4f247e6d4f941602738d8470496c5f9695bfc622242db0628c871b460,single_gn_k1,5,0,0
ur5e,e621fdc4f247e6d4f941602738d8470496c5f9695bfc622242db0628c871b460,task_balance_k0,5,0,0
ur5e,e621fdc4f247e6d4f941602738d8470496c5f9695bfc622242db0628c871b460,task_balance_k1,5,0,0
ur5e,e621fdc4f247e6d4f941602738d8470496c5f9695bfc622242db0628c871b460,task_excess_gn,5,0,0
