problem_id,robot,stratum,kappa,method,repeat,theta,dual_updates,box_qp_updates,primal_upper,dual_lower,gap,converged,task_feasible_early,deadline,status,objective,feasible_box_violation,normal_residual,box_minorant_lower,task_squared,total_ns,solve_ns,conversion_ns,actual_verifier_calls,updated,raw_gap
panda_trajectory_30_k1_f0,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.12990686669155205,,False,True,False,task_feasible_early,0.12990729480633456,0.0,3.202372833989377e-14,0.12990686669155205,"[1.1536020134641766e-08,8.677655851786816e-07]",205849,167635,4044,1,True,
panda_trajectory_30_k1_f0,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.12990686669155205,,False,True,False,task_feasible_early,0.12990729480633456,0.0,3.202372833989377e-14,0.12990686669155205,"[1.1536020134641766e-08,8.677655851786816e-07]",218291,175853,3959,1,True,
panda_trajectory_30_k1_f0,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.12990686669155205,,False,True,False,task_feasible_early,0.12990729480633456,0.0,3.202372833989377e-14,0.12990686669155205,"[1.1536020134641766e-08,8.677655851786816e-07]",210843,172664,3777,1,True,
panda_trajectory_30_k1_f0,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.12990686669155205,,False,True,False,task_feasible_early,0.12990729480633456,0.0,3.202372833989377e-14,0.12990686669155205,"[1.1536020134641766e-08,8.677655851786816e-07]",220044,179928,4223,1,True,
panda_trajectory_30_k1_f21,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.11876091378739125,,False,True,False,task_feasible_early,0.11876114480544173,0.0,3.532673140922665e-14,0.11876091378739125,"[4.734875224969585e-08,5.093848531950476e-07]",211748,173642,3705,1,True,
panda_trajectory_30_k1_f21,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.11876091378739125,,False,True,False,task_feasible_early,0.11876114480544173,0.0,3.532673140922665e-14,0.11876091378739125,"[4.734875224969585e-08,5.093848531950476e-07]",220930,181434,3756,1,True,
panda_trajectory_30_k1_f21,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.11876091378739125,,False,True,False,task_feasible_early,0.11876114480544173,0.0,3.532673140922665e-14,0.11876091378739125,"[4.734875224969585e-08,5.093848531950476e-07]",221694,182233,3643,1,True,
panda_trajectory_30_k1_f21,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.11876091378739125,,False,True,False,task_feasible_early,0.11876114480544173,0.0,3.532673140922665e-14,0.11876091378739125,"[4.734875224969585e-08,5.093848531950476e-07]",205407,167408,3773,1,True,
panda_trajectory_30_k1_f21,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.11876091378739125,,False,True,False,task_feasible_early,0.11876114480544173,0.0,3.532673140922665e-14,0.11876091378739125,"[4.734875224969585e-08,5.093848531950476e-07]",207437,169337,3642,1,True,
panda_trajectory_30_k1_f42,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.11704743394267875,,False,True,False,task_feasible_early,0.11704885595657546,0.0,4.277126097228337e-14,0.11704743394267875,"[3.185322424818734e-06,3.412946313786135e-07]",215881,177149,3839,1,True,
panda_trajectory_30_k1_f42,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.11704743394267875,,False,True,False,task_feasible_early,0.11704885595657546,0.0,4.277126097228337e-14,0.11704743394267875,"[3.185322424818734e-06,3.412946313786135e-07]",207958,169623,3736,1,True,
panda_trajectory_30_k1_f42,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.11704743394267875,,False,True,False,task_feasible_early,0.11704885595657546,0.0,4.277126097228337e-14,0.11704743394267875,"[3.185322424818734e-06,3.412946313786135e-07]",213508,173821,3975,1,True,
panda_trajectory_30_k1_f42,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.11704743394267875,,False,True,False,task_feasible_early,0.11704885595657546,0.0,4.277126097228337e-14,0.11704743394267875,"[3.185322424818734e-06,3.412946313786135e-07]",223998,183796,4130,1,True,
panda_trajectory_30_k1_f42,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.11704743394267875,,False,True,False,task_feasible_early,0.11704885595657546,0.0,4.277126097228337e-14,0.11704743394267875,"[3.185322424818734e-06,3.412946313786135e-07]",207282,169615,3831,1,True,
panda_trajectory_30_k1_f63,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.11982085089139734,,False,True,False,task_feasible_early,0.1198212608051288,0.0,6.498334267932263e-14,0.11982085089139734,"[2.3025200681803905e-08,8.428526636128946e-07]",227005,186880,4242,1,True,
panda_trajectory_30_k1_f63,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.11982085089139734,,False,True,False,task_feasible_early,0.1198212608051288,0.0,6.498334267932263e-14,0.11982085089139734,"[2.3025200681803905e-08,8.428526636128946e-07]",205619,167559,4045,1,True,
panda_trajectory_30_k1_f63,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.11982085089139734,,False,True,False,task_feasible_early,0.1198212608051288,0.0,6.498334267932263e-14,0.11982085089139734,"[2.3025200681803905e-08,8.428526636128946e-07]",217320,179052,3714,1,True,
panda_trajectory_30_k1_f63,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.11982085089139734,,False,True,False,task_feasible_early,0.1198212608051288,0.0,6.498334267932263e-14,0.11982085089139734,"[2.3025200681803905e-08,8.428526636128946e-07]",209483,171354,3804,1,True,
panda_trajectory_30_k1_f63,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.11982085089139734,,False,True,False,task_feasible_early,0.1198212608051288,0.0,6.498334267932263e-14,0.11982085089139734,"[2.3025200681803905e-08,8.428526636128946e-07]",205330,168027,3602,1,True,
panda_trajectory_30_k1_f85,panda,regular_first_subproblems,1,scalar_early,3,0.5,1,1,,0.11456754644708152,,False,True,False,task_feasible_early,0.11456780396566209,0.0,6.969229938411969e-14,0.11456754644708152,"[5.778613379855215e-07,1.092898499125852e-06]",201415,164243,3759,1,True,
panda_trajectory_30_k1_f85,panda,regular_first_subproblems,1,scalar_early,2,0.5,1,1,,0.11456754644708152,,False,True,False,task_feasible_early,0.11456780396566209,0.0,6.969229938411969e-14,0.11456754644708152,"[5.778613379855215e-07,1.092898499125852e-06]",218008,178088,4068,1,True,
panda_trajectory_30_k1_f85,panda,regular_first_subproblems,1,scalar_early,1,0.5,1,1,,0.11456754644708152,,False,True,False,task_feasible_early,0.11456780396566209,0.0,6.969229938411969e-14,0.11456754644708152,"[5.778613379855215e-07,1.092898499125852e-06]",212187,173608,4043,1,True,
panda_trajectory_30_k1_f85,panda,regular_first_subproblems,1,scalar_early,0,0.5,1,1,,0.11456754644708152,,False,True,False,task_feasible_early,0.11456780396566209,0.0,6.969229938411969e-14,0.11456754644708152,"[5.778613379855215e-07,1.092898499125852e-06]",217804,178259,3651,1,True,
