robot,method,family,trajectory_count,completion_trajectory_uids,whole_trajectory_completion_count,whole_trajectory_completion_rate,total_cumulative_latency_ns,total_cumulative_latency_seconds,trajectory_cumulative_latency_mean_ms,trajectory_cumulative_latency_median_ms,trajectory_cumulative_latency_p95_ms,frame_verified_success,mean_fev,learned_seed_invocation_rate,anchor_occupancy,local_occupancy,robust_occupancy
ur5e,counterfactual_cghik_v4,regular_near_singular_regular,10,"['0741998372aa86719c511faf2690e7cf6a7ca28787858c0cd5fcca7cfb2c538f', 'b0517fce16c8a85e9ed713e838e48c821e20b9df4cb97bc00bac82629a281c78', 'e525c82f11c6d65f108c204b3eb0377e6076ff738603cbdb3107936ad6da8386', '3ae8784be0a2977f184ce96d99c8e907111608fc575cd4db7bc0c8f055d498cb', '58dbe5eb2c5ed4ee97712271600dd9aeb905c2c0234e92c7eaf1e7625e8f1919', '4b12a2ea418812ac085f459f8ca5ee66060db7648c5abf32fed1fa6b15e704b8', '1336e8155269add1b16b8a63b6a25a53edbc210f0d1c9e77a8007d53d05bfb7c', 'ea7f7ae3c5fb5d4b3e5aec0768b5259b3aa8a3d131b4da95169b3f099fb7e21c', 'b30712a474e8b239b87f453526f12013abc2a70ffa5f4f7ba93637377aaa44a9']",9,0.9,2980590712,2.980590712,298.0590712,288.876334,390.4191228999999,0.9593333333333334,2.8506666666666667,1.0,,,
ur5e,counterfactual_cghik_v4,central_joint_limit_skim_return,10,[],0,0.0,8237645360,8.23764536,823.764536,825.7329065,970.5849533499999,0.29733333333333334,14.308,1.0,,,
ur5e,counterfactual_cghik_v4,slow_high_curvature_high_speed_slow,10,"['94b822405735425ca714b7ee936fba25eef67ac0f7db9f7168e6da00f32f30ce', '3f4b42e3ff12f1fa456be9d301c007dd6c10a361ec366f539f22383cc0c497e1']",2,0.2,16890234238,16.890234238,1689.0234238,1440.904164,3872.7314944999994,0.5893333333333334,21.77466666666667,1.0,,,
ur5e,temporal_event_cghik_v6,smooth_fast_orientation_smooth,10,"['df04feaaa2ca004920a0214bf413846883471fb389fdf69804680adf2526b371', 'f528d1bc849c0e9421095184b0b9452a3c14ef6cc5c417b55e15b1f7d38304f5', 'a6174602d795514005c79f20ea408749127899c27241a337da08f7a1974de2cc', '4710697654fbc64e706c2be0524a2474271e99099a5ed49b394caca972b1003b', 'd1b5d6ba3fde4878a03307363b7ebb4a5f5fd26e2af7ab8d221ef1e422b7736e', 'd526969a4b3eab22459a40776be64be1286cdff02e49527e30544c2272284df2', '0903f86314a0a2427acd052e424d7d188ff6bd90c2c6475f4045128dc25db831', '86c899c0180852b1150ab2ec76c1a60687b51e2cb094cd770f81a1649a3a8674']",8,0.8,4198795150,4.19879515,419.879515,77.160526,1932.623653349997,0.932,10.205333333333334,0.076,0.0,0.9246666666666666,0.07533333333333334
ur5e,temporal_event_cghik_v6,regular_near_singular_regular,10,"['0741998372aa86719c511faf2690e7cf6a7ca28787858c0cd5fcca7cfb2c538f', 'b0517fce16c8a85e9ed713e838e48c821e20b9df4cb97bc00bac82629a281c78', '58dbe5eb2c5ed4ee97712271600dd9aeb905c2c0234e92c7eaf1e7625e8f1919', '4b12a2ea418812ac085f459f8ca5ee66060db7648c5abf32fed1fa6b15e704b8', '1336e8155269add1b16b8a63b6a25a53edbc210f0d1c9e77a8007d53d05bfb7c', 'ea7f7ae3c5fb5d4b3e5aec0768b5259b3aa8a3d131b4da95169b3f099fb7e21c', 'b30712a474e8b239b87f453526f12013abc2a70ffa5f4f7ba93637377aaa44a9']",7,0.7,6502705010,6.50270501,650.270501,129.261326,1962.3634129999998,0.8766666666666667,14.43,0.30533333333333335,0.0,0.6966666666666667,0.30333333333333334
ur5e,temporal_event_cghik_v6,central_joint_limit_skim_return,10,[],0,0.0,37318671869,37.318671869,3731.8671869,3711.0902205,4154.296696949999,0.3,86.75666666666666,0.74,0.0,0.26,0.74
ur5e,temporal_event_cghik_v6,slow_high_curvature_high_speed_slow,10,"['94b822405735425ca714b7ee936fba25eef67ac0f7db9f7168e6da00f32f30ce', '3f4b42e3ff12f1fa456be9d301c007dd6c10a361ec366f539f22383cc0c497e1']",2,0.2,20291347036,20.291347036,2029.1347036,2059.0481665,4218.01674665,0.5893333333333334,29.218666666666667,0.604,0.0,0.4,0.6
ur5e,anchored_temporal_cghik_v7,smooth_fast_orientation_smooth,10,"['df04feaaa2ca004920a0214bf413846883471fb389fdf69804680adf2526b371', 'f528d1bc849c0e9421095184b0b9452a3c14ef6cc5c417b55e15b1f7d38304f5', 'a6174602d795514005c79f20ea408749127899c27241a337da08f7a1974de2cc', '4710697654fbc64e706c2be0524a2474271e99099a5ed49b394caca972b1003b', 'd1b5d6ba3fde4878a03307363b7ebb4a5f5fd26e2af7ab8d221ef1e422b7736e', 'd526969a4b3eab22459a40776be64be1286cdff02e49527e30544c2272284df2', '0903f86314a0a2427acd052e424d7d188ff6bd90c2c6475f4045128dc25db831', '86c899c0180852b1150ab2ec76c1a60687b51e2cb094cd770f81a1649a3a8674']",8,0.8,4217250218,4.217250218,421.72502180000004,79.4240795,1933.172294449997,0.932,10.284,0.088,0.018666666666666668,0.9126666666666666,0.06866666666666667
ur5e,anchored_temporal_cghik_v7,regular_near_singular_regular,10,"['0741998372aa86719c511faf2690e7cf6a7ca28787858c0cd5fcca7cfb2c538f', 'b0517fce16c8a85e9ed713e838e48c821e20b9df4cb97bc00bac82629a281c78', '58dbe5eb2c5ed4ee97712271600dd9aeb905c2c0234e92c7eaf1e7625e8f1919', '4b12a2ea418812ac085f459f8ca5ee66060db7648c5abf32fed1fa6b15e704b8', '1336e8155269add1b16b8a63b6a25a53edbc210f0d1c9e77a8007d53d05bfb7c', 'ea7f7ae3c5fb5d4b3e5aec0768b5259b3aa8a3d131b4da95169b3f099fb7e21c', 'b30712a474e8b239b87f453526f12013abc2a70ffa5f4f7ba93637377aaa44a9']",7,0.7,6548365757,6.548365757,654.8365757,130.6224715,1973.39734735,0.8766666666666667,14.43,0.31266666666666665,0.014,0.6893333333333334,0.2966666666666667
ur5e,anchored_temporal_cghik_v7,central_joint_limit_skim_return,10,[],0,0.0,37379951963,37.379951963,3737.9951963000003,3715.2108545,4163.049685049999,0.3,86.75666666666666,0.74,0.006666666666666667,0.26,0.7333333333333333
ur5e,anchored_temporal_cghik_v7,slow_high_curvature_high_speed_slow,10,"['94b822405735425ca714b7ee936fba25eef67ac0f7db9f7168e6da00f32f30ce', '3f4b42e3ff12f1fa456be9d301c007dd6c10a361ec366f539f22383cc0c497e1']",2,0.2,20309919084,20.309919084,2030.9919084,2063.745989,4222.7642324,0.5893333333333334,29.218666666666667,0.6046666666666667,0.007333333333333333,0.3993333333333333,0.5933333333333334
