robot,method,trajectory_uid,family,frame_count,whole_trajectory_completed,cumulative_latency_ns,cumulative_latency_ms,p50_frame_latency_ms,p95_frame_latency_ms,p99_frame_latency_ms,mean_fev,learned_seed_invocation_count,learned_seed_invocation_rate,anchor_frame_count,periodic_reanchor_count,local_frame_count,robust_frame_count,longest_robust_run
panda,counterfactual_cghik_v4,5ec9065816c3f53f0f577cb09bec76d2fb3f5692f79981799e9bb295e0dbf34b,slow_high_curvature_high_speed_slow,150,False,12212829716,12212.829716,2.073087,329.23970854999953,368.80401938,108.28666666666666,150,1.0,,,,,
panda,counterfactual_cghik_v4,fb6617cd2411151431ac915a92fd4c1d3791c66a0b11850682c7dd4dc72fa258,smooth_fast_orientation_smooth,150,True,287380190,287.38019,1.8516205,2.21773725,2.46843676,2.9066666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,89660d7e6987a84d47ea747c85128cd7ae1ab44329bfed223f201f5c1cc00336,regular_near_singular_regular,150,True,316699505,316.699505,2.17038,2.7614980499999997,3.0166877899999998,3.16,150,1.0,,,,,
panda,counterfactual_cghik_v4,dde7e903c77b268f7f1c5f819b038cf31ec73b4cc80326ebc38d8752ce904919,central_joint_limit_skim_return,150,False,3359066300,3359.0663,2.003322,137.08967404999996,227.93018361999995,39.07333333333333,150,1.0,,,,,
panda,counterfactual_cghik_v4,ef30d643539c282f528bff5ab80f1b66b434299972e8584ff883e1fe4ecaed65,smooth_fast_orientation_smooth,150,True,296425586,296.425586,1.8981,2.38211675,2.543193449999999,2.986666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,cebfe3638d073c3b8003f366c2cfe9bc4899d3df99821888109273d224ac9a0a,central_joint_limit_skim_return,150,False,2912844149,2912.844149,1.874512,141.21334939999997,161.76513019999996,40.24666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,e92dd7b2ef02b6eb4fce5e95645a625ab8b06b3d2a22566c1ae0b5ef6778a6b0,regular_near_singular_regular,150,True,285212014,285.212014,1.895981,2.3793927999999998,2.66737483,2.3066666666666666,150,1.0,,,,,
panda,counterfactual_cghik_v4,03d063ad08cc24622a37de78a5e18e6d3bcd5bd03d8c07e97e201ac9cc0ec564,slow_high_curvature_high_speed_slow,150,False,9803375511,9803.375511,2.0886105,223.02946429999997,231.05425257,98.32,150,1.0,,,,,
panda,counterfactual_cghik_v4,c7ce5895f9e508ea014336312b7451e5774c14ed405fc52a6ab6e1a5dec93188,central_joint_limit_skim_return,150,False,2338712360,2338.71236,1.94339,86.97815495,126.50565559999934,38.89333333333333,150,1.0,,,,,
panda,counterfactual_cghik_v4,af0c253cf52e8fa97d8cae2ae462fce2e8b18b7b011ed353eed409309e920dad,regular_near_singular_regular,150,True,336872861,336.872861,2.023694,2.6017666999999998,2.844218029999998,2.64,150,1.0,,,,,
panda,counterfactual_cghik_v4,0a2dfa865596bc46a849dee449f40645f3520acbdf7f93cd7884270b2d40bbe4,slow_high_curvature_high_speed_slow,150,False,12324155658,12324.155658,76.5118695,245.9014006499999,298.16273688,127.12,150,1.0,,,,,
panda,counterfactual_cghik_v4,34b3debceaa18f21cd7e422a25fa686430efb997212493dc24b2cb7df27ecf42,smooth_fast_orientation_smooth,150,True,299355292,299.355292,1.96257,2.4449202999999993,2.6661498499999987,2.8933333333333335,150,1.0,,,,,
panda,counterfactual_cghik_v4,db844ebed33244d68e6c5cf7bfaaaa95b62513027a5eec757f4ea2185387acff,regular_near_singular_regular,150,True,279067905,279.067905,1.8896215,2.2221182499999985,2.63539217,2.28,150,1.0,,,,,
panda,counterfactual_cghik_v4,2fdf293514a121f7ed5454fee0184438875871d452f22549978c4e279c439488,central_joint_limit_skim_return,150,True,288357760,288.35776,1.9095205,2.3522059,2.6038317899999988,2.44,150,1.0,,,,,
panda,counterfactual_cghik_v4,d246750104603e0199ed801393781b020791edafa1c48241e3c5229be80af678,slow_high_curvature_high_speed_slow,150,False,1512577961,1512.577961,2.465331,76.27268249999986,184.75979512999942,15.606666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,a9c64815f6506dda84a6858352d17c79264b6b01d212603243bcd7dc2164809e,smooth_fast_orientation_smooth,150,True,298482272,298.482272,1.9445165,2.40805415,2.54323761,2.88,150,1.0,,,,,
panda,counterfactual_cghik_v4,c4e92b235d2aa20488e03f1246890af0f706fc3ddae584234bbc94ca4c88bc22,regular_near_singular_regular,150,False,10031710080,10031.71008,2.021794,233.94753129999998,287.8808709199996,118.94,150,1.0,,,,,
panda,counterfactual_cghik_v4,34059ab6a58c115e35f6c3ae3e1037068a79e8941b93537e91c199cb0d672005,smooth_fast_orientation_smooth,150,True,303051374,303.051374,1.9938645,2.42919635,2.6548352699999995,2.986666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,4c84765b8b332f0bba4878251cf234b5f85c23dd5ebdf92e11daa7bfbdb7019b,slow_high_curvature_high_speed_slow,150,False,9771704381,9771.704381,2.0623865,304.454491,368.23969289999997,79.91333333333333,150,1.0,,,,,
panda,counterfactual_cghik_v4,9dd98ee5916ca3c4d7f09ee93e4cfe0cd7ff239f46f3f102024795864d243067,central_joint_limit_skim_return,150,True,291550107,291.550107,1.9345755,2.4550022499999975,3.299347769999999,2.4133333333333336,150,1.0,,,,,
panda,counterfactual_cghik_v4,a71677b61885785fce60c84352b2b7a5b1e1034b6e5e571f421da8531eadfc62,slow_high_curvature_high_speed_slow,150,False,2904254036,2904.254036,1.99868,217.27630264999996,228.41605768999997,26.84,150,1.0,,,,,
panda,counterfactual_cghik_v4,5a9e998d266685440c601538a3dd5bbdc8810e3f95c9d0f54be626ce6dc29674,regular_near_singular_regular,150,False,26008453541,26008.453541,223.500961,375.1895726,381.37886334999996,247.90666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,9798f449cb328ae17c4bdfcea0f28541a17dfc8086bd8ca00e90a5807e6718e1,central_joint_limit_skim_return,150,True,290399576,290.399576,1.92019,2.3641885499999993,2.8250623199999962,2.493333333333333,150,1.0,,,,,
panda,counterfactual_cghik_v4,77259c80e55bb3a598117a56d18e1fe835a6a40809e0bd3c852b876a5052c82f,smooth_fast_orientation_smooth,150,False,6493668926,6493.668926,1.9677705,256.03477689999994,311.93642802999983,54.03333333333333,150,1.0,,,,,
panda,counterfactual_cghik_v4,885bbb2ba363ea31a64b3313db23810708cf8e684c46dc17c8ad3c3660cc1e3d,smooth_fast_orientation_smooth,150,True,306458982,306.458982,1.997181,2.5139723,2.9238861499999995,2.986666666666667,150,1.0,,,,,
