robot,subset,method,reference,query_count,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high,fev_ratio,fev_ratio_ci_low,fev_ratio_ci_high,success_difference,success_difference_ci_low,success_difference_ci_high,deadline_difference,deadline_difference_ci_low,deadline_difference_ci_high,paired_latency_difference_ms,paired_latency_difference_ms_ci_low,paired_latency_difference_ms_ci_high,p50_ratio,p50_ratio_ci_low,p50_ratio_ci_high,p95_ratio,p95_ratio_ci_low,p95_ratio_ci_high,p99_ratio,p99_ratio_ci_low,p99_ratio_ci_high
panda,all,full_cghik,trac_ik_20ms,3000,10.880100071805895,10.167100158598545,11.603894163011256,,,,-0.024222222222222218,-0.030555555555555558,-0.01811111111111111,-0.03766666666666667,-0.044,-0.03144444444444444,35.339035330555554,32.78794777252778,37.93219778269444,,,,,,,,,
panda,all,full_cghik,trac_ik_400ms,3000,0.5816110092248827,0.5434826967832427,0.6203604029483193,,,,-0.02511111111111111,-0.03155555555555555,-0.01888888888888889,-0.03855555555555555,-0.045,-0.03222222222222222,-27.99457420244444,-30.546110466694444,-25.401544539680554,,,,,,,,,
panda,all,full_cghik,trac_ik_5ms,3000,36.14680834419392,33.78417079452289,38.51249873833941,,,,-0.024888888888888884,-0.03122222222222222,-0.018774999999999986,-0.03833333333333333,-0.044777777777777784,-0.032108333333333315,37.839219818777785,35.28866302177222,40.43176945553889,,,,,,,,,
panda,feasible,geometry_threshold,always_hard,2500,1.032403920530662,1.0286649350876151,1.0372418737894844,1.0006615172091757,1.0003113262937946,1.0010360836993146,0.0,0.0,0.0,-0.00013333333333333334,-0.0004,0.0,0.489512546,0.47668626728999997,0.5025273393866668,,,,,,,,,
panda,feasible,reject_only_hard,always_hard,2500,1.033536047135182,1.0297260080310928,1.038509253050523,1.0,1.0,1.0,0.0,0.0,0.0,-0.0002666666666666667,-0.0008,0.0,0.5066151116000001,0.4892806750066668,0.5260039726266668,,,,,,,,,
panda,feasible,routing_only,always_hard,2500,1.0334373674157291,1.0295646217155998,1.0382365265695639,1.0011673833103099,1.0005965395579977,1.0018535803922883,0.0,0.0,0.0,-0.00013333333333333334,-0.0004,0.0,0.5051243981333334,0.48869597334666687,0.5221150623800004,,,,,,,,,
panda,feasible,p50_selection,always_hard,2500,1.0348861170424093,1.0308340501994993,1.0399331580377489,1.0069848434733544,1.005313897004242,1.0088420834267384,0.0,0.0,0.0,-0.00013333333333333334,-0.0004,0.0,0.527010056,0.50919176268,0.5460660706999999,,,,,,,,,
panda,feasible,full_cghik,always_hard,2500,1.0332992874099465,1.029326140130657,1.0382314222117428,1.0011673833103099,1.0005965395579977,1.0018535803922883,0.0,0.0,0.0,-0.00013333333333333334,-0.0004,0.0,0.5030384809333333,0.48578688246333335,0.5245719363299999,1.3216836559645524,1.3088531654415414,1.3347096265681841,1.0066168632947587,1.0019566172047356,1.061120459474832,1.0013484424350552,1.000403411146647,1.0035672327228735
panda,feasible,full_cghik,reject_only_hard,2500,0.9997709226244293,0.9983224048225743,1.0013450623270976,1.0011673833103099,1.0005965395579977,1.0018535803922883,0.0,0.0,0.0,0.00013333333333333334,-0.0004,0.0008,-0.0035766306666667387,-0.02656963266000015,0.020963668693333316,,,,,,,,,
panda,feasible,full_cghik,p50_selection,2500,0.9984666625570379,0.9970492145153755,0.9999324333589672,0.9942228920318417,0.9924993290949427,0.9957966636015273,0.0,0.0,0.0,0.0,-0.0004,0.0004,-0.02397157506666669,-0.04579540837666694,-0.0011402475733334782,0.9972822241676198,0.9905755171240037,1.0030107046095866,0.9969453405882926,0.9757728523630445,1.0100525793549269,1.0001561640327998,0.9983685718849474,1.0020122626627987
