robot,method,reference,family,group,trajectory_count,method_total_ns,reference_total_ns,saved_ns,saved_fraction_of_total,method_total_fev,reference_total_fev,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high
panda,full_cghik,trac_ik_5ms,near_singular,neither_complete,1,11996015550,416365030,-11579650520,0.4337705595807982,22037,,28.81129462289376,28.81129462289376,28.81129462289376
panda,full_cghik,trac_ik_5ms,joint_limit_return,both_complete,10,2869227859,362401585,-2506826274,1.0,4570,,7.917260789574085,7.712993819102076,8.15272602694514
panda,full_cghik,trac_ik_5ms,joint_limit_return,only_cghik_complete,0,0,0,0,-0.0,0,,,,
panda,full_cghik,trac_ik_5ms,joint_limit_return,only_hard_complete,0,0,0,0,-0.0,0,,,,
panda,full_cghik,trac_ik_5ms,joint_limit_return,neither_complete,0,0,0,0,-0.0,0,,,,
panda,full_cghik,trac_ik_5ms,high_curvature,both_complete,10,2869292964,364338479,-2504954485,1.0,4494,,7.875349789776116,7.702512191698609,8.068549747571389
panda,full_cghik,trac_ik_5ms,high_curvature,only_cghik_complete,0,0,0,0,-0.0,0,,,,
panda,full_cghik,trac_ik_5ms,high_curvature,only_hard_complete,0,0,0,0,-0.0,0,,,,
panda,full_cghik,trac_ik_5ms,high_curvature,neither_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,always_hard,all,both_complete,36,9763762321,7389998005,-2373764316,2.21705711443159,16052,16042,1.32121312000273,1.3166009570619628,1.3257025542621836
ur5e,full_cghik,always_hard,all,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,all,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,all,neither_complete,4,7257126967,8560208755,1303081788,-1.21705711443159,18326,21895,0.8477745315219243,0.7651074231065963,0.950278792565515
ur5e,full_cghik,always_hard,smooth,both_complete,8,2181547561,1650109599,-531437962,-0.5880251563667833,3594,3594,1.3220622207894932,1.3126504619369526,1.3306296954059327
ur5e,full_cghik,always_hard,smooth,only_cghik_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,always_hard,smooth,only_hard_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,always_hard,smooth,neither_complete,2,3039161571,4474366925,1435205354,1.5880251563667833,6548,10149,0.6792383418577144,0.5625894486976497,0.8560291283525299
ur5e,full_cghik,always_hard,near_singular,both_complete,9,2420892429,1824436487,-596455942,0.909206391197054,3908,3898,1.326926120065039,1.3152555475391223,1.339176893641002
ur5e,full_cghik,always_hard,near_singular,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,near_singular,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,near_singular,neither_complete,1,2919587916,2860025656,-59562260,0.09079360880294599,8282,8282,1.0208257782146273,1.0208257782146273,1.0208257782146273
ur5e,full_cghik,always_hard,joint_limit_return,both_complete,9,2448558657,1860132338,-588426319,0.8902228978946467,4050,4050,1.3163357289044668,1.3115662479036456,1.3214114288401113
ur5e,full_cghik,always_hard,joint_limit_return,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,joint_limit_return,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,joint_limit_return,neither_complete,1,1298377480,1225816174,-72561306,0.10977710210535334,3496,3464,1.0591942801368193,1.0591942801368193,1.0591942801368193
ur5e,full_cghik,always_hard,high_curvature,both_complete,10,2712763674,2055319581,-657444093,1.0,4500,4500,1.319874387943176,1.3102604029651947,1.3291206052101172
ur5e,full_cghik,always_hard,high_curvature,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,high_curvature,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,full_cghik,always_hard,high_curvature,neither_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,all,both_complete,36,9776099253,7389998005,-2386101248,0.8774712580874475,16052,16042,1.3228825293843904,1.3181499771860936,1.3273664684003212
ur5e,routing_only,always_hard,all,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,all,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,all,neither_complete,4,8893400277,8560208755,-333191522,0.1225287419125525,22359,21895,1.0389232939915611,1.0372654670539334,1.0409789401661667
ur5e,routing_only,always_hard,smooth,both_complete,8,2180279982,1650109599,-530170383,0.7354290357865777,3594,3594,1.3212940421177441,1.3101960282487968,1.3302411329596648
ur5e,routing_only,always_hard,smooth,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,smooth,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,smooth,neither_complete,2,4665095986,4474366925,-190729061,0.26457096421342224,10581,10149,1.042627049635631,1.0390828659637488,1.0479985452568907
ur5e,routing_only,always_hard,near_singular,both_complete,9,2422091826,1824436487,-597655339,0.9037045977928998,3908,3898,1.3275835268909528,1.3179023469168691,1.3381110580867106
ur5e,routing_only,always_hard,near_singular,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,near_singular,only_hard_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,near_singular,neither_complete,1,2923709587,2860025656,-63683931,0.09629540220710014,8282,8282,1.022266908993071,1.022266908993071,1.022266908993071
ur5e,routing_only,always_hard,joint_limit_return,both_complete,9,2459035510,1860132338,-598903172,0.8837529038079296,4050,4050,1.3219680448348832,1.3145325313457665,1.3291699693312993
ur5e,routing_only,always_hard,joint_limit_return,only_cghik_complete,0,0,0,0,-0.0,0,0,,,
ur5e,routing_only,always_hard,joint_limit_return,only_hard_complete,0,0,0,0,-0.0,0,0,,,
