case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
state_14_candidate_05,30,hold,False,,9,1789.23006,3180,3030,runs/state_14_candidate_05_L30_hold.json
state_14_candidate_05,30,historical_prefix,True,0.9207159380094408,9,2015.050873,3180,3030,runs/state_14_candidate_05_L30_historical_prefix.json
state_14_candidate_05,30,dls_prediction,True,0.11399870763970592,9,1886.154199,3540,3060,runs/state_14_candidate_05_L30_dls_prediction.json
state_14_candidate_05,5,hold,True,0.09330564781930757,0,36.683259,150,120,runs/state_14_candidate_05_L5_hold.json
state_14_candidate_05,5,historical_prefix,True,0.09330564783984166,0,29.485121,125,90,runs/state_14_candidate_05_L5_historical_prefix.json
state_14_candidate_05,5,dls_prediction,True,0.09330564782418645,0,35.954758,155,110,runs/state_14_candidate_05_L5_dls_prediction.json
state_08_candidate_02,5,hold,True,0.18748673906041197,0,56.927535,220,180,runs/state_08_candidate_02_L5_hold.json
state_08_candidate_02,5,historical_prefix,True,0.18748673906202268,0,56.2755,225,185,runs/state_08_candidate_02_L5_historical_prefix.json
state_08_candidate_02,5,dls_prediction,True,0.18748673906172975,0,60.806272,245,200,runs/state_08_candidate_02_L5_dls_prediction.json
state_13_candidate_03,5,hold,True,0.1379582854865724,0,41.326626,165,135,runs/state_13_candidate_03_L5_hold.json
state_13_candidate_03,5,historical_prefix,True,0.1379582854612962,0,48.298038,195,155,runs/state_13_candidate_03_L5_historical_prefix.json
state_13_candidate_03,5,dls_prediction,True,0.13795828547469607,0,41.702815,175,130,runs/state_13_candidate_03_L5_dls_prediction.json
case_01_matched_03,1,hold,True,0.12956767012982148,0,65.040499,447,60,runs/case_01_matched_03_L1_hold.json
case_01_matched_03,1,historical_prefix,True,0.12956767012982148,0,65.553812,447,60,runs/case_01_matched_03_L1_historical_prefix.json
case_01_matched_03,1,dls_prediction,True,0.1295676701289851,0,6.799291,30,16,runs/case_01_matched_03_L1_dls_prediction.json
state_18_candidate_03,1,hold,True,0.10300208201056078,0,4.691159,19,12,runs/state_18_candidate_03_L1_hold.json
