case_id,horizon,found,best_found_rho_upper_bound,successful_initializations,initial_path_verified,selected_run,optimizer_statuses,all_three_starts_total_ms,all_three_starts_fk_calls,all_three_starts_jacobian_calls,selected_max_position_excess,selected_max_orientation_excess,selected_minimum_joint_margin
state_14_candidate_05,1,True,0.06397656893507463,3,2,runs/state_14_candidate_05_L1_historical_prefix.json,"[{'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 13, 'scipy_nfev': 24, 'scipy_njev': 9}, {'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 18, 'scipy_nfev': 32, 'scipy_njev': 14}, {'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 13, 'scipy_nfev': 11, 'scipy_njev': 9}]",17.887038,89,33,-1.3677312320908852e-12,-0.0012860634778065838,0.2392596821659697
state_14_candidate_05,5,True,0.09330564781930757,3,2,runs/state_14_candidate_05_L5_hold.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 24, 'scipy_nfev': 25, 'scipy_njev': 24}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 18, 'scipy_nfev': 18, 'scipy_njev': 18}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 21, 'scipy_nfev': 22, 'scipy_njev': 21}]",102.123138,430,320,-4.050158212282051e-12,-2.3872305174310604e-11,0.2407935929916149
state_14_candidate_05,10,True,0.09897793399671063,3,2,runs/state_14_candidate_05_L10_hold.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 52, 'scipy_nfev': 54, 'scipy_njev': 52}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 53, 'scipy_nfev': 54, 'scipy_njev': 53}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 38, 'scipy_nfev': 39, 'scipy_njev': 38}]",523.538359,1710,1440,-2.944259419601636e-14,-2.9722854386071695e-11,0.24109025355869307
state_14_candidate_05,30,True,0.11399870763970592,2,2,runs/state_14_candidate_05_L30_dls_prediction.json,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",5690.435132,9900,9120,-0.0005071068219933122,-0.0008029891212988065,0.24077481307703164
state_18_candidate_00,1,True,0.10249826209315846,3,2,runs/state_18_candidate_00_L1_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 13, 'scipy_nfev': 15, 'scipy_njev': 13}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 17, 'scipy_njev': 15}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 18, 'scipy_njev': 15}]",17.270564,70,44,-4.992902358919027e-12,-0.00673819248065133,0.35153813194873995
state_18_candidate_00,5,True,0.1202326654599134,3,2,runs/state_18_candidate_00_L5_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 28, 'scipy_nfev': 29, 'scipy_njev': 28}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 18, 'scipy_nfev': 20, 'scipy_njev': 18}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 28, 'scipy_nfev': 29, 'scipy_njev': 28}]",118.499358,490,375,-7.434467538119938e-13,-1.8945390395375128e-11,0.3523113519355303
state_18_candidate_00,10,True,0.126819485009298,3,2,runs/state_18_candidate_00_L10_hold.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 55, 'scipy_nfev': 57, 'scipy_njev': 55}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 28, 'scipy_nfev': 29, 'scipy_njev': 28}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 54, 'scipy_nfev': 55, 'scipy_njev': 54}]",475.22963,1610,1380,-3.338781508210875e-12,-3.934376435754672e-11,0.3525985372678836
state_18_candidate_00,30,False,,0,0,,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 219, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",5291.149149,13217,9155,,,
state_18_candidate_01,1,True,0.10275552199928452,3,2,runs/state_18_candidate_01_L1_hold.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 12, 'scipy_nfev': 15, 'scipy_njev': 12}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 15, 'scipy_nfev': 17, 'scipy_njev': 15}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 14, 'scipy_nfev': 18, 'scipy_njev': 14}]",16.526525,70,42,-3.809040756419524e-13,-0.004633792128999762,0.3517368559028733
state_18_candidate_01,5,True,0.12071453152377337,3,2,runs/state_18_candidate_01_L5_hold.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 32, 'scipy_nfev': 34, 'scipy_njev': 32}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 20, 'scipy_nfev': 22, 'scipy_njev': 20}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 30, 'scipy_nfev': 31, 'scipy_njev': 30}]",129.711259,535,415,-9.776339893879937e-13,-2.7159110030372524e-11,0.3525198687181409
