robot,uid,site_id,method,repeat,family,frame,previous_q,target_position,target_rotation,q,position_error,orientation_error,velocity_utilization,failure_kind,total_latency_ns,internal_status,native_return_code
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,current_trf,2,joint_limit_return,126,"[0.33785817689076825,-0.0655220439488427,1.0578918592094277,-1.5328196957419795,2.4581845476614714,2.0495281905706713,-1.4247795282892348]","[0.039304288491489404,0.5783015559501752,0.8017018458033105]","[[0.7708947894092749,0.3703311443900401,-0.5182432509511267],[-0.055203766785359355,0.8493994159404468,0.5248553861138663],[0.6345658104517897,-0.37599930278498017,0.675241258004035]]","[0.33998388650477707,-0.06251646988932347,1.06009421713878,-1.5420413319329944,2.439784624340232,2.0603024385770436,-1.4315383018651078]",0.0002921998812321641,0.011730586012472864,0.3518149774615587,orientation_tolerance,18896036,native_termination,0
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,trac_then_current_trf,2,near_singular,123,"[2.8968485766962533,0.20109956694763179,1.6651079274031915,-0.692125175111983,0.8581148834720363,0.3514014206225083,0.08555165650380055]","[-0.0640817664245582,-0.26385420081552274,0.9054111049848297]","[[0.5577899304229678,-0.6776398804034319,0.4792437647018093],[-0.8294523535778779,-0.4344894037038119,0.3510381050729751],[-0.029651081984639175,-0.5933153887739037,-0.8044238079403244]]","[2.897299999761611,0.2212677792608221,1.7087079222923645,-0.7040914246188117,0.8284801757380363,0.3651795910797203,0.10170686716752354]",0.0010726810755007843,0.009300566657213885,0.9999998827791969,position_tolerance+orientation_tolerance,15869694,native_termination,2
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,pink_qp,0,near_singular,122,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",0.0012992839328331773,0.004631253155571994,0.3424426454082252,position_tolerance,1201057,solved,1
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,trac_then_current_trf,0,near_singular,123,"[2.8972999999971196,0.21055671435731904,1.6868974986928968,-0.6949674654231983,0.8416826953052244,0.3577076293197289,0.09264755965602225]","[-0.0640817664245582,-0.26385420081552274,0.9054111049848297]","[[0.5577899304229678,-0.6776398804034319,0.4792437647018093],[-0.8294523535778779,-0.4344894037038119,0.3510381050729751],[-0.029651081984639175,-0.5933153887739037,-0.8044238079403244]]","[2.8972999999999995,0.22481920436889896,1.7167282229051106,-0.7054709708108589,0.8228321389849564,0.36761865016260475,0.10464506722398846]",0.0010722920654965284,0.009291332294402554,0.6841909222984811,position_tolerance+orientation_tolerance,20620171,deadline,-2
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,trac_then_current_trf,0,near_singular,117,"[-2.2288098073416496,0.044106577780515945,2.532584949500572,-0.5558155802819392,-2.897277465397048,2.0488470107944745,-1.7533371313325155]","[0.20707428033755954,0.03253668759607717,1.1613652780066157]","[[0.3428504124886296,0.8397815692864986,-0.42097566502481154],[-0.9080587384616929,0.18150052607807876,-0.37747435215751995],[-0.2405886991521742,0.5116878686465866,0.8247985226224512]]","[-2.267923688925563,0.04252999807043855,2.5761808615296786,-0.5546506367723328,-2.897299888769708,2.052333810297201,-1.7584189762565592]",0.0011023362451168717,0.002445364621157062,0.9999062391996957,position_tolerance,20679415,deadline,-2
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,pink_qp,0,high_curvature,105,"[-0.29890812302948927,0.6501893171993048,0.15842787091403504,-0.06980000000000001,0.37630819867383475,1.0383314852110515,0.27493358057509076]","[0.5386324067017476,-0.0890863944736938,0.8244160345204308]","[[0.91949543392027,-0.13962573615186571,0.36746809494679145],[-0.27315610011680863,-0.8991820107761838,0.34184419911046454],[0.28269045256030595,-0.4147003319272225,-0.86493337473513]]","[-0.29677849720720634,0.6322722729599511,0.11482787091403505,-0.06980000000000001,0.4139754548757427,1.03909267198161,0.2798914939718913]",0.001411975557762603,0.014032338823747612,0.9999999999999997,position_tolerance+orientation_tolerance,995830,solved,1
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,current_trf,1,near_singular,114,"[-2.0558006831360527,0.05171667962010971,2.3578982372942816,-0.550544687815074,-2.89729840147945,2.0704930935189068,-1.7517720856923191]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.0986207808079196,0.04842173748357013,2.4014926570173447,-0.5503494644240574,-2.897299666047368,2.066317952522239,-1.7528914942866507]",0.0010159411203545337,0.0020132365551922397,0.9998720119968602,position_tolerance,20613489,deadline,-2
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,current_trf,0,joint_limit_return,126,"[0.33785817689076825,-0.0655220439488427,1.0578918592094277,-1.5328196957419795,2.4581845476614714,2.0495281905706713,-1.4247795282892348]","[0.039304288491489404,0.5783015559501752,0.8017018458033105]","[[0.7708947894092749,0.3703311443900401,-0.5182432509511267],[-0.055203766785359355,0.8493994159404468,0.5248553861138663],[0.6345658104517897,-0.37599930278498017,0.675241258004035]]","[0.3397345084838166,-0.06213000497058463,1.0598047771116452,-1.541687662739256,2.4369200157017916,2.0604784704287606,-1.428474922070591]",0.0005393174696573639,0.014198552247209766,0.4065876091716981,orientation_tolerance,20358962,deadline,-2
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,current_trf,1,smooth,13,"[0.12672504495134873,0.45692736860353766,-1.4928961902690474,-0.996876041356283,-1.6375912010185847,2.293100788246845,-1.5904537511619263]","[0.36432104648061653,-0.42844444851533325,0.9310318128582421]","[[-0.34435339310950264,0.8575821580977021,-0.38206489339699873],[-0.5941596910801834,-0.514156327656896,-0.6185608557174271],[-0.726907836076537,0.014004029522330505,0.686592226148581]]","[0.12685341577475523,0.45942100715767914,-1.4999887705704713,-0.9879179983131227,-1.638895504783794,2.2842205426609907,-1.5972097476394294]",0.0005365177605823841,0.012091946531066702,0.2054597028247796,orientation_tolerance,18931223,native_termination,0
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,current_trf,0,joint_limit_return,120,"[-1.5505053810159066,0.8118669841818472,0.08743805147774023,-0.8838984982176228,2.731263855942882,2.6236744341116816,0.5987977177541162]","[0.04942645559723639,-0.8092439493433267,0.4864273005902582]","[[0.31269282855969194,0.914798697423166,0.255668805606429],[-0.2671922357442405,0.3430111502222676,-0.9005285447897758],[-0.9114995908530809,0.21327609808901693,0.3516842360109291]]","[-1.548253262819226,0.8126270983011858,0.09022793286610585,-0.8838387732061607,2.7509244962212978,2.6226302116734788,0.576672893288121]",0.0006328226822927539,0.01571673815584304,0.4230367966729479,orientation_tolerance,18205544,native_termination,0
