robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
ur5e,current_trf,pink_qp,deadline_completion,-0.008333333333333335,"[-0.10833333333333335,0.09166666666666666]",0.9912280701754387,"[0.8888888888888891,1.1047619047619046]"
ur5e,current_trf,pink_qp,total_latency_ns,35745453.5,"[23627241.557083335,50590087.649791665]",1.2357705780748096,"[1.1529047716501046,1.3390423633945188]"
ur5e,current_trf,pink_qp,frame_success,-0.01,"[-0.05183333333333333,0.02535833333333343]",0.989875126560918,"[0.9481578102574727,1.0260340084763557]"
ur5e,current_trf,pink_qp,successful_prefix,0.4,"[-6.7,7.5]",1.0027350427350428,"[0.9553333333333334,1.0526315789473684]"
ur5e,current_trf,pink_qp,acceleration_rms,-1.8134150095738448,"[-5.04825793396485,1.3222807973104878]",0.850200903698443,"[0.6644201287867181,1.1436144411941391]"
ur5e,trac_then_current_trf,trac_task_5ms,completion,-0.008333333333333333,"[-0.025,0.0]",0.9913043478260871,"[0.9722222222222222,1.0]"
ur5e,trac_then_current_trf,trac_task_5ms,deadline_completion,0.008333333333333335,"[-0.025,0.04166666666666667]",1.0089285714285714,"[0.9727272727272728,1.0458715596330277]"
ur5e,trac_then_current_trf,trac_task_5ms,total_latency_ns,27523827.741666663,"[-1427978.0733333323,74422120.401875]",1.3770373689102628,"[0.9764056604697022,1.7922651698892864]"
ur5e,trac_then_current_trf,trac_task_5ms,frame_success,-0.006500000000000001,"[-0.01966666666666666,0.00016666666666665942]",0.9933845979871083,"[0.9794560522936853,1.0001688048615798]"
ur5e,trac_then_current_trf,trac_task_5ms,successful_prefix,-0.9750000000000003,"[-2.9500000000000006,0.024999999999999644]",0.9933845979871087,"[0.9794560522936852,1.00016880486158]"
ur5e,trac_then_current_trf,trac_task_5ms,acceleration_rms,-0.18250685474532544,"[-0.8843432083865213,0.3858390171633271]",0.9827204718517514,"[0.9206442201236016,1.039526304250232]"
ur5e,trac_then_current_trf,pink_qp,completion,0.0,"[-0.1,0.1]",1.0,"[0.9,1.1111111111111112]"
ur5e,trac_then_current_trf,pink_qp,deadline_completion,-0.008333333333333335,"[-0.10833333333333335,0.09166666666666666]",0.9912280701754386,"[0.8916666666666666,1.1018518518518519]"
ur5e,trac_then_current_trf,pink_qp,total_latency_ns,-51087078.83333333,"[-93598752.20895833,17499568.801041678]",0.6630388223025797,"[0.38877426511863494,1.1152590356632506]"
ur5e,trac_then_current_trf,pink_qp,frame_success,-0.011611111111111109,"[-0.059166666666666666,0.02483333333333334]",0.9882438969512881,"[0.9408195504806357,1.025465732353444]"
ur5e,trac_then_current_trf,pink_qp,successful_prefix,0.15833333333333321,"[-7.7,7.5]",1.0010826210826211,"[0.9480344187615994,1.0526315789473684]"
ur5e,trac_then_current_trf,pink_qp,acceleration_rms,-1.7261263587311297,"[-3.342872459080191,-0.05850933955278156]",0.8574114765373069,"[0.7540482614424835,0.9942457946392931]"
ur5e,trac_then_current_trf,current_trf,completion,0.0,"[-0.1,0.1]",1.0,"[0.9,1.1142857142857143]"
ur5e,trac_then_current_trf,current_trf,deadline_completion,2.7755575615628915e-18,"[-0.09166666666666666,0.1]",0.9999999999999998,"[0.9067796610169491,1.1111111111111112]"
ur5e,trac_then_current_trf,current_trf,total_latency_ns,-86832532.33333333,"[-133521407.34187502,-14643331.498541655]",0.5365387670383923,"[0.31026632573590185,0.9192624025444668]"
ur5e,trac_then_current_trf,current_trf,frame_success,-0.0016111111111111077,"[-0.05183333333333333,0.04783333333333333]",0.9983520854642572,"[0.9477749790092358,1.0504571026722926]"
