panel,site_id,condition,completed,repeats,center_id,candidate_id,center_completed,position_match_error,orientation_match_error,scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note,repeat,cumulative_ms
d,case_00_pre_failure,A,,,,,,,,,,,,,,,,,,,4,161.707947
d,case_00_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,11.847922
d,case_00_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,11.319093
d,case_00_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,11.267848
d,case_00_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,12.0107
d,case_00_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,12.13821
d,case_00_pre_failure,B,,,,,,,,,,,,,,,,,,,0,5222.68237
d,case_00_pre_failure,B,,,,,,,,,,,,,,,,,,,1,5217.850048
d,case_00_pre_failure,B,,,,,,,,,,,,,,,,,,,2,5218.802823
d,case_00_pre_failure,B,,,,,,,,,,,,,,,,,,,3,5253.016317
d,case_00_pre_failure,B,,,,,,,,,,,,,,,,,,,4,5213.080225
d,case_01_pre_failure,A,,,,,,,,,,,,,,,,,,,0,163.735611
d,case_01_pre_failure,A,,,,,,,,,,,,,,,,,,,1,163.65662
d,case_01_pre_failure,A,,,,,,,,,,,,,,,,,,,2,163.02032
d,case_01_pre_failure,A,,,,,,,,,,,,,,,,,,,3,163.639383
d,case_01_pre_failure,A,,,,,,,,,,,,,,,,,,,4,162.676281
d,case_01_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,163.084059
d,case_01_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,162.333888
d,case_01_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,163.030363
d,case_01_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,164.592526
d,case_01_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,162.914614
d,case_01_pre_failure,B,,,,,,,,,,,,,,,,,,,0,162.670576
d,case_01_pre_failure,B,,,,,,,,,,,,,,,,,,,1,162.597509
