robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,successful_prefix,160,-0.024999999999998756,"[-3.2355208333333314,3.348020833333335]",0.9999023906164848,"[0.9874759171049743,1.0131144486241428]"
panda,cr_ik_elastic_mu025,cr_ik_mu0_analytic,frame_deadline_success,160,0.001298611111111108,"[-0.00671545138888889,0.010731076388888898]",1.0014748448258184,"[0.9924161250035283,1.0123940708390984]"
panda,cr_ik_elastic_mu025,two_step_predictive,completion,160,-0.022916666666666665,"[-0.06875,0.022916666666666665]",0.9699453551912569,"[0.9112903225806452,1.0313390313390312]"
panda,cr_ik_elastic_mu025,two_step_predictive,deadline_completion,160,-0.0375,"[-0.08541666666666667,0.010416666666666661]",0.9491525423728814,"[0.8879168245547556,1.0140065857803795]"
panda,cr_ik_elastic_mu025,two_step_predictive,total_latency_ns,160,-798395155.0041667,"[-836287534.9883854,-757996682.6950521]",0.35049022984730344,"[0.3107749456900253,0.39285872932553006]"
panda,cr_ik_elastic_mu025,two_step_predictive,frame_success,160,0.0014652777777777765,"[-0.02137604166666667,0.024868576388888893]",1.0016641822240098,"[0.9760076508244518,1.0288673384222466]"
panda,cr_ik_elastic_mu025,two_step_predictive,acceleration_rms,160,0.6237061193317139,"[0.26913492870215694,0.9859377383485675]",1.1039769872190215,"[1.0427847002543844,1.1705724767403134]"
panda,cr_ik_elastic_mu025,two_step_predictive,intervention_normalized_mean,160,-0.14437727385232652,"[-0.16121890366861957,-0.12940255932444422]",0.06937034288506583,"[0.05463557917318091,0.08658489274742287]"
panda,cr_ik_elastic_mu025,two_step_predictive,optimization_call_rate,160,-0.44002777777777774,"[-0.47694010416666666,-0.4015960069444445]",0.5599324939056998,"[0.523004163603269,0.5983785431141058]"
panda,cr_ik_elastic_mu025,two_step_predictive,successful_prefix,160,1.6708333333333336,"[-7.608958333333334,11.286197916666671]",1.0065670419651997,"[0.9707824836179849,1.0457038990451353]"
panda,cr_ik_elastic_mu025,two_step_predictive,frame_deadline_success,160,0.0014305555555555543,"[-0.021389062500000004,0.02474565972222223]",1.001624938867591,"[0.975995081352386,1.0287541512958007]"
panda,cr_ik_elastic_mu025,trac_task_5ms,completion,160,0.004166666666666667,"[-0.025,0.03333333333333334]",1.0056657223796035,"[0.966998924307831,1.0474685891897981]"
panda,cr_ik_elastic_mu025,trac_task_5ms,deadline_completion,160,-0.016666666666666666,"[-0.052083333333333336,0.020833333333333332]",0.9767441860465117,"[0.9289726551505769,1.0308641975308641]"
panda,cr_ik_elastic_mu025,trac_task_5ms,total_latency_ns,160,189485057.65416664,"[172452308.1661979,207196040.9350521]",1.785114263943224,"[1.6251741788069225,2.0207995662908056]"
panda,cr_ik_elastic_mu025,trac_task_5ms,frame_success,160,0.004284722222222219,"[-0.006264930555555564,0.015111284722222215]",1.0048819857101032,"[0.9928597700039447,1.0173788279481324]"
panda,cr_ik_elastic_mu025,trac_task_5ms,acceleration_rms,160,0.3362237049421239,"[0.08491297977827576,0.5871554198030984]",1.0534878400382481,"[1.0125080981531633,1.0990831628501239]"
panda,cr_ik_elastic_mu025,trac_task_5ms,successful_prefix,160,1.0604166666666666,"[-2.9376041666666666,5.335416666666667]",1.0041578852783088,"[0.9885528057531807,1.0211993134044255]"
panda,cr_ik_elastic_mu025,trac_task_5ms,frame_deadline_success,160,0.004208333333333327,"[-0.006375000000000004,0.015021874999999997]",1.0047952901704464,"[0.9927837418420421,1.0172555009774913]"
panda,cr_ik_elastic_mu025,trac_task_20ms,completion,160,-0.010416666666666668,"[-0.03958333333333334,0.020833333333333332]",0.9861111111111112,"[0.9467455621301777,1.0277027546937516]"
panda,cr_ik_elastic_mu025,trac_task_20ms,deadline_completion,160,-0.03541666666666667,"[-0.07083333333333335,0.0020833333333333316]",0.951841359773371,"[0.9044776119402986,1.0029862053369518]"
