robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_call_rate,mean_conic_calls,partial_correction_rate,effective_command_adjustment_rate,geometric_recovery_rate,intervention_normalized_mean,unchanged_given_legal_backup,accepted_near_tolerance_rate,demand_met_rate,direct_extra_p50_ms,normalized_gap_reduction_mean,demand_coverage
panda,two_step_predictive,Two-step predictive,smooth,40,3,"[28,28,29]",28.333333333333332,0.7083333333333333,"[27,26,26]",0.6583333333333333,0.8426666666666667,0.8424999999999999,3.7588575,6.270626099999999,6.35179296,50409.84787333333,1260.2461968333332,1140.8268908333334,1687.684310933333,0.16136111111111115,0.8363888888888888,0.00017377986540770545,0.000979369445780259,0.002080903541985289,0.008699000297578082,0.9999999999999968,3.9189928585074587,0.07837985717014918,247.49166666666667,0,0.9998611111111111,2.6827222222222225,,,,0.11384376974062346,0.009989305424589649,0.002669463193131404,,,,
ur5e,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),high_curvature,40,3,"[37,38,38]",37.666666666666664,0.9416666666666667,"[35,37,37]",0.9083333333333334,0.9816666666666668,0.9815277777777778,0.793912,2.526620849999999,6.0221291500000005,11915.232017666667,297.8808004416667,257.471134,374.62919194999887,0.8842222222222221,0.1156388888888889,0.0005620835797386617,0.0009999936676499247,0.002513801656495035,0.008726525616606388,1.0,18.623052677027218,0.37246105354054443,293.575,0,0.7910833333333332,0.8329166666666666,0.05436111111111111,0.11577777777777779,,0.011402336535968045,0.8793430354982517,0.0017997207267279136,0.20927777777777778,0.33838608762886596,0.0023995121471637603,0.864715719063545
ur5e,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),joint_limit_return,40,3,"[35,35,37]",35.666666666666664,0.8916666666666666,"[32,35,35]",0.85,0.9534444444444444,0.9533055555555556,0.5508395,2.8844808499999792,6.03964719,11450.478578999999,286.26196447499996,206.014566,674.0300659333328,0.95425,0.043972222222222225,0.000467237167581872,0.0009999971869738718,0.001499312742669996,0.00872659202751944,1.0,12.0622579742317,0.24124515948463401,284.44166666666666,0,0.35011111111111115,0.37147222222222226,0.02788888888888889,0.04558333333333334,,0.008527710219999932,0.9487671672625844,0.0025121558440239777,0.6504444444444445,0.33697051680672274,0.001983897772976789,0.6914715719063546
ur5e,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),near_singular,40,3,"[37,37,38]",37.333333333333336,0.9333333333333333,"[36,36,37]",0.9083333333333334,0.9824722222222223,0.9823888888888888,0.543008,1.5104974499999941,6.01630364,9414.197918999998,235.35494797499996,205.72003966666665,452.95307499999996,0.9536388888888889,0.04633333333333334,0.0004905985457639845,0.0009999849488806017,0.002613215171820744,0.008726531755578222,1.0,13.415126970128563,0.26830253940257126,288.7583333333333,0,0.25430555555555556,0.28158333333333324,0.023444444444444445,0.046166666666666675,,0.010069962211220614,0.9529564560335203,0.0013126337206261622,0.7477222222222222,0.33700802083333337,0.0008021509716052506,0.9573578595317727
ur5e,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),smooth,40,3,"[38,37,39]",38.0,0.95,"[34,35,38]",0.8916666666666666,0.9773333333333334,0.9771388888888889,0.549826,1.6684996499999978,6.019777930000001,10130.104,253.25259999999997,217.93243433333333,537.9591972666661,0.9409444444444444,0.059055555555555556,0.000480236037681848,0.0009999229956326084,0.001977692410503442,0.008721343545486421,1.0,13.64782878308551,0.2729565756617101,291.21666666666664,0,0.32699999999999996,0.3503611111111111,0.03511111111111111,0.058944444444444445,,0.010378584055129174,0.9374760823653402,0.0025113690657168914,0.6741666666666667,0.3393427142857143,0.0020982789961169505,0.6924749163879599
ur5e,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,high_curvature,40,3,"[38,37,38]",37.666666666666664,0.9416666666666667,"[37,34,36]",0.8916666666666666,0.9766388888888888,0.9764444444444444,0.538699,2.549797299999998,6.027915650000001,9760.844424333332,244.02111060833332,200.47914866666667,484.51384041666563,0.9387500000000001,0.06125,0.0005093096413306477,0.000976469366313774,0.0010585016537445543,0.007746745337733468,0.9999999999999998,18.252382750756748,0.36504765501513503,291.35833333333335,0,0.10400000000000001,0.14502777777777778,0.0,0.06119444444444445,,0.009118985615036112,0.9363460620751984,0.0005039267015706806,0.21044444444444446,0.3388516375,0.0,0.864715719063545
ur5e,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,joint_limit_return,40,3,"[37,35,36]",36.0,0.9,"[36,31,33]",0.8333333333333334,0.95125,0.9510277777777778,0.5371955,3.495403399999825,6.03973509,10683.464508333334,267.08661270833335,182.99043133333333,615.6725658499988,0.9820555555555556,0.017944444444444443,0.00043002538658291634,0.0009673997736725385,0.0006400460831084596,0.008562096233745788,1.0,11.8863112341236,0.23772622468247198,284.65,0,0.08172222222222222,0.10427777777777777,0.0,0.017888888888888888,,0.007649538424719062,0.980450689477419,0.001314696985926705,0.6425555555555555,0.33720429999999996,0.0,0.6914715719063546
ur5e,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,near_singular,40,3,"[37,37,37]",37.0,0.925,"[35,37,35]",0.8916666666666666,0.9750833333333334,0.9749722222222222,0.534773,1.6025338999999885,6.01955209,9005.395208333333,225.13488020833333,178.033904,665.1477706000001,0.9772777777777778,0.02272222222222222,0.0004248090756693386,0.0009595639337806956,0.0019603652231573974,0.007931707879100976,0.9999999999999998,13.373496626238474,0.26746993252476947,286.93333333333334,0,0.06222222222222222,0.08525,0.0,0.022638888888888885,,0.010033085285679023,0.9758384801071468,0.0003007226440702836,0.7422777777777777,0.3363115541666667,0.0,0.9573578595317727
ur5e,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,smooth,40,3,"[38,37,38]",37.666666666666664,0.9416666666666667,"[36,36,35]",0.8916666666666666,0.9829444444444444,0.98275,0.5358005,1.4698707,6.010253340000001,8652.747706333335,216.3186926583334,182.90913516666666,438.13399804999995,0.9750833333333333,0.024916666666666667,0.00043955878417760105,0.000989687379106784,0.000777202098533853,0.008315595443691131,0.9999999999999998,13.597310320657531,0.2719462064131506,294.4583333333333,0,0.05625,0.08052777777777778,0.0,0.024916666666666667,,0.009742783948607118,0.9741963712747846,0.0005859191698886356,0.6769722222222222,0.33813620000000005,0.0,0.6924749163879599
ur5e,pink_qp,Pink QP-IK,high_curvature,40,3,"[21,21,21]",21.0,0.525,"[21,21,21]",0.525,0.7788333333333334,0.7788055555555555,0.6298515,0.76627335,0.8528266000000009,7912.869289333334,197.82173223333334,192.23944916666667,212.0332756,0.0,0.0,0.0004329111244533639,0.0009948304305554875,0.000984070711184913,0.008076357249123135,1.0,19.219571586262806,0.3843914317252562,220.225,0,,,,,,,,0.0030167140303094873,,,,
ur5e,pink_qp,Pink QP-IK,joint_limit_return,40,3,"[33,33,33]",33.0,0.825,"[32,33,32]",0.8083333333333333,0.9376666666666666,0.9376111111111112,0.625899,0.7458161999999999,0.8654061600000003,7744.373768333333,193.6093442083333,189.0163365,216.97643024999996,0.0,0.0,0.00024533347337079046,0.000990861467344871,0.000502315479623693,0.007338986641474924,1.0,16.63664309214387,0.3327328618428775,267.475,0,,,,,,,,0.00019395280235988202,,,,
ur5e,pink_qp,Pink QP-IK,near_singular,40,3,"[33,33,33]",33.0,0.825,"[32,33,33]",0.8166666666666667,0.9841666666666666,0.9841388888888889,0.625675,0.6888870999999999,0.8648958400000003,7633.134558000001,190.82836395,189.97419616666667,200.37000279999998,0.0,0.0,9.490950372965546e-05,0.0009162666642334797,0.00023482325596345846,0.006358944680767411,1.0,16.618970667833523,0.33237941335667043,279.3,0,,,,,,,,8.333333333333333e-05,,,,
ur5e,pink_qp,Pink QP-IK,smooth,40,3,"[23,23,23]",23.0,0.575,"[22,21,23]",0.55,0.8449166666666665,0.8448333333333333,0.627864,0.75740045,0.8924283200000008,7880.555614666667,197.01389036666666,190.3564745,215.49176261666668,0.0,0.0,0.0002929267857155766,0.0009614406032590466,0.0005453357340081003,0.008336145811347659,1.0,17.72418210829992,0.35448364216599837,222.075,0,,,,,,,,0.0026123764911932853,,,,
ur5e,trac_task_20ms,TRAC-IK task 20 ms,high_curvature,40,3,"[37,39,39]",38.333333333333336,0.9583333333333334,"[36,37,38]",0.925,0.9941666666666668,0.9940555555555555,0.1522405,0.2180178999999999,0.5711529800000013,3490.3575579999997,87.25893894999999,48.3576725,122.1002735833316,0.0,0.0,0.000513167787122221,0.0009740784092123043,0.0007938545114473147,0.007963765139821808,0.9999999999999998,18.40258313393167,0.3680516626786333,294.89166666666665,0,,,,,,,,0.0005561003548179811,,,,
ur5e,trac_task_20ms,TRAC-IK task 20 ms,joint_limit_return,40,3,"[39,38,38]",38.333333333333336,0.9583333333333334,"[37,38,34]",0.9083333333333334,0.9689722222222222,0.9688055555555555,0.151893,0.2564605999999996,20.2545775,9633.014937333333,240.82537343333334,48.24659416666667,1385.2083917999994,0.0,0.0,0.0004066000993392081,0.0009785191221252983,0.0005369671461240343,0.00836159932571717,1.0,11.306523361167846,0.22613046722335692,290.6666666666667,0,,,,,,,,0.0009523809523809525,,,,
ur5e,trac_task_20ms,TRAC-IK task 20 ms,near_singular,40,3,"[38,38,37]",37.666666666666664,0.9416666666666667,"[37,38,37]",0.9333333333333333,0.9822222222222223,0.9821944444444444,0.1526315,0.24332004999999982,20.236082739999997,6416.9573076666675,160.4239326916667,48.87235200000001,591.4895886999967,0.0,0.0,0.0004517671255922635,0.000995340965304797,0.0020145385949145965,0.007870517258640039,1.0,12.659383812149937,0.2531876762429987,290.5,0,,,,,,,,0.001211902029341376,,,,
ur5e,trac_task_20ms,TRAC-IK task 20 ms,smooth,40,3,"[37,37,36]",36.666666666666664,0.9166666666666666,"[36,37,35]",0.9,0.95875,0.9586944444444445,0.151889,0.41307999999999073,20.253850240000002,12056.839693,301.420992325,48.44075816666667,1792.432359866666,0.0,0.0,0.00043402188831185385,0.0009816110738272378,0.0006470180220994258,0.00826838449633514,1.0,13.022405387179825,0.2604481077435965,282.3,0,,,,,,,,0.0011790143067225399,,,,
ur5e,trac_task_5ms,TRAC-IK task 5 ms,high_curvature,40,3,"[38,38,38]",38.0,0.95,"[37,36,36]",0.9083333333333334,0.9910833333333334,0.9909166666666667,0.1521715,0.22018969999999996,1.1158571200000278,2637.817935666667,65.94544839166667,48.553933,99.88221783333267,0.0,0.0,0.0005158247064926613,0.000981592317127574,0.0007959970468736536,0.007708887012801482,1.0,18.439787136476593,0.36879574272953186,291.7,0,,,,,,,,0.0006415664937049342,,,,
