split,robot,group,queries,min_witness_utilization,max_witness_utilization,queries_with_physical_clipping
validation,panda,near_singular/high_utilization/alpha=0.5,80,0.5690369957889632,0.9548301927013705,0
validation,panda,near_singular/high_utilization/alpha=0.95,80,0.5690369957889632,0.9548301927013705,0
validation,panda,near_singular/multijoint_boundary/alpha=0.0,80,0.9967087155963303,0.9970898661567914,0
validation,panda,near_singular/multijoint_boundary/alpha=0.5,80,0.9967087155963303,0.9970898661567914,0
validation,panda,near_singular/multijoint_boundary/alpha=0.95,80,0.9967087155963303,0.9970898661567914,0
validation,panda,near_limit/regular/alpha=0.0,80,0.0006594650490187829,0.5650027557766935,4
validation,panda,near_limit/regular/alpha=0.5,80,0.0006594650490187829,0.5650027557766935,4
validation,panda,near_limit/regular/alpha=0.95,80,0.0006594650490187829,0.5650027557766935,4
validation,panda,near_limit/high_utilization/alpha=0.0,80,0.07150714346739936,0.9512544404063412,33
validation,panda,near_limit/high_utilization/alpha=0.5,80,0.07150714346739936,0.9512544404063412,33
validation,panda,near_limit/high_utilization/alpha=0.95,80,0.07150714346739936,0.9512544404063412,33
validation,panda,near_limit/multijoint_boundary/alpha=0.0,80,0.07150714346739936,0.9970898661567914,35
validation,panda,near_limit/multijoint_boundary/alpha=0.5,80,0.07150714346739936,0.9970898661567914,35
validation,panda,near_limit/multijoint_boundary/alpha=0.95,80,0.07150714346739936,0.9970898661567914,35
validation,ur5e,all,2160,0.00012463894938816923,0.997412568594068,117
validation,ur5e,regular/alpha=0.0,240,0.00012463894938816923,0.5919954003747048,0
validation,ur5e,regular/alpha=0.5,240,0.00012463894938816923,0.5919954003747048,0
validation,ur5e,regular/alpha=0.95,240,0.00012463894938816923,0.5919954003747048,0
validation,ur5e,high_utilization/alpha=0.0,240,0.2213916594280793,0.9748307921200994,16
validation,ur5e,high_utilization/alpha=0.5,240,0.2213916594280793,0.9748307921200994,16
validation,ur5e,high_utilization/alpha=0.95,240,0.2213916594280793,0.9748307921200994,16
validation,ur5e,multijoint_boundary/alpha=0.0,240,0.26477475814995993,0.997412568594068,23
validation,ur5e,multijoint_boundary/alpha=0.5,240,0.26477475814995993,0.997412568594068,23
validation,ur5e,multijoint_boundary/alpha=0.95,240,0.26477475814995993,0.997412568594068,23
validation,ur5e,ordinary/regular/alpha=0.0,80,0.0008540342363029434,0.5529071393774169,0
validation,ur5e,ordinary/regular/alpha=0.5,80,0.0008540342363029434,0.5529071393774169,0
validation,ur5e,ordinary/regular/alpha=0.95,80,0.0008540342363029434,0.5529071393774169,0
validation,ur5e,ordinary/high_utilization/alpha=0.0,80,0.5756674579377613,0.9682931413533266,0
validation,ur5e,ordinary/high_utilization/alpha=0.5,80,0.5756674579377613,0.9682931413533266,0
validation,ur5e,ordinary/high_utilization/alpha=0.95,80,0.5756674579377613,0.9682931413533266,0
validation,ur5e,ordinary/multijoint_boundary/alpha=0.0,80,0.9974125685940609,0.9974125685940645,0
validation,ur5e,ordinary/multijoint_boundary/alpha=0.5,80,0.9974125685940609,0.9974125685940645,0
validation,ur5e,ordinary/multijoint_boundary/alpha=0.95,80,0.9974125685940609,0.9974125685940645,0
validation,ur5e,near_singular/regular/alpha=0.0,80,0.00019224755089177482,0.5919954003747048,0
validation,ur5e,near_singular/regular/alpha=0.5,80,0.00019224755089177482,0.5919954003747048,0
validation,ur5e,near_singular/regular/alpha=0.95,80,0.00019224755089177482,0.5919954003747048,0
validation,ur5e,near_singular/high_utilization/alpha=0.0,80,0.5718129496286759,0.9748307921200994,0
validation,ur5e,near_singular/high_utilization/alpha=0.5,80,0.5718129496286759,0.9748307921200994,0
