robot,method,baseline,family,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,single_gn_clip,all,frame_success,160,0.011083333333333332,"[0.000958333333333333,0.024874999999999998]",1.011390887290168,"[1.0009714885020538,1.0259273816596703]"
panda,single_gn_k1,single_gn_clip,all,acceleration_rms,160,0.2188583365734938,"[0.03919999656740748,0.4752277162693338]",1.0624184416659836,"[1.0115863095439235,1.1256932116583669]"
panda,single_gn_k1,single_gn_clip,all,successful_prefix,160,1.65625,"[0.1375,3.73125]",1.0113573051043587,"[1.0009313470559957,1.0259183437338213]"
panda,single_gn_k1,single_gn_clip,smooth,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_clip,smooth,deadline_completion,40,0.0,"[-0.025,0.025]",1.0,"[0.975,1.0256410256410255]"
panda,single_gn_k1,single_gn_clip,smooth,total_latency_ns,40,3955215.4416666673,"[2538458.445208335,5370326.955833333]",1.1060267429866801,"[1.0663064395386685,1.145681942927678]"
panda,single_gn_k1,single_gn_clip,smooth,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_clip,smooth,acceleration_rms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_clip,smooth,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_clip,near_singular,completion,40,0.05,"[0.0,0.125]",1.0555555555555556,"[1.0,1.1515151515151516]"
panda,single_gn_k1,single_gn_clip,near_singular,deadline_completion,40,0.05,"[0.0,0.125]",1.0555555555555556,"[1.0,1.1515151515151516]"
panda,single_gn_k1,single_gn_clip,near_singular,total_latency_ns,40,-7366705.0666666655,"[-18617847.72375,1561407.0610416678]",0.8654149320853604,"[0.7385031796024659,1.0417404401807855]"
panda,single_gn_k1,single_gn_clip,near_singular,frame_success,40,0.01083333333333333,"[0.0,0.028666666666666663]",1.011153054221002,"[1.0,1.0295493163422085]"
panda,single_gn_k1,single_gn_clip,near_singular,acceleration_rms,40,0.6591267983037199,"[0.053883514022012274,1.654251816771307]",1.1362522684379135,"[1.0137794206972561,1.2756278911102312]"
panda,single_gn_k1,single_gn_clip,near_singular,successful_prefix,40,1.625,"[0.0,4.3]",1.011153054221002,"[1.0,1.0295493163422083]"
panda,single_gn_k1,single_gn_clip,joint_limit_return,completion,40,0.05,"[0.0,0.125]",1.0555555555555556,"[1.0,1.1515151515151516]"
panda,single_gn_k1,single_gn_clip,joint_limit_return,deadline_completion,40,0.05,"[0.0,0.125]",1.0555555555555556,"[1.0,1.1515151515151516]"
panda,single_gn_k1,single_gn_clip,joint_limit_return,total_latency_ns,40,-8349892.4,"[-25120530.252708334,3745350.7902083346]",0.8545492135003957,"[0.6559774521450014,1.094423894603798]"
panda,single_gn_k1,single_gn_clip,joint_limit_return,frame_success,40,0.03333333333333333,"[0.0,0.08366666666666667]",1.035063113604488,"[1.0,1.0929451287793952]"
panda,single_gn_k1,single_gn_clip,joint_limit_return,acceleration_rms,40,0.21478622549516363,"[-0.09054466955821656,0.5785524405502137]",1.144863206567084,"[0.9376439569728876,1.3908469097666374]"
panda,single_gn_k1,single_gn_clip,joint_limit_return,successful_prefix,40,5.0,"[0.0,12.55]",1.035063113604488,"[1.0,1.0929451287793952]"
panda,single_gn_k1,single_gn_clip,high_curvature,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_clip,high_curvature,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_clip,high_curvature,total_latency_ns,40,1378302.725000001,"[-3086691.799374997,3945813.674583333]",1.026752073324891,"[0.9568867354823957,1.1067331208776283]"
panda,single_gn_k1,single_gn_clip,high_curvature,frame_success,40,0.00016666666666666636,"[0.0,0.000499999999999999]",1.000171821305842,"[1.0,1.000539374325782]"
panda,single_gn_k1,single_gn_clip,high_curvature,acceleration_rms,40,0.001520322495091575,"[-0.04411079761613165,0.055008963311909256]",1.0002236882756974,"[0.9936793978040082,1.008308062627829]"
panda,single_gn_k1,single_gn_clip,high_curvature,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,all,completion,160,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,all,deadline_completion,160,0.0,"[-0.00625,0.00625]",0.9999999999999998,"[0.9935064935064936,1.0064935064935066]"
panda,single_gn_k1,single_gn_osqp,all,total_latency_ns,160,-22053866.860416666,"[-39768576.53515625,-8357863.977916665]",0.6835899453645912,"[0.5774956112024102,0.8359481306521088]"
panda,single_gn_k1,single_gn_osqp,all,frame_success,160,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,all,acceleration_rms,160,0.00014551756490855348,"[-9.345925515288553e-09,0.00043654909474033564]",1.0000390648904862,"[0.9999999976937559,1.0001251502447739]"
panda,single_gn_k1,single_gn_osqp,all,successful_prefix,160,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,smooth,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,smooth,deadline_completion,40,0.0,"[-0.025,0.025]",1.0,"[0.975,1.0256410256410255]"
panda,single_gn_k1,single_gn_osqp,smooth,total_latency_ns,40,-3572355.375,"[-4953715.950000001,-2162866.9558333345]",0.9203159748027724,"[0.8922412261428805,0.9513404557221167]"
panda,single_gn_k1,single_gn_osqp,smooth,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,smooth,acceleration_rms,40,-3.7067661440293165e-11,"[-1.1157075298362518e-10,5.954745377345639e-13]",0.9999999999591941,"[0.9999999998619641,1.000000000000685]"
panda,single_gn_k1,single_gn_osqp,smooth,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,near_singular,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,near_singular,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,near_singular,total_latency_ns,40,-28724793.566666663,"[-71631000.65333332,-3195545.269791667]",0.6225116188585594,"[0.4563566422247996,0.9245074450798807]"
panda,single_gn_k1,single_gn_osqp,near_singular,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,near_singular,acceleration_rms,40,-1.4013082477726257e-08,"[-7.165674399081668e-08,2.6240114712056125e-08]",0.9999999974506253,"[0.999999990185364,1.0000000057170615]"
panda,single_gn_k1,single_gn_osqp,near_singular,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,joint_limit_return,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,joint_limit_return,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,joint_limit_return,total_latency_ns,40,-20556087.508333333,"[-47985689.150625005,-3644239.5258333334]",0.7047098713874344,"[0.5680415287526406,0.9179494889971528]"
panda,single_gn_k1,single_gn_osqp,joint_limit_return,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,joint_limit_return,acceleration_rms,40,0.0005820323905428249,"[-1.8488634733609954e-09,0.0017460991592798051]",1.0003430000326397,"[0.9999999989411514,1.0010895146268162]"
panda,single_gn_k1,single_gn_osqp,joint_limit_return,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,high_curvature,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,high_curvature,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,high_curvature,total_latency_ns,40,-35362230.99166667,"[-89320193.88958333,-3550798.1272916673]",0.5993487492262458,"[0.44973592862655787,0.9201957195240876]"
panda,single_gn_k1,single_gn_osqp,high_curvature,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_osqp,high_curvature,acceleration_rms,40,5.1919241528253226e-08,"[-7.73477615290119e-12,1.557698352638859e-07]",1.0000000076372804,"[0.9999999999988292,1.0000000235853699]"
panda,single_gn_k1,single_gn_osqp,high_curvature,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_5ms,all,completion,160,0.03125,"[-0.002083333333333333,0.0625]",1.0335570469798658,"[0.9977973568281939,1.0689758290711104]"
panda,single_gn_k1,trac_task_5ms,all,deadline_completion,160,0.03333333333333334,"[-1.7347234759762155e-20,0.06666666666666668]",1.0359550561797755,"[1.0,1.0728929384965833]"
panda,single_gn_k1,trac_task_5ms,all,total_latency_ns,160,523596.9270833321,"[-9939424.645937502,9998742.482968751]",1.0111113269208343,"[0.8290309866659822,1.2676904676804206]"
panda,single_gn_k1,trac_task_5ms,all,frame_success,160,0.006944444444444443,"[-0.006667013888888887,0.020709375000000006]",1.0071069164510902,"[0.9932647746919365,1.0214314973384162]"
panda,single_gn_k1,trac_task_5ms,all,acceleration_rms,160,-0.32614894653596554,"[-0.9547880477281159,0.31396543847675207]",0.9194955582239795,"[0.7793192243571659,1.0818572322845295]"
panda,single_gn_k1,trac_task_5ms,all,successful_prefix,160,1.5041666666666664,"[-0.7604687499999999,3.639895833333334]",1.0103036876355749,"[0.9948661872217258,1.0252327301168134]"
panda,single_gn_k1,trac_task_5ms,smooth,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_5ms,smooth,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9916666666666666,"[0.975,1.0]"
panda,single_gn_k1,trac_task_5ms,smooth,total_latency_ns,40,14673968.483333334,"[14129255.681250002,15672924.830833334]",1.5519602910523136,"[1.5300997960365212,1.590464865405773]"
panda,single_gn_k1,trac_task_5ms,smooth,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_5ms,smooth,acceleration_rms,40,-0.31597254357156845,"[-0.6473212535978833,-0.047467065889060585]",0.7419295224517685,"[0.5672156554800111,0.954189965420462]"
panda,single_gn_k1,trac_task_5ms,smooth,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_5ms,near_singular,completion,40,0.075,"[-0.016666666666666663,0.16666666666666669]",1.0857142857142856,"[0.9823008849557521,1.2000000000000002]"
panda,single_gn_k1,trac_task_5ms,near_singular,deadline_completion,40,0.075,"[-0.016666666666666663,0.16666666666666669]",1.0857142857142856,"[0.9823008849557521,1.2000000000000002]"
panda,single_gn_k1,trac_task_5ms,near_singular,total_latency_ns,40,-11203501.658333335,"[-33214240.12770833,9408020.25791667]",0.8087265488276069,"[0.5741142290171507,1.2268846010214085]"
