robot,group,method,qp_count,calls,p50_us,p95_us,p99_us,mean_us,bad_quality,native_cap_hits,max_box_violation,max_projected_kkt,max_normalized_kkt,max_scaled_objective_gap,max_raw_projected_kkt,max_raw_normalized_kkt,mean_reset_ns,mean_conversion_ns,mean_update_ns,mean_solve_ns,mean_check_ns
ur5e,inactive,clip,997,4985,16.128,18.9478,22.79648,16.49337632898696,0,,0.0,3.410605131648481e-13,1.8041124150158794e-16,1.7763568394002505e-15,3.410605131648481e-13,1.8041124150158794e-16,0.0,0.0,0.0,8623.338816449348,6753.570712136409
ur5e,smooth,active_numpy,250,1250,35.669,39.6151,48.41845,36.225032,0,0,0.0,2.2737367544323206e-13,1.3877787807814457e-16,0.0,2.2737367544323206e-13,1.3877787807814457e-16,0.0,0.0,0.0,28051.4312,7012.5384
ur5e,smooth,osqp_reset,250,1250,63.2245,80.40639999999999,94.96685,65.5782,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,1.4843356286172919e-15,9.499927955403109e-09,9.167479275706825e-12,4085.8608,2940.0552,20322.2328,23623.8272,12899.7072
ur5e,smooth,osqp_warm,250,1250,60.6575,75.87289999999999,89.08139,62.7180472,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,1.442488233256715e-15,9.499927955403109e-09,9.167479275706825e-12,1127.6032,2832.1672,21239.8408,23189.9136,12671.7712
ur5e,smooth,clip,250,1250,16.095,18.56275,20.864069999999998,16.3695648,0,,0.0,2.2737367544323206e-13,1.3877787807814457e-16,0.0,2.2737367544323206e-13,1.3877787807814457e-16,0.0,0.0,0.0,8572.176,6693.804
ur5e,near_singular,active_numpy,250,1250,35.555,39.74055,48.62121,36.063188000000004,0,0,0.0,3.375077994860476e-14,1.3183898417423734e-16,0.0,3.375077994860476e-14,1.3183898417423734e-16,0.0,0.0,0.0,27929.9288,6970.8824
ur5e,near_singular,osqp_reset,250,1250,63.102,81.79845,93.95032999999998,65.43367839999999,0,0,0.0,1.504218971604132e-09,3.1544419853979377e-12,9.98821101366726e-16,1.504218971604132e-09,3.1544419853979377e-12,4098.8528,2931.0736,20319.9624,23455.0816,12920.7936
ur5e,near_singular,osqp_warm,250,1250,60.6245,77.7194,86.43308,62.884980000000006,0,0,0.0,3.9825209796617855e-10,3.1544419853979377e-12,1.0804985927176664e-15,3.9825209796617855e-10,3.1544419853979377e-12,1103.3344,2828.7248,21212.0992,23365.2824,12716.7328
ur5e,near_singular,clip,250,1250,16.225,19.13605,23.12287,16.6390512,0,,0.0,3.375077994860476e-14,1.3183898417423734e-16,0.0,3.375077994860476e-14,1.3183898417423734e-16,0.0,0.0,0.0,8682.5512,6822.028
ur5e,joint_limit_return,active_numpy,250,1250,35.515,39.031099999999995,45.12317,35.999624000000004,0,0,0.0,1.1368683772161603e-13,1.3877787807814457e-16,0.0,1.1368683772161603e-13,1.3877787807814457e-16,0.0,0.0,0.0,27877.5632,6956.4296
