run_id,site_id,uid,family,candidate_id,repeat,complete,accepted_frames,prefix_frames,first_failure_frame,first_failure_kind,total_latency_ns
state_00_candidate_00_r4,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_00,4,True,30,30,,,16417624
state_00_candidate_04_r0,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_04,0,True,30,30,,,16493291
state_00_candidate_02_r3,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_02,3,True,30,30,,,22831578
state_00_candidate_03_r2,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_03,2,True,30,30,,,18261226
state_00_candidate_03_r0,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_03,0,True,30,30,,,17000718
state_00_candidate_05_r0,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_05,0,True,30,30,,,21485655
state_00_candidate_02_r4,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_02,4,True,30,30,,,16231684
state_00_candidate_01_r2,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_01,2,True,30,30,,,17307929
state_00_candidate_01_r3,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_01,3,True,30,30,,,16201594
state_00_candidate_04_r2,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_04,2,True,30,30,,,16657246
state_00_candidate_01_r0,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_01,0,True,30,30,,,17516702
state_00_candidate_03_r4,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_03,4,True,30,30,,,17704870
state_00_candidate_04_r3,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_04,3,True,30,30,,,18309657
state_00_candidate_00_r1,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_00,1,True,30,30,,,20925525
state_00_candidate_03_r3,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_03,3,True,30,30,,,17076118
state_00_candidate_03_r1,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_03,1,True,30,30,,,21188235
state_00_candidate_05_r4,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_05,4,True,30,30,,,19215888
