robot,method,abruptness_level,trajectories,mean_completed,tsr,dtsr20,mean_cumulative_ms
ur5e,ranged_ik_upstream,0,5,0.0,0.0,0.0,94.9109148
ur5e,ranged_ik_upstream,1,5,0.0,0.0,0.0,92.95529300000001
ur5e,ranged_ik_upstream,2,5,0.0,0.0,0.0,98.1031526
ur5e,ranged_ik_upstream,3,5,0.0,0.0,0.0,97.51567059999999
ur5e,ranged_ik_positive_range,0,5,0.0,0.0,0.0,76.69431139999999
ur5e,ranged_ik_positive_range,1,5,0.0,0.0,0.0,79.0451904
ur5e,ranged_ik_positive_range,2,5,0.0,0.0,0.0,90.48884760000001
ur5e,ranged_ik_positive_range,3,5,0.0,0.0,0.0,80.88487699999999
ur5e,two_step_predictive,0,5,4.333333333333334,0.8666666666666667,0.8666666666666667,1068.5681006666666
ur5e,two_step_predictive,1,5,3.333333333333333,0.6666666666666666,0.6666666666666666,1203.3887738666665
ur5e,two_step_predictive,2,5,4.0,0.8,0.8,1055.5104805333333
ur5e,two_step_predictive,3,5,5.0,1.0,0.8,1050.6199175333334
ur5e,cr_ik,0,5,5.0,1.0,1.0,1569.2331336666668
ur5e,cr_ik,1,5,3.0,0.6,0.6,1609.9642282000002
ur5e,cr_ik,2,5,4.0,0.8,0.8,1566.4635076666666
ur5e,cr_ik,3,5,5.0,1.0,0.9333333333333333,1564.9486831333336
ur5e,single_step_reserve,0,5,1.0,0.2,0.2,1481.6039362
ur5e,single_step_reserve,1,5,0.6666666666666666,0.13333333333333333,0.13333333333333333,1414.9090961333336
ur5e,single_step_reserve,2,5,0.3333333333333333,0.06666666666666667,0.06666666666666667,1365.4169151333335
ur5e,single_step_reserve,3,5,2.6666666666666665,0.5333333333333333,0.4666666666666667,1177.5308297999998
ur5e,two_step_sigma,0,5,4.0,0.8,0.7333333333333333,1635.0989848666666
ur5e,two_step_sigma,1,5,3.0,0.6,0.6,1658.2863538
ur5e,two_step_sigma,2,5,3.0,0.6,0.6,1625.8016228666665
ur5e,two_step_sigma,3,5,4.0,0.8,0.7333333333333333,1617.2892647333333
