run_id,site_id,uid,family,method,repeat,frames,initial_q,complete,accepted_frames,all_frames_within_20ms,complete_within_20ms,first_failure_frame,first_failure_kind,total_latency_ns
trajectory_08_trac_strict_20ms_r1,trajectory_08,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,trac_strict_20ms,1,150,"[-1.462696734239917, -0.2789995870774813, 0.4845991838372743, -1.2110958349056624, -0.03164688393548826, 2.250389768298455, 1.3413988619998096]",True,150,True,True,,,35156789
trajectory_27_trac_task_20ms_r0,trajectory_27,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,trac_task_20ms,0,150,"[0.11013187782707023, 0.08261373920335854, 0.2680269950055522, -1.4842978898814214, -0.8055537512624422, 3.4505000000000003, -0.21451778603021388]",True,150,True,True,,,29641470
trajectory_00_trac_strict_5ms_r1,trajectory_00,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_strict_5ms,1,150,"[1.8045525647893919, 0.2263076606986511, -0.3372067100575985, -1.8921996499596407, -0.11880835884944438, 1.6265685925609459, 0.3582006672127863]",True,150,True,True,,,39042977
trajectory_17_trac_task_20ms_r0,trajectory_17,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,trac_task_20ms,0,150,"[2.1369191868103536, 0.25626421705746927, 1.7066903334546386, -0.2229465464073862, 0.9240499189826179, 0.43592582302604443, -0.3475443071969706]",False,118,False,False,118,internal_nonconvergence+position_tolerance+orientation_tolerance,681294370
trajectory_20_trac_strict_20ms_r1,trajectory_20,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,trac_strict_20ms,1,150,"[-0.22148567967826394, -0.6085874328213129, 1.3965318127137998, -1.7582177758063704, 2.5953000000000004, 1.8613505237616152, -1.399248123458735]",True,150,True,True,,,31634215
trajectory_28_dls_strict_r0,trajectory_28,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,dls_strict,0,150,"[1.0002694865926336, -0.6952350165551249, -0.27533203313792715, -0.3718, 0.871667779279456, 2.582756878731669, 1.5950274657528718]",True,150,True,True,,,585971619
trajectory_34_trac_strict_20ms_r0,trajectory_34,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,trac_strict_20ms,0,150,"[-1.1592058713003646, 0.1964021212531033, -0.5464022436655562, -1.1510687856947253, -1.2981413533683839, 1.8437018291450857, 1.1925764049191467]",True,150,True,True,,,34221244
trajectory_20_dls_task_r0,trajectory_20,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,dls_task,0,150,"[-0.22148567967826394, -0.6085874328213129, 1.3965318127137998, -1.7582177758063704, 2.5953000000000004, 1.8613505237616152, -1.399248123458735]",True,150,True,True,,,88512729
trajectory_01_trac_task_5ms_r1,trajectory_01,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_5ms,1,150,"[0.9351044192022548, -0.14092294260565763, 1.1097168230381158, -1.7716969820509143, -0.07390793549601962, 1.2633334208331923, -0.15531616098432066]",True,150,True,True,,,26312233
trajectory_31_trac_task_5ms_r1,trajectory_31,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,trac_task_5ms,1,150,"[0.7241810171763957, -0.3087602434544925, -0.09772781078700638, -1.9130376188154201, 1.101742620368236, 2.5937868082135385, -1.6068193266811197]",True,150,True,True,,,29395358
trajectory_00_trac_task_5ms_r1,trajectory_00,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trac_task_5ms,1,150,"[1.8045525647893919, 0.2263076606986511, -0.3372067100575985, -1.8921996499596407, -0.11880835884944438, 1.6265685925609459, 0.3582006672127863]",True,150,True,True,,,27055134
trajectory_16_trac_strict_5ms_r1,trajectory_16,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,trac_strict_5ms,1,150,"[-0.8330069728077155, 0.9059204298240433, -1.2848682345049904, -0.942479272733609, 1.2252181668764945, 3.752499, -2.3388414437479788]",True,150,True,True,,,27378245
trajectory_33_trac_strict_5ms_r2,trajectory_33,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,trac_strict_5ms,2,150,"[1.1325331407798795, -0.24168033549200896, 1.142004970794806, -1.6131923278761438, -0.5890204370403808, 2.139254897660019, 1.6872434359450823]",True,150,True,True,,,28249298
trajectory_13_trac_strict_20ms_r0,trajectory_13,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,trac_strict_20ms,0,150,"[-0.5642432075369469, -0.15715193578438877, -2.1345451119679355, -0.7142783897493015, 1.3154620627371993, 2.589163366799795, -0.8723786480923549]",True,150,True,True,,,26981310
trajectory_14_dls_task_r0,trajectory_14,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,dls_task,0,150,"[-2.327317529874332, 0.28843825003694556, 2.0855301983360475, -0.7889771403739102, -2.6817228062679397, 2.5559366733107627, -1.2744275290899756]",True,150,True,True,,,74426582
