robot,run_id,uid,family,method,repeat,complete,complete_within_20ms,total_latency_ns,source
panda,trajectory_03_trac_strict_5ms_r1,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_strict_5ms,1,True,True,33772026,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_03_trac_strict_5ms_r2,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_strict_5ms,2,True,True,38848344,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_strict_5ms_r2.jsonl.gz
panda,trajectory_03_trac_task_20ms_r0,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_task_20ms,0,True,True,32066035,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_task_20ms_r0.jsonl.gz
panda,trajectory_03_trac_task_20ms_r1,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_task_20ms,1,True,True,25823504,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_task_20ms_r1.jsonl.gz
panda,trajectory_03_trac_task_20ms_r2,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_task_20ms,2,True,True,35912193,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_task_20ms_r2.jsonl.gz
panda,trajectory_03_trac_task_5ms_r0,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_task_5ms,0,True,True,32304779,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_task_5ms_r0.jsonl.gz
panda,trajectory_03_trac_task_5ms_r1,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_task_5ms,1,True,True,27067682,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_task_5ms_r1.jsonl.gz
panda,trajectory_03_trac_task_5ms_r2,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_task_5ms,2,True,True,74312828,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_task_5ms_r2.jsonl.gz
panda,trajectory_04_dls_strict_r0,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,dls_strict,0,True,True,164924560,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_dls_strict_r0.jsonl.gz
panda,trajectory_04_dls_task_r0,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,dls_task,0,True,True,90092203,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_dls_task_r0.jsonl.gz
panda,trajectory_04_trac_strict_20ms_r0,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_strict_20ms,0,True,True,32035998,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_strict_20ms_r0.jsonl.gz
panda,trajectory_04_trac_strict_20ms_r1,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_strict_20ms,1,True,True,34816775,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_strict_20ms_r1.jsonl.gz
panda,trajectory_04_trac_strict_20ms_r2,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_strict_20ms,2,True,True,33644300,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_04_trac_strict_5ms_r0,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_strict_5ms,0,True,True,34268962,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_strict_5ms_r0.jsonl.gz
panda,trajectory_04_trac_strict_5ms_r1,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_strict_5ms,1,True,True,33345535,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_04_trac_strict_5ms_r2,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_strict_5ms,2,True,True,27757247,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_strict_5ms_r2.jsonl.gz
panda,trajectory_04_trac_task_20ms_r0,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_task_20ms,0,True,True,31609233,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_task_20ms_r0.jsonl.gz
panda,trajectory_04_trac_task_20ms_r1,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_task_20ms,1,True,True,30585110,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_task_20ms_r1.jsonl.gz
panda,trajectory_04_trac_task_20ms_r2,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_task_20ms,2,True,True,32213831,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_task_20ms_r2.jsonl.gz
panda,trajectory_04_trac_task_5ms_r0,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_task_5ms,0,True,True,32391469,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_task_5ms_r0.jsonl.gz
panda,trajectory_04_trac_task_5ms_r1,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_task_5ms,1,True,True,30639956,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_task_5ms_r1.jsonl.gz
panda,trajectory_04_trac_task_5ms_r2,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trac_task_5ms,2,True,True,33829554,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_04_trac_task_5ms_r2.jsonl.gz
panda,trajectory_05_dls_strict_r0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,dls_strict,0,True,True,170365655,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_dls_strict_r0.jsonl.gz
panda,trajectory_05_dls_task_r0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,dls_task,0,True,True,89306714,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_dls_task_r0.jsonl.gz
panda,trajectory_05_trac_strict_20ms_r0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_strict_20ms,0,True,True,33508927,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_strict_20ms_r0.jsonl.gz
panda,trajectory_05_trac_strict_20ms_r1,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_strict_20ms,1,True,True,34081784,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_strict_20ms_r1.jsonl.gz
panda,trajectory_05_trac_strict_20ms_r2,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_strict_20ms,2,True,True,36371119,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_05_trac_strict_5ms_r0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_strict_5ms,0,True,True,35295431,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_strict_5ms_r0.jsonl.gz
panda,trajectory_05_trac_strict_5ms_r1,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_strict_5ms,1,True,True,34232767,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_05_trac_strict_5ms_r2,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_strict_5ms,2,True,True,31518349,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_strict_5ms_r2.jsonl.gz
panda,trajectory_05_trac_task_20ms_r0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_20ms,0,True,True,33539775,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_05_trac_task_20ms_r0.jsonl.gz
