robot,scale,method,witness_feasible,family,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
ur5e,1.0,trac_strict_5ms,True,near_singular,1500,500,1.0,1.0,1.0,1.0,1.0,354072917,0.2115945,0.33364135,0.48606351,0.23604861133333338,4.922806,0,0,0,1500,"{'p50': 7.205993847026837e-07, 'p95': 9.480592499466344e-06, 'p99': 1.2338395836251202e-05, 'mean': 2.514360144844606e-06, 'max': 1.4551914692332436e-05}","{'p50': 8.137001481843846e-08, 'p95': 6.44253582088154e-06, 'p99': 1.1246331028701379e-05, 'mean': 1.121531423616759e-06, 'max': 1.2677294805130734e-05}","{'p50': 7.205993847026837e-07, 'p95': 9.480592499466344e-06, 'p99': 1.2338395836251202e-05, 'mean': 2.514360144844606e-06, 'max': 1.4551914692332436e-05}","{'p50': 8.137001481843846e-08, 'p95': 6.44253582088154e-06, 'p99': 1.1246331028701379e-05, 'mean': 1.121531423616759e-06, 'max': 1.2677294805130734e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_20ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,320548415,0.19765850000000001,0.31624044999999995,0.37072004,0.2136989433333333,0.532058,0,0,0,1500,"{'p50': 1.2344920678200874e-05, 'p95': 0.0005032288327232661, 'p99': 0.0006911093769062522, 'mean': 7.130659620339316e-05, 'max': 0.0009641302378782333}","{'p50': 1.4372557045692729e-05, 'p95': 0.0018000097639778133, 'p99': 0.0034518742833644124, 'mean': 0.00022716123201230873, 'max': 0.007400378836654432}","{'p50': 1.2344920678200874e-05, 'p95': 0.0005032288327232661, 'p99': 0.0006911093769062522, 'mean': 7.130659620339316e-05, 'max': 0.0009641302378782333}","{'p50': 1.4372557045692729e-05, 'p95': 0.0018000097639778133, 'p99': 0.0034518742833644124, 'mean': 0.00022716123201230873, 'max': 0.007400378836654432}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_20ms,True,local,3000,1000,1.0,1.0,1.0,1.0,1.0,607901298,0.187698,0.30654064999999997,0.3727819099999989,0.202633766,0.525422,0,0,0,3000,"{'p50': 7.729184831564447e-05, 'p95': 0.0004666444975455658, 'p99': 0.0006548940299995793, 'mean': 0.0001368831896063491, 'max': 0.0008157311800185848}","{'p50': 0.00012546670619936946, 'p95': 0.000811243932684482, 'p99': 0.003218191982869457, 'mean': 0.00025195733553448857, 'max': 0.006432829118251879}","{'p50': 7.729184831564447e-05, 'p95': 0.0004666444975455658, 'p99': 0.0006548940299995793, 'mean': 0.0001368831896063491, 'max': 0.0008157311800185848}","{'p50': 0.00012546670619936946, 'p95': 0.000811243932684482, 'p99': 0.003218191982869457, 'mean': 0.00025195733553448857, 'max': 0.006432829118251879}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_20ms,True,near_limit,1500,500,1.0,1.0,1.0,1.0,1.0,312586465,0.18853999999999999,0.30377584999999996,0.43009650999999993,0.20839097666666664,3.364623,0,0,0,1500,"{'p50': 8.281499681866221e-05, 'p95': 0.0005122559840674253, 'p99': 0.000700613167390012, 'mean': 0.00014716488282626652, 'max': 0.0009736559879342586}","{'p50': 0.00011715016147687311, 'p95': 0.0009031912158124201, 'p99': 0.0045047926231710405, 'mean': 0.0003094239899652888, 'max': 0.007631390722170324}","{'p50': 8.281499681866221e-05, 'p95': 0.0005122559840674253, 'p99': 0.000700613167390012, 'mean': 0.00014716488282626652, 'max': 0.0009736559879342586}","{'p50': 0.00011715016147687311, 'p95': 0.0009031912158124201, 'p99': 0.0045047926231710405, 'mean': 0.0003094239899652888, 'max': 0.007631390722170324}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_20ms,True,near_singular,1500,500,1.0,1.0,1.0,1.0,1.0,330483718,0.196706,0.3263606499999999,0.44831882,0.22032247866666663,4.052717,0,0,0,1500,"{'p50': 0.00011684786776693074, 'p95': 0.0005232130991476248, 'p99': 0.0007339174408151514, 'mean': 0.0001696706299551959, 'max': 0.0008747423638246436}","{'p50': 0.00010150968173082761, 'p95': 0.0032592394194805295, 'p99': 0.00511701152691964, 'mean': 0.0005074559518916059, 'max': 0.007780150611846778}","{'p50': 0.00011684786776693074, 'p95': 0.0005232130991476248, 'p99': 0.0007339174408151514, 'mean': 0.0001696706299551959, 'max': 0.0008747423638246436}","{'p50': 0.00010150968173082761, 'p95': 0.0032592394194805295, 'p99': 0.00511701152691964, 'mean': 0.0005074559518916059, 'max': 0.007780150611846778}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_20ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,328980282,0.2030745,0.3190419,0.4229626,0.219320188,0.559518,0,0,0,1500,"{'p50': 2.2979476001188321e-07, 'p95': 8.039887897138585e-06, 'p99': 1.2049730924057674e-05, 'mean': 1.9043545234000977e-06, 'max': 1.307275391320438e-05}","{'p50': 1.1006010474600222e-07, 'p95': 9.539586774577059e-06, 'p99': 1.1061916874811063e-05, 'mean': 1.967025480459059e-06, 'max': 1.2658810238970426e-05}","{'p50': 2.2979476001188321e-07, 'p95': 8.039887897138585e-06, 'p99': 1.2049730924057674e-05, 'mean': 1.9043545234000977e-06, 'max': 1.307275391320438e-05}","{'p50': 1.1006010474600222e-07, 'p95': 9.539586774577059e-06, 'p99': 1.1061916874811063e-05, 'mean': 1.967025480459059e-06, 'max': 1.2658810238970426e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_20ms,True,local,3000,1000,1.0,1.0,1.0,1.0,1.0,636391137,0.1961075,0.3142634999999999,0.4103934599999999,0.21213037900000004,0.494389,0,0,0,3000,"{'p50': 3.789054008667393e-08, 'p95': 4.0771273519112085e-06, 'p99': 8.147938572352791e-06, 'mean': 6.238011899655266e-07, 'max': 1.4065823340832071e-05}","{'p50': 2.7361924917210692e-08, 'p95': 3.1081943142565587e-06, 'p99': 8.173717532949342e-06, 'mean': 4.93387543511182e-07, 'max': 1.1787042242416217e-05}","{'p50': 3.789054008667393e-08, 'p95': 4.0771273519112085e-06, 'p99': 8.147938572352791e-06, 'mean': 6.238011899655266e-07, 'max': 1.4065823340832071e-05}","{'p50': 2.7361924917210692e-08, 'p95': 3.1081943142565587e-06, 'p99': 8.173717532949342e-06, 'mean': 4.93387543511182e-07, 'max': 1.1787042242416217e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_20ms,True,near_limit,1500,500,1.0,1.0,1.0,1.0,1.0,320203499,0.197583,0.3156596,0.40453698,0.21346899933333335,0.752252,0,0,0,1500,"{'p50': 6.729876445828145e-08, 'p95': 6.923219075536845e-06, 'p99': 1.1399265435684638e-05, 'mean': 9.861425818751957e-07, 'max': 1.235122591295707e-05}","{'p50': 4.2461062494262563e-08, 'p95': 3.551775633308176e-06, 'p99': 9.645598876003164e-06, 'mean': 6.373948506801243e-07, 'max': 1.2340072380932172e-05}","{'p50': 6.729876445828145e-08, 'p95': 6.923219075536845e-06, 'p99': 1.1399265435684638e-05, 'mean': 9.861425818751957e-07, 'max': 1.235122591295707e-05}","{'p50': 4.2461062494262563e-08, 'p95': 3.551775633308176e-06, 'p99': 9.645598876003164e-06, 'mean': 6.373948506801243e-07, 'max': 1.2340072380932172e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_20ms,True,near_singular,1500,500,1.0,1.0,1.0,0.9986666666666667,1.0,378367746,0.209516,0.3404771,0.48101270999999973,0.252245164,18.96374,0,0,0,1500,"{'p50': 7.205993847026837e-07, 'p95': 9.415085718857789e-06, 'p99': 1.230381919851683e-05, 'mean': 2.5117722036353902e-06, 'max': 1.4551914692332436e-05}","{'p50': 8.27615446628055e-08, 'p95': 6.483501450959368e-06, 'p99': 1.1249856931609206e-05, 'mean': 1.1316689143316056e-06, 'max': 1.2677294805130734e-05}","{'p50': 7.205993847026837e-07, 'p95': 9.415085718857789e-06, 'p99': 1.230381919851683e-05, 'mean': 2.5117722036353902e-06, 'max': 1.4551914692332436e-05}","{'p50': 8.27615446628055e-08, 'p95': 6.483501450959368e-06, 'p99': 1.1249856931609206e-05, 'mean': 1.1316689143316056e-06, 'max': 1.2677294805130734e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_orientation_5ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,328492633,0.20345649999999998,0.32449734999999996,0.38675474,0.21899508866666664,0.794781,0,0,0,1500,"{'p50': 1.5662695217676317e-06, 'p95': 9.620929780669722e-06, 'p99': 1.2153478424800775e-05, 'mean': 2.7581450443149013e-06, 'max': 1.3105373236888332e-05}","{'p50': 1.3024640363495104e-06, 'p95': 2.7654984522972363e-05, 'p99': 0.00010298774692699312, 'mean': 2.309088609267127e-05, 'max': 0.00650442147094847}","{'p50': 1.5662695217676317e-06, 'p95': 9.620929780669722e-06, 'p99': 1.2153478424800775e-05, 'mean': 2.7581450443149013e-06, 'max': 1.3105373236888332e-05}","{'p50': 1.3024640363495104e-06, 'p95': 2.7654984522972363e-05, 'p99': 0.00010298774692699312, 'mean': 2.309088609267127e-05, 'max': 0.00650442147094847}",0,0,0,0,0.0,0,0,0
