robot,scale,method,witness_feasible,uid,family,success,time
panda,1.0,trac_position_5ms,True,7698cf8a4e6032a850b6e1ecbe817a1c9a783d086ed2668898a8772ddb4a9d70,hard_feasible,1.0,215982.66666666666
panda,1.0,trac_position_5ms,True,72e2885571125176d902ba0410c71a7351bcd14c2fe96e6f52e5c54346c757f0,local,1.0,208623.33333333334
panda,1.0,trac_position_5ms,True,68249e38b0af80c302fc68261a51097ae795ab1ee0a43fc10e7f46fb0eeb4bdf,near_singular,1.0,264706.0
panda,1.0,trac_position_5ms,True,2bf19ff3470d19df1faab9c07a9a242670dd8cebc8ed06eb2112d096218a268a,near_limit,1.0,296142.6666666667
panda,1.0,trac_position_5ms,True,662a3c19097dd852e15c2b0c6b56b3f08bc2b0abba64e682d4a5dd94c4a4e660,local,1.0,236964.66666666666
panda,1.0,trac_position_5ms,True,dc6547b61ce700b8f468c48082416f297104df4e8c3631d8ccfd10eb40a4febd,near_limit,1.0,201273.33333333334
panda,1.0,trac_position_5ms,True,353457a6264c4afbc6ce6e48ad7093a8b92f087cbc48158fd74c815ec052e3fe,hard_feasible,1.0,246114.0
panda,1.0,trac_position_5ms,True,22c2db923062a6a05ba8d62b5094a9abcee23ec1ee2679ea3a57c89c221db91e,local,1.0,232985.0
panda,1.0,trac_position_5ms,True,a9d74d4574a5afa27b74dbe10dc07f094b4da346cee7a7edeaaa41e62b164a23,near_limit,1.0,203739.66666666666
panda,1.0,trac_position_5ms,True,bf4605f43f1b3dab26d54ecc9c369ee40f970214dca55077a98945dc1bc8f285,near_singular,1.0,224572.66666666666
panda,1.0,trac_position_5ms,True,fa55a60b8361d196a79eaf83989d8814806fc64b0fd024af9f379e8939369fc1,local,1.0,205720.33333333334
panda,1.0,trac_position_5ms,True,802708519e24f39a03c6ecf13249374aec0aa5b778c45abdc054c55a19fd8495,near_singular,1.0,216810.33333333334
panda,1.0,trac_position_5ms,True,b474302dfd2407cb5b14831272cb03c2bd85fbf104b992e01118c6e034a773f9,near_singular,1.0,321876.0
panda,1.0,trac_position_5ms,True,ec5a635f5600e526ddc57fca291d84035d1be6015a441efccf672ef6b29dfca3,near_singular,1.0,227828.33333333334
panda,1.0,trac_position_5ms,True,703639b7ada61de20eba8709379a28064ea430cf46699cf7c1560f5fb22e3137,near_limit,1.0,220270.33333333334
panda,1.0,trac_position_5ms,True,a12125999756a2b8f8adede754f51d8e06388a542eca00e177951011c03dc515,near_limit,1.0,196266.33333333334
panda,1.0,trac_position_5ms,True,ccbb72961f0a9e774aed60398859443a5da12ba3baf7292f41bb333901fc8e29,hard_feasible,1.0,326418.0
panda,1.0,trac_position_5ms,True,9f6006f8fd1dcc73882a4a5156982163869c5c75fd778613e03da2df0cc52799,local,1.0,205574.66666666666
panda,1.0,trac_position_5ms,True,82dddda3a21bb436a34be6967da92597ae594783c7ca6e8d82822d9f063ba184,local,1.0,197745.33333333334
panda,1.0,trac_position_5ms,True,22fb8260bb78b0ce37efb94a89e07ae231a537191a864e2dac25e4122c2f1caa,hard_feasible,1.0,230480.0
panda,1.0,trac_position_5ms,True,4e815b8f134944dc5fed64006524dc699307fe4c9c5438faedba1891214229e9,near_singular,1.0,279844.3333333333
panda,1.0,trac_position_5ms,True,9e29f41d4e53756b6a3ffc5da33c694c7819c8e1821151c561e448cc904840b8,hard_feasible,1.0,218834.0
panda,1.0,trac_position_5ms,True,5029b2d698db0f93af019505fb5d9982bbff4d045d6d09cbb21821c96fc6670a,near_limit,1.0,204587.33333333334
panda,1.0,trac_position_5ms,True,31c8888c207977eb8b6f5c23da3dbb8c68e041a2c954fbdc44f49ddbca367fda,local,1.0,240458.33333333334
panda,1.0,trac_position_5ms,True,d890d7df566ca4484e924388e4aa80cd293196e367a9211c5e306e11281f47b6,near_limit,1.0,205620.66666666666
panda,1.0,trac_position_5ms,True,39a6f6eb3c060d7597f3293ebff297a24d68e22dda8193e01407fcbd378c21e7,near_singular,1.0,224252.0
panda,1.0,trac_position_5ms,True,714da5a2f25e65a9c063e41d385845f7028c9e3694b93b084fb5bb2c2d60e105,hard_feasible,1.0,324681.0
panda,1.0,trac_position_5ms,True,ccede1e53b54f5fd2f1e81146fc8060f7f84d77e3b1d8a2434530e946476b02f,hard_feasible,1.0,290152.3333333333
panda,1.0,trac_position_5ms,True,8f23ff8ac1e11893e73940bf68cf707a3ef71cddf05c25ceb51fcac4c8236f29,near_limit,1.0,195125.0
panda,1.0,trac_position_5ms,True,4d4b2d3457c154a817c02468945b99cbf1fe4210ff6cdf42cd867e6bb464306b,near_limit,1.0,235220.33333333334
panda,1.0,trac_position_5ms,True,0342aad91cc524aa83d3535a6e5265066ce8af6327b63cc750fb48db00ac249a,local,1.0,203874.66666666666
panda,1.0,trac_position_5ms,True,c51b18251748dbeb77eb747883b0520cbb0543fb36305cbf45bbcc84a3500663,hard_feasible,1.0,295532.6666666667
panda,1.0,trac_position_5ms,True,602aebf83980438fc6aa50a53fb87c05835cb964282a66dea9a6bf956790a38f,local,1.0,209061.66666666666
panda,1.0,trac_position_5ms,True,1d38e188c7fc33ba467e46e63e32506bb572f472aa67d6df50921ff01dbf97de,local,1.0,240578.33333333334
panda,1.0,trac_position_5ms,True,41c7f488f9f6441692e8210464fa0a7a86a68a0bc48385a9753aa175ca5c24a3,local,1.0,238731.33333333334
panda,1.0,trac_position_5ms,True,3da5d5714eb78081cc6dc97e1d4dc310b1bf4d3467a101e93ebe74862880c675,local,1.0,206386.0
panda,1.0,trac_position_5ms,True,63f5033e67f4b4eca53f1d7c169febc63904bfd5f981ea669040198cc1a81432,near_singular,1.0,248479.66666666666
panda,1.0,trac_position_5ms,True,4340fbe6e64f0e39cb6ed5b40cce3541f33a3ad781f05a82648a831e5d7ab6cb,near_singular,1.0,248199.33333333334
panda,1.0,trac_position_5ms,True,277176a178ac050669dbe1bf43a950647e9ae3adda4bd1b959980e6d64af9ced,local,1.0,202500.33333333334
panda,1.0,trac_position_5ms,True,8867ad60e4569261caf9b5a36da0b9db2ab5f8c1c83b53ef9625125adb3b03b8,near_limit,1.0,237654.0
panda,1.0,trac_position_5ms,True,1e33317132f9b66aa2c87067a160771c1be04a722105b75edfa0fc0ef1bf154a,near_limit,1.0,203044.33333333334
panda,1.0,trac_position_5ms,True,4eca48cd86964e34f09c53c473353a4032f1c77093b6b6846691863b9d7c9cd4,local,1.0,218643.66666666666
panda,1.0,trac_position_5ms,True,dedb082dad7381f8c90ebcaa8f565475facc0d83d8937825f74479bc3971925b,near_limit,1.0,240841.33333333334
panda,1.0,trac_position_5ms,True,d20f46b5f84270d67f050761b2ea50fd42ff495d7587d6b810130a0b97462584,local,1.0,207756.33333333334
panda,1.0,trac_position_5ms,True,570f0267a686970d52bbe1befbba794e6c2476367109aa1a39f2b067dea580f8,local,1.0,224059.66666666666
panda,1.0,trac_position_5ms,True,fe59164d6f2f596e5185ac69dce9b14a61740efb4e0ba2ddf1544c16c316374b,near_singular,1.0,206195.0
panda,1.0,trac_position_5ms,True,392c1e85cbab807372b7fa98c5bd491d7e39ac9268dfb5703b94a62b09c4ab91,near_limit,1.0,220394.33333333334
panda,1.0,trac_position_5ms,True,040d374e9adf529e5504f75ae93d9eff66477f42a023f3f65035d5917b099ea5,local,1.0,308921.0
panda,1.0,trac_position_5ms,True,aac6f80dbb70546db591051bcc8716e63de0fcc2fbe3a926efaf110027888530,hard_feasible,1.0,308067.0
panda,1.0,trac_position_5ms,True,5779ca7e45205776adcdabec6a87fe49d212726fac7b9038ed703e1f7d32b48c,local,1.0,293656.6666666667
panda,1.0,trac_position_5ms,True,e71d7ae846e553d7eddc648696311ec617aa5b17320fd3282f7236c1f99cfaad,hard_feasible,1.0,202853.66666666666
