uid,episode_uid,frame,method,repeat,accepted,latency_ns,reason,empty_dynamic_box,witness,line
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,relative,0,False,10976250,position_tolerance+orientation_tolerance,False,False,229
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,fixed_qp2,2,False,9922705,position_tolerance+orientation_tolerance,False,False,230
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,direct_sqp,2,False,9412354,position_tolerance+orientation_tolerance,False,False,231
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,direct_sqp,0,False,9331568,position_tolerance+orientation_tolerance,False,False,232
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,gn,1,False,5886164,position_tolerance+orientation_tolerance,False,False,233
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,gn,2,False,5850906,position_tolerance+orientation_tolerance,False,False,234
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,clarabel,1,False,13614988,position_tolerance+orientation_tolerance,False,False,235
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,relative,1,False,11027198,position_tolerance+orientation_tolerance,False,False,236
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,fixed_qp2,0,False,9956696,position_tolerance+orientation_tolerance,False,False,237
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,gn,0,False,5869351,position_tolerance+orientation_tolerance,False,False,238
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,clarabel,0,False,13670766,position_tolerance+orientation_tolerance,False,False,239
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,direct_sqp,1,False,9494656,position_tolerance+orientation_tolerance,False,False,240
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,direct_sqp,0,False,20164916,position_tolerance+orientation_tolerance,False,False,256
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,gn,1,False,4316022,orientation_tolerance,False,False,257
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,gn,0,False,4298408,orientation_tolerance,False,False,258
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,relative,1,False,13818137,position_tolerance+orientation_tolerance,False,False,259
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,direct_sqp,1,False,20203761,position_tolerance+orientation_tolerance,False,False,260
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,clarabel,1,False,12533783,position_tolerance+orientation_tolerance,False,False,261
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,fixed_qp2,0,False,11024397,position_tolerance+orientation_tolerance,False,False,262
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,relative,0,False,13703700,position_tolerance+orientation_tolerance,False,False,263
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,relative,2,False,14401033,position_tolerance+orientation_tolerance,False,False,264
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,fixed_qp2,2,False,14066429,position_tolerance+orientation_tolerance,False,False,265
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,gn,2,False,4412529,orientation_tolerance,False,False,266
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,clarabel,2,False,12646765,position_tolerance+orientation_tolerance,False,False,267
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,direct_sqp,2,False,20161680,position_tolerance+orientation_tolerance,False,False,268
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,fixed_qp2,1,False,10938050,position_tolerance+orientation_tolerance,False,False,269
870f6055d1562312d600af37fa5ea6c7ee43af5fc24ee067e16f31078bcd27f3,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,1046,clarabel,0,False,12358254,position_tolerance+orientation_tolerance,False,False,270
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,gn,0,False,5048801,position_tolerance+orientation_tolerance,False,False,271
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,direct_sqp,0,False,20160322,position_tolerance+orientation_tolerance,False,False,272
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,direct_sqp,1,False,20143735,position_tolerance+orientation_tolerance,False,False,273
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,gn,2,False,5065473,position_tolerance+orientation_tolerance,False,False,274
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,direct_sqp,2,False,20146498,position_tolerance+orientation_tolerance,False,False,275
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,relative,1,False,20149299,position_tolerance+orientation_tolerance,False,False,276
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,clarabel,0,False,13192901,position_tolerance+orientation_tolerance,False,False,277
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,relative,2,False,20211165,position_tolerance+orientation_tolerance,False,False,278
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,fixed_qp2,2,False,10927238,position_tolerance+orientation_tolerance,False,False,279
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,fixed_qp2,1,False,10887727,position_tolerance+orientation_tolerance,False,False,280
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,gn,1,False,5031277,position_tolerance+orientation_tolerance,False,False,281
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,clarabel,2,False,13296157,position_tolerance+orientation_tolerance,False,False,282
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,clarabel,1,False,13375825,position_tolerance+orientation_tolerance,False,False,283
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,fixed_qp2,0,False,10976503,position_tolerance+orientation_tolerance,False,False,284
24e064019429e43a0ee65bba99f12ad5badc267c5dab56878bfe97fdcb56d6d9,4cdb89faa14ccdba127d52c7c586226cbd80c2f17ac1f36a3e1c7754173d7d83,374,relative,0,False,20179625,position_tolerance+orientation_tolerance,False,False,285
501825e16a678f4c1989e10daf4c4005aa2f1fe95705caa13e2148ba9ef2d67e,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,652,clarabel,2,False,13422658,position_tolerance+orientation_tolerance,False,False,286
501825e16a678f4c1989e10daf4c4005aa2f1fe95705caa13e2148ba9ef2d67e,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,652,direct_sqp,1,False,20163740,position_tolerance+orientation_tolerance,False,False,287
501825e16a678f4c1989e10daf4c4005aa2f1fe95705caa13e2148ba9ef2d67e,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,652,clarabel,0,False,13381831,position_tolerance+orientation_tolerance,False,False,288
501825e16a678f4c1989e10daf4c4005aa2f1fe95705caa13e2148ba9ef2d67e,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,652,fixed_qp2,0,False,11748199,position_tolerance+orientation_tolerance,False,False,289
