uid,method,robot,anchor_uid,anchor_family,displacement,alpha,accepted,timely,latency_ns,success_by_repeat,condition
0553b7be026918ed381e8ca043b37e837f9a2125c05cf7188972f4eabe9aaee4,eta050,panda,504f14d827f5f16ad86855827f10a60f9c274bd3189c19619ad0917a0b8ef915,ordinary,multijoint_boundary,0.95,1.0,1.0,495576.3333333333,"[true,true,true]",nominal
0553b7be026918ed381e8ca043b37e837f9a2125c05cf7188972f4eabe9aaee4,gn,panda,504f14d827f5f16ad86855827f10a60f9c274bd3189c19619ad0917a0b8ef915,ordinary,multijoint_boundary,0.95,1.0,1.0,495525.6666666667,"[true,true,true]",nominal
0553b7be026918ed381e8ca043b37e837f9a2125c05cf7188972f4eabe9aaee4,relative,panda,504f14d827f5f16ad86855827f10a60f9c274bd3189c19619ad0917a0b8ef915,ordinary,multijoint_boundary,0.95,1.0,1.0,502657.0,"[true,true,true]",nominal
068a15510baec83ad398b9c5f2e68e38a81cf0fe4b689cdc4e895e74cffc69fa,direct_sqp,panda,a01a78a1c6b76a93dd67c37faedb8670c0609df9184a58e06d5f56eb31d29d71,near_singular,high_utilization,0.95,1.0,1.0,2290825.0,"[true,true,true]",nominal
068a15510baec83ad398b9c5f2e68e38a81cf0fe4b689cdc4e895e74cffc69fa,eta010,panda,a01a78a1c6b76a93dd67c37faedb8670c0609df9184a58e06d5f56eb31d29d71,near_singular,high_utilization,0.95,1.0,1.0,309161.0,"[true,true,true]",nominal
068a15510baec83ad398b9c5f2e68e38a81cf0fe4b689cdc4e895e74cffc69fa,eta050,panda,a01a78a1c6b76a93dd67c37faedb8670c0609df9184a58e06d5f56eb31d29d71,near_singular,high_utilization,0.95,1.0,1.0,321666.0,"[true,true,true]",nominal
068a15510baec83ad398b9c5f2e68e38a81cf0fe4b689cdc4e895e74cffc69fa,gn,panda,a01a78a1c6b76a93dd67c37faedb8670c0609df9184a58e06d5f56eb31d29d71,near_singular,high_utilization,0.95,1.0,1.0,354462.0,"[true,true,true]",nominal
068a15510baec83ad398b9c5f2e68e38a81cf0fe4b689cdc4e895e74cffc69fa,relative,panda,a01a78a1c6b76a93dd67c37faedb8670c0609df9184a58e06d5f56eb31d29d71,near_singular,high_utilization,0.95,1.0,1.0,323790.3333333333,"[true,true,true]",nominal
074f57f4170036a8365ffcc5c0cd65eecd67179da289b74bd8152cb46f2ef1d1,direct_sqp,panda,191f0d5092ed65e564af1805374fb4929f6fcfbebc2bde6769e8bac410e44f32,ordinary,multijoint_boundary,0.0,1.0,1.0,2524665.6666666665,"[true,true,true]",nominal
074f57f4170036a8365ffcc5c0cd65eecd67179da289b74bd8152cb46f2ef1d1,eta010,panda,191f0d5092ed65e564af1805374fb4929f6fcfbebc2bde6769e8bac410e44f32,ordinary,multijoint_boundary,0.0,1.0,1.0,569081.3333333334,"[true,true,true]",nominal
074f57f4170036a8365ffcc5c0cd65eecd67179da289b74bd8152cb46f2ef1d1,eta050,panda,191f0d5092ed65e564af1805374fb4929f6fcfbebc2bde6769e8bac410e44f32,ordinary,multijoint_boundary,0.0,1.0,1.0,601724.6666666666,"[true,true,true]",nominal
074f57f4170036a8365ffcc5c0cd65eecd67179da289b74bd8152cb46f2ef1d1,gn,panda,191f0d5092ed65e564af1805374fb4929f6fcfbebc2bde6769e8bac410e44f32,ordinary,multijoint_boundary,0.0,1.0,1.0,557376.6666666666,"[true,true,true]",nominal
074f57f4170036a8365ffcc5c0cd65eecd67179da289b74bd8152cb46f2ef1d1,relative,panda,191f0d5092ed65e564af1805374fb4929f6fcfbebc2bde6769e8bac410e44f32,ordinary,multijoint_boundary,0.0,1.0,1.0,594573.0,"[true,true,true]",nominal
0797f83850b304524e806c8fd2cc03752087a9391ff21eb79a1ed6623bc1b437,direct_sqp,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,multijoint_boundary,0.5,1.0,1.0,2213231.0,"[true,true,true]",nominal
0797f83850b304524e806c8fd2cc03752087a9391ff21eb79a1ed6623bc1b437,eta010,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,multijoint_boundary,0.5,1.0,1.0,536229.0,"[true,true,true]",nominal
0797f83850b304524e806c8fd2cc03752087a9391ff21eb79a1ed6623bc1b437,eta050,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,multijoint_boundary,0.5,1.0,1.0,515209.0,"[true,true,true]",nominal
0797f83850b304524e806c8fd2cc03752087a9391ff21eb79a1ed6623bc1b437,gn,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,multijoint_boundary,0.5,1.0,1.0,536757.6666666666,"[true,true,true]",nominal
0797f83850b304524e806c8fd2cc03752087a9391ff21eb79a1ed6623bc1b437,relative,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,multijoint_boundary,0.5,1.0,1.0,540042.3333333334,"[true,true,true]",nominal
07acaf53293cecd7e7afab7eb58d0293082a09ebef761fcc22eaaff83f57dc84,direct_sqp,panda,2d98976f97d2217cf4f35bf2f87f7c6a5fb90dbe3e9b07f35ff17bb05b577b9e,near_singular,high_utilization,0.0,1.0,1.0,2428888.3333333335,"[true,true,true]",nominal
07acaf53293cecd7e7afab7eb58d0293082a09ebef761fcc22eaaff83f57dc84,eta010,panda,2d98976f97d2217cf4f35bf2f87f7c6a5fb90dbe3e9b07f35ff17bb05b577b9e,near_singular,high_utilization,0.0,1.0,1.0,512942.3333333333,"[true,true,true]",nominal
07acaf53293cecd7e7afab7eb58d0293082a09ebef761fcc22eaaff83f57dc84,eta050,panda,2d98976f97d2217cf4f35bf2f87f7c6a5fb90dbe3e9b07f35ff17bb05b577b9e,near_singular,high_utilization,0.0,1.0,1.0,519890.0,"[true,true,true]",nominal
07acaf53293cecd7e7afab7eb58d0293082a09ebef761fcc22eaaff83f57dc84,gn,panda,2d98976f97d2217cf4f35bf2f87f7c6a5fb90dbe3e9b07f35ff17bb05b577b9e,near_singular,high_utilization,0.0,1.0,1.0,480477.3333333333,"[true,true,true]",nominal
