group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts,robot,condition
all,relative,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.39807459506172843,0.40798,0.5443500499999999,0.7574598499999943,107.48014066666667,0,270,"[270,270,270]",[],"[0.00015619071617453835,0.0008421766665934425,0.000996373088838316]","[0.0005568101058035801,0.007739698711748742,0.008580983495439724]",0.05925925925925926,"[0.9458165818123571,0.9999999999990026,0.9999999999990026]",1.6037037037037036,0.4777777777777778,0.0,0.5222222222222223,0.011111111111111112,0.5222222222222223,1.525925925925926,{},"{""native_task_candidate"":810}",ur5e,nominal
all,eta010,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.39919903827160497,0.404018,0.5358270499999999,0.714086229999999,107.78374033333334,0,270,"[270,270,270]",[],"[0.00015619071617453835,0.0008421766665934425,0.000996373088838316]","[0.0005568101058035801,0.007739698711748742,0.008580983495439724]",0.05925925925925926,"[0.9458165818123571,0.9999999999990026,0.9999999999990026]",1.6,0.4777777777777778,,0.5222222222222223,0.011111111111111112,0.5222222222222223,1.5222222222222221,{},"{""native_task_candidate"":810}",ur5e,nominal
all,eta050,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.3965280407407408,0.4056895,0.5403905,0.8017785699999997,107.062571,0,270,"[270,270,270]",[],"[0.00015619071617453835,0.0008421766665934425,0.000996373088838316]","[0.0005568101058035801,0.007739698711748742,0.008580983495439724]",0.05925925925925926,"[0.9458165818123571,0.9999999999990026,0.9999999999990026]",1.6037037037037036,0.4777777777777778,,0.5222222222222223,0.011111111111111112,0.5222222222222223,1.525925925925926,{},"{""native_task_candidate"":810}",ur5e,nominal
all,gn,270,3,"[267,267,267]","[267,267,267]",0.9888888888888889,0.9888888888888889,0.42897123086419753,0.3969555,0.5236692,2.763181939999926,115.82223233333333,0,270,"[267,267,267]","[""0e5e9deb4853b458c0acffc6cdbc270c521ef1bd8893ee4b94dbdcb768f00946"",""3e205b6c83634834e337acb8ea1cfc1a3bd85a17084b579e50d867ceb96383c1"",""713807f26963b9a2552d2a9f06712c4f88095bcf52a5975dab0478bbb9cd157f""]","[0.00015343377625509836,0.0008357758086979612,0.000996373088838316]","[0.0005140186648969113,0.007660969715048679,0.008580983495439724]",0.052434456928838954,"[0.9316281139194399,0.9999999999990026,0.9999999999990026]",,,,,,,2.640740740740741,"{""orientation_tolerance"":9}","{""task_candidate"":801,""stationary"":6,""no_descent"":3}",ur5e,nominal
all,direct_sqp,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,2.1173100814814814,2.1851655,2.7879698,3.00901199,571.673722,0,270,"[270,270,270]",[],"[0.0009999999529931329,0.0009999999826420742,0.0009999999959291145]","[0.008726645831653295,0.008726646086652854,0.00872664624714798]",1.0,"[0.8321134615192551,0.9999999999990026,0.9999999999990026]",,,,,,,15.437037037037037,{},"{""task_accepted_early"":810}",ur5e,nominal
all,relative,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.4144736975308642,0.4426865,0.5491628,0.675645369999999,111.90789833333334,0,270,"[270,270,270]",[],"[6.444521597567999e-05,0.000364718175419232,0.0004934122191562846]","[0.0002745037127760608,0.00784798953562617,0.00860369560163529]",0.06296296296296296,"[0.8817905713219532,0.9999999999990026,0.9999999999990026]",1.6592592592592592,0.34814814814814815,0.0,0.6518518518518519,0.003703703703703704,0.6518518518518519,1.6555555555555554,{},"{""native_task_candidate"":810}",ur5e,position_half
all,gn,270,3,"[269,269,269]","[269,269,269]",0.9962962962962963,0.9962962962962963,0.43154259135802464,0.42623500000000003,0.54301265,0.61645391,116.51649966666666,0,270,"[269,269,269]","[""9dbf96fd0d4dbe8fb83a8ad477462ad0fe49adc22352ef6d4113f007d737bde5""]","[6.427159104541513e-05,0.0003622886647154562,0.0004934122191562846]","[0.00027139756032855015,0.00784798953562617,0.00860369560163529]",0.05947955390334572,"[0.8793723365660489,0.9999999999990026,0.9999999999990026]",,,,,,,2.7037037037037037,"{""orientation_tolerance"":3}","{""task_candidate"":807,""no_descent"":3}",ur5e,position_half
all,direct_sqp,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,2.4021658308641975,2.45929,3.1220447499999997,3.3583050899999995,648.5847743333334,0,270,"[270,270,270]",[],"[0.0004999999765366034,0.0004999999933140123,0.0004999999994635433]","[0.008726645830342415,0.008726646056041266,0.008726646245180575]",1.0,"[0.8372443865296677,0.9999999999990026,0.9999999999990026]",,,,,,,17.737037037037037,{},"{""task_accepted_early"":810}",ur5e,position_half
all,relative,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,0.4016457049382716,0.401535,0.5488348,1.2278877499999883,108.44434033333334,0,270,"[270,270,270]",[],"[0.00018666238498419837,0.0009196227573197922,0.0009888663515863318]","[0.0002689651405197269,0.003655949064930871,0.004354892060925959]",0.07777777777777778,"[0.9214574677705601,0.9999999999990026,0.9999999999990026]",1.6296296296296295,0.48518518518518516,0.0,0.5148148148148148,0.018518518518518517,0.5148148148148148,1.5296296296296297,{},"{""native_task_candidate"":810}",ur5e,orientation_half
all,gn,270,3,"[265,265,265]","[265,265,265]",0.9814814814814815,0.9814814814814815,0.4579563333333333,0.3934125,0.5348869999999999,3.887117289999987,123.64820999999999,0,270,"[265,265,265]","[""313eff7fa1950cd9b5bfbe599e6c82e5e5514d3b007cedaa08cf6a08467afc21"",""8a4fe1e3735fc16705acab38104ac3f51b7abaf1726cde591b4a4ba318c7961f"",""a1a676be4801300c25c0ef7ed33c41178613162d560c5a81548f284ba0f6090d"",""b497a0c9cfb45978a404c903c25dbb1dc4db0224cc12b932050c7bd8dedf27f7"",""f473e10da4bda5700869e0fa1ed4c9f1a51b172f56ba2328e170babc64368ff7""]","[0.00018189148283223125,0.0009012851728530557,0.0009888663515863318]","[0.00026217814384550637,0.0033644087849443445,0.004354892060925959]",0.06415094339622641,"[0.9109040059855308,0.9999999999990026,0.9999999999990026]",,,,,,,2.72962962962963,"{""orientation_tolerance"":9,""position_tolerance"":6}","{""task_candidate"":795,""stationary"":9,""no_descent"":6}",ur5e,orientation_half
all,direct_sqp,270,3,"[270,270,270]","[270,270,270]",1.0,1.0,2.286001782716049,2.359088,2.95714025,3.20017965,617.2204813333333,0,270,"[270,270,270]",[],"[0.000999999951712324,0.000999999981726367,0.0009999999986559523]","[0.0043633229210364635,0.004363323059136975,0.004363323115510639]",1.0,"[0.8411226936818403,0.9999999999990026,0.9999999999990026]",,,,,,,16.711111111111112,{},"{""task_accepted_early"":810}",ur5e,orientation_half
