robot,group,method,baseline,queries,anchors,success_difference,success_difference_ci,timely_difference,timely_difference_ci,latency_ratio,latency_ratio_ci,gained_query_units,lost_query_units,net_mean_success_count,stable_gains,stable_losses,interval,condition
panda,multijoint_boundary/alpha=0.95,relative,gn,30,30,0.06666666666666665,"[0.0,0.16666666666666663]",0.06666666666666665,"[0.0,0.16666666666666663]",0.7217890669796185,"[0.5176081618814229,1.0196900125183874]",2,0,2.0,2,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.95,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.2177089531642586,"[0.1995409708009447,0.23675288553122692]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.0,relative,eta010,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0027978465880942,"[0.9795033128332168,1.0262218444827393]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.0,relative,eta050,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0092947814187152,"[0.9855486241367392,1.0329703154532142]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.0,relative,gn,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9196823483830262,"[0.9087727897179272,0.932522008465521]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.0,relative,direct_sqp,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.17668984733497448,"[0.15694404073782642,0.2083289107409281]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.5,relative,eta010,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9856764826022975,"[0.9485551265853066,1.0213850439716552]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.5,relative,eta050,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0123622969608495,"[0.9730982088474616,1.0484924948732504]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.5,relative,gn,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9218662159572207,"[0.903351697533081,0.9412924689774249]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,ordinary/regular/alpha=0.5,relative,direct_sqp,10,10,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1618535683177457,"[0.1378675166149436,0.19875095480753402]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
