robot,trajectory_uid,family,group,frames,hard_complete,hard_total_latency_ns,hard_total_fev,hard_reject_count,hard_defer_count,hard_fallback_count,hard_first_failure_frame,hard_first_failure_reason,cghik_complete,cghik_total_latency_ns,cghik_total_fev,cghik_reject_count,cghik_defer_count,cghik_fallback_count,cghik_first_failure_frame,cghik_first_failure_reason,saved_latency_ns
panda,b28caf6d01afadb5212e6fd783ac3d62b338084019676ab393b16cabcf1dcf9d,central_joint_limit_skim_return,both_complete,150,True,233661711,374,0,0,0,,,True,266837042,370,0,0,0,,,-33175331
panda,b4ff62f03f10973002b2114d0becb2843957aedbcd7e5a2fb20d64ae97b23f3e,slow_high_curvature_high_speed_slow,neither_complete,150,False,17641353240,25778,0,0,106,44,all_cascade_stages_failed,False,17424681349,25529,5,71,101,44,all_cascade_stages_failed,216671891
panda,b6dd124d0fb6660d53608788a645bd8cb0375985197e52c442be862016e2a054,slow_high_curvature_high_speed_slow,neither_complete,150,False,25502419979,32150,0,0,98,50,all_cascade_stages_failed,False,7763596725,9535,74,15,27,49,all_cascade_stages_failed,17738823254
panda,b88bba659a1648a85ecd2633699f986a26963497abcd588999131f975065f753,slow_high_curvature_high_speed_slow,neither_complete,150,False,18083754295,26127,0,0,104,46,all_cascade_stages_failed,False,10410989366,14041,56,36,48,46,all_cascade_stages_failed,7672764929
panda,bffdc48c827d89c0d49c5b1e74abdaa79f39eee6d8150a880bac286e438b99d2,slow_high_curvature_high_speed_slow,neither_complete,150,False,35614985416,42299,0,0,110,40,all_cascade_stages_failed,False,25602353845,30337,32,31,78,40,all_cascade_stages_failed,10012631571
panda,c087ea21702168a411cd7333ccbecb2680e88f668e29a3bc0668f3f10d683c89,smooth_fast_orientation_smooth,both_complete,150,True,255311622,448,0,0,0,,,True,291084375,448,0,0,0,,,-35772753
panda,c109e3de90b2dca7b246bc744673aef829b0b9d1c52c4c37535bb397dd2c9ba3,regular_near_singular_regular,both_complete,150,True,241732106,406,0,0,0,,,True,262578683,366,0,0,0,,,-20846577
panda,c44ae970113420e1fbd1b2ef578c1c57da643bc9b900f02f5f4541e18477af19,smooth_fast_orientation_smooth,both_complete,150,True,254788430,408,0,0,0,,,True,371918982,535,0,0,1,,,-117130552
panda,c4ea6ac3a82f08525798197b66f829fabcf22836dd6929a48659f8797a361b02,regular_near_singular_regular,neither_complete,150,False,12053058959,20224,0,0,63,87,all_cascade_stages_failed,False,3344063241,6425,39,21,23,88,all_cascade_stages_failed,8708995718
panda,c63abbc5397728708d2c53779238ca0c61370ad9addc75521ab7301127678657,slow_high_curvature_high_speed_slow,neither_complete,150,False,22294734462,30398,0,0,110,40,all_cascade_stages_failed,False,18493619270,24425,27,33,83,40,all_cascade_stages_failed,3801115192
panda,cbf77896f52e0da88033c843e9258d7848db3ac6de46d39fe77ef4bdb41cfebb,smooth_fast_orientation_smooth,both_complete,150,True,247967279,448,0,0,0,,,True,276897245,448,0,0,0,,,-28929966
panda,e51230bcfefd9502ebe0a25a195d154f211a3df8fe1fd28c71abf1dc9c2aac99,smooth_fast_orientation_smooth,both_complete,150,True,361661675,448,0,0,0,,,True,406714410,448,0,0,0,,,-45052735
panda,e58673e794ac13cba09102320e3bc0bf24e5117bc6e0fb7ed9e68e95bd81238c,regular_near_singular_regular,neither_complete,150,False,9193404783,13479,0,0,37,56,all_cascade_stages_failed,False,8845147889,13379,0,31,37,56,all_cascade_stages_failed,348256894
panda,e5ec8911421d3d3586f8466390703678412a2bf374e630b8c37dac67558e8267,central_joint_limit_skim_return,both_complete,150,True,248088312,374,0,0,0,,,True,285874331,378,0,0,0,,,-37786019
panda,e741654c4c43c7e0fda85ab5747af88f3c70708e409c94c8d1fc6aff39fda2c6,smooth_fast_orientation_smooth,both_complete,150,True,245254408,448,0,0,0,,,True,276497408,448,0,0,0,,,-31243000
panda,ec34dfebe109c1ab568245f30c6e87caa29be579b0ac63a709f7e539223ffd36,regular_near_singular_regular,both_complete,150,True,367245420,518,0,0,2,,,True,285332439,330,0,0,0,,,81912981
panda,efa2148ad77b54958c3ff88c795cd82b7a63de1fee35f4da832dd4d72a198acd,central_joint_limit_skim_return,neither_complete,150,False,2512415061,6385,0,0,25,62,all_cascade_stages_failed,False,2387457664,6346,0,15,25,62,all_cascade_stages_failed,124957397
panda,f3261225edd438042ad98031385ee52b1f37b2971cb320f04d782aa51863aae3,central_joint_limit_skim_return,neither_complete,150,False,5170779209,7698,0,0,24,63,all_cascade_stages_failed,False,4615520667,7369,0,13,23,63,all_cascade_stages_failed,555258542
panda,f3a0610a0f19bbb7c151c1a21c732395a069200e1f92b09ef8f89bd4cd509c88,slow_high_curvature_high_speed_slow,neither_complete,150,False,19824461095,28552,0,0,108,42,all_cascade_stages_failed,False,12614708535,17424,48,32,60,42,all_cascade_stages_failed,7209752560
panda,f5d2196fad389445676c8c51ca821ad682fe4f42bdeb31b02ec535d3fa5b5b5f,regular_near_singular_regular,both_complete,150,True,240999877,375,0,0,1,,,True,255281245,338,0,0,0,,,-14281368
panda,f781803026cf92a8bef844052fb7b50ddb5ea70614dc86b7027930078ba3b4e6,smooth_fast_orientation_smooth,both_complete,150,True,262792052,486,0,0,1,,,True,294629828,485,0,0,1,,,-31837776
panda,f9b0c97d3e1f31da0d609e025c1f1b84c648232984526cb5226dfb594e072b1a,smooth_fast_orientation_smooth,neither_complete,150,False,14346277016,18816,0,0,61,89,all_cascade_stages_failed,False,11504791577,14863,14,9,47,89,all_cascade_stages_failed,2841485439
panda,f9ca76230bd812cbad2116999593e07625e19893aa834cdb00c2a06f44ba0bcd,slow_high_curvature_high_speed_slow,neither_complete,150,False,11017041881,19260,0,0,102,51,all_cascade_stages_failed,False,6654298693,11501,42,31,60,51,all_cascade_stages_failed,4362743188
panda,f9f3de755890befbe5e716d8cd733299abc35befef0a0c1d7814ea83eba311f6,regular_near_singular_regular,neither_complete,150,False,13054904390,21216,0,0,62,88,all_cascade_stages_failed,False,487426270,650,59,1,3,88,all_cascade_stages_failed,12567478120
panda,fa4e24af4e13aa3f515dd54f0e82976dae9e386e280cd945e5eeb2f670c06897,smooth_fast_orientation_smooth,both_complete,150,True,266556086,444,0,0,0,,,True,305833422,444,0,0,0,,,-39277336
panda,ff6b4151799c021d3c2de8d725dc8a89b4f243e3c27c7b2bd28ec300454b3055,central_joint_limit_skim_return,both_complete,150,True,234681049,374,0,0,0,,,True,266785451,386,0,0,0,,,-32104402
ur5e,039d87a70b6dc881334f3fcd9dfb26af260934d83fc7cf7022503c04236c4db5,central_joint_limit_skim_return,neither_complete,150,False,3601548712,12565,0,0,105,22,all_cascade_stages_failed,False,671812629,2085,87,8,18,22,all_cascade_stages_failed,2929736083
ur5e,046ef01cbbb0022a57af7137a085eefb092db04461f4f319effa7b41bc5ead72,smooth_fast_orientation_smooth,both_complete,150,True,233015077,448,0,0,0,,,True,262896592,448,0,0,0,,,-29881515
ur5e,061041aa50bcf09cff5af066d3469fb319d51c5fb36c81e3788db9199ada9d8c,smooth_fast_orientation_smooth,both_complete,150,True,235369578,448,0,0,0,,,True,263519630,448,0,0,0,,,-28150052
ur5e,084d06a698822e01ba90f1e1e305f67b4bd08812f1d32e08d996f0f28397da90,slow_high_curvature_high_speed_slow,both_complete,150,True,247723001,519,0,0,1,,,True,277144002,519,0,0,1,,,-29421001
ur5e,0a9df274294828aa77848b30468e0a925bce1f598523691f8366c12acb5e003b,smooth_fast_orientation_smooth,both_complete,150,True,236097616,448,0,0,0,,,True,264225647,448,0,0,0,,,-28128031
ur5e,0c201c6db8c55a3ddd529fb0279c71144ffd2b77d19491c24f94e9331067d040,slow_high_curvature_high_speed_slow,both_complete,150,True,253996893,546,0,0,2,,,True,284487230,548,0,0,2,,,-30490337
ur5e,0ca6e572665cb8593ea2170713e5ee983df5c1c5477f017f86624c68985a0d6c,central_joint_limit_skim_return,neither_complete,150,False,3009131669,11593,0,0,105,22,all_cascade_stages_failed,False,793356077,2591,83,12,22,22,all_cascade_stages_failed,2215775592
ur5e,0efa5a2d6bbe095fe14cb386c39efd3cd928b60a82c740e97dec53cdd7cee469,slow_high_curvature_high_speed_slow,neither_complete,150,False,934998628,2026,0,0,34,59,all_cascade_stages_failed,False,829273261,1797,7,14,27,59,all_cascade_stages_failed,105725367
ur5e,1680c0912644e6983447d1e7c9329fa412b9d59015f8cb196292ff5de06250b1,regular_near_singular_regular,both_complete,150,True,227592055,398,0,0,0,,,True,256121969,370,0,0,0,,,-28529914
