robot,method,uid,family,latency,latency_samples_ns,success,fev,deadline,all_success
panda,trac_ik_5ms,bfcba662da838604d3f89b236b9158c56e3a3906006d85e4e5ffc644a0d65f95,local,225503.66666666666,"[196271, 205626, 274614]",1.0,,1.0,True
panda,trac_ik_5ms,bfcf72c3db5e23dac1fac1d98099a69f9a39f21aaa3751b0a5c4f2fd8481fde8,hard_feasible,232323.66666666666,"[237831, 232290, 226850]",1.0,,1.0,True
panda,trac_ik_5ms,bffe6b96c49bead470b1ec4abf10c63b2062aa676566866638ac49239799d353,constructed_inexecutable,5166304.0,"[5217517, 5150685, 5130710]",0.0,,0.0,False
panda,trac_ik_5ms,c0221de2389641521b7a29679c6e2229377155b857b0a73c45005b4296429cc0,local,205945.0,"[213137, 178752, 225946]",1.0,,1.0,True
panda,trac_ik_5ms,c03ca62f9f1a7e29627a6a05284865e91332a277e7d426292092f53b883a1e16,near_limit,252664.66666666666,"[224996, 295214, 237784]",1.0,,1.0,True
panda,trac_ik_5ms,c0432332c9da967c4914c43c560921ce89cc51b1f2cd391c0bcdfd25129ca7fe,near_limit,286333.0,"[317022, 304987, 236990]",1.0,,1.0,True
panda,trac_ik_5ms,c05d11faf3c783454efd4d6442dca0fdc06e9cea4c1ca55e2970f68fcbb50f4d,local,194601.0,"[216684, 184674, 182445]",1.0,,1.0,True
panda,trac_ik_5ms,c06d75ee8d161df29c2e9fc500730adaf8b63f322abbb5ee8781d6990ec79abe,hard_feasible,235318.66666666666,"[223946, 241429, 240581]",1.0,,1.0,True
panda,trac_ik_5ms,c0834d33a0aad7053bc928ec53e3db18be42d28d496c766d714120f3a0be6ba7,hard_feasible,240993.33333333334,"[320413, 195872, 206695]",1.0,,1.0,True
panda,trac_ik_5ms,c08bf3190178658713ca180bf30c80375292acea4a42d49ef6a7e3c4fb3dfc39,constructed_inexecutable,5135379.666666667,"[5097628, 5168550, 5139961]",0.0,,0.0,False
panda,trac_ik_5ms,c0923df084c55b99c19cb8489734709ab9afd8662bdba1bc3f62c8542f2a2cf9,constructed_inexecutable,5139787.666666667,"[5083534, 5197365, 5138464]",0.0,,0.0,False
panda,trac_ik_5ms,c0a224bd7a6ba061c573ebc0f3789447135d735bde2518b02c772688955c23d6,near_limit,240233.33333333334,"[208132, 224503, 288065]",1.0,,1.0,True
panda,trac_ik_5ms,c0b7288f941a336e92d3338d953b45fb223d861aac3e7837b420afcf29a03a52,hard_feasible,407734.6666666667,"[364466, 421094, 437644]",1.0,,1.0,True
panda,trac_ik_5ms,c0cc6ffc03a40cf27dafbfbe01878ecf76cbd62459b1cc534816768c28951531,hard_feasible,247408.33333333334,"[229695, 243683, 268847]",1.0,,1.0,True
panda,trac_ik_5ms,c0ce8234f53185e3e6bb8c5497c75fb45a9bb5c5f6fe0d17b583a86c3659a4e2,local,256294.0,"[212152, 324755, 231975]",1.0,,1.0,True
panda,trac_ik_5ms,c1120a576f6e3653898f0732f45f24db9b9d087a8241b4197c76e3efed33ac53,hard_feasible,467490.6666666667,"[510894, 479639, 411939]",1.0,,1.0,True
panda,trac_ik_5ms,c123a5e4abe89d19c67701f24ce3576516b1611d66811a1457f924ba78a958ea,constructed_inexecutable,5113869.333333333,"[5077580, 5133085, 5130943]",0.0,,0.0,False
panda,trac_ik_5ms,c156743cdda127d312320731ed812b6954ba5ab83d37ca590b9c2be974a082c5,constructed_inexecutable,5115058.666666667,"[5088282, 5130645, 5126249]",0.0,,0.0,False
panda,trac_ik_5ms,c1635f123df7eecc205b90a3c2853188f4d44e8e6df692114e35295ca7bf3cfd,local,229335.66666666666,"[208461, 249068, 230478]",1.0,,1.0,True
panda,trac_ik_5ms,c17819e0b8673617e5134aaab71278900df2723d06b22de0917004243cbb0a0b,hard_feasible,682818.0,"[773951, 594663, 679840]",0.0,,0.0,False
panda,trac_ik_5ms,c17d37faab5cbb95e33c4055cbde5f06a83d971e86c2a2b2d158f0679ab0e0ee,local,207614.66666666666,"[248334, 179230, 195280]",1.0,,1.0,True
panda,trac_ik_5ms,c18558cb690c4fe6766c953039ad206b09b4872b0b65091ac59421a3f8ccd6b9,hard_feasible,266383.0,"[265928, 282385, 250836]",1.0,,1.0,True
panda,trac_ik_5ms,c1894e13a893c3fcf2c8e2c8a2ec2d0cbbef37f9e8b1562797e3de53437b97cb,constructed_inexecutable,5143397.666666667,"[5138132, 5134169, 5157892]",0.0,,0.0,False
panda,trac_ik_5ms,c18d957102f1ce9fb505b1ac693b5a87621456688755fa8c73eb5b5834c9bfd7,near_limit,315665.3333333333,"[354100, 349295, 243601]",1.0,,1.0,True
panda,trac_ik_5ms,c1980e31fea8cfac8d45895990cb2fd3c69f49c62e89ed79900af844b87a20b2,constructed_inexecutable,5124548.333333333,"[5117677, 5184103, 5071865]",0.0,,0.0,False
panda,trac_ik_5ms,c1b007f6231f838c6ec52b97fd4b526b053ee63ecf1b9feb49011fa9dd064130,hard_feasible,471586.3333333333,"[499150, 455451, 460158]",1.0,,1.0,True
panda,trac_ik_5ms,c1c21661980c8f86bc0c17e71201e1e985e6b7441ebfebc3b453187e9bae1f27,constructed_inexecutable,5136991.333333333,"[5109721, 5171852, 5129401]",0.0,,0.0,False
panda,trac_ik_5ms,c1f59bc215bf892bf7e49a427e5c250ed6524c96746278ee343f9e6cb409c3a5,local,224679.0,"[238134, 214653, 221250]",1.0,,1.0,True
panda,trac_ik_5ms,c1f8d37f66118e24db8f899b3a855efe3a0af73cca84a0fbd5e23d7e9bb03d02,constructed_inexecutable,5181778.666666667,"[5128189, 5202102, 5215045]",0.0,,0.0,False
panda,trac_ik_5ms,c23a551525f037b532ac6314ee19b90b874a65257a8ad5c7c04b717fffaf8818,local,187007.66666666666,"[187023, 184436, 189564]",1.0,,1.0,True
panda,trac_ik_5ms,c23dbbb883e23da925d7e06aadc40bbfe11ded831d3a0b6ffc68811978e3ad2f,near_limit,213687.33333333334,"[207369, 233558, 200135]",1.0,,1.0,True
panda,trac_ik_5ms,c240af78a2f1471c4067bcd1343e215d03a0167b5ae96e6208a2f66e24e7271f,local,220569.66666666666,"[241165, 211355, 209189]",1.0,,1.0,True
panda,trac_ik_5ms,c25a59df722d6274cbde096e33e6556c49a2e31092b27cfabf2373c1c195a1bb,local,184974.66666666666,"[184624, 179759, 190541]",1.0,,1.0,True
panda,trac_ik_5ms,c262640cc4c2d8cee843c91bcbad25d0d94904dda232879374b6dfaf97cfbd95,constructed_inexecutable,5191006.0,"[5226531, 5217562, 5128925]",0.0,,0.0,False
panda,trac_ik_5ms,c296789c63f151696c44da7882d1667a2349e9013b6328617c6eb5049c5481b0,hard_feasible,503564.0,"[421440, 553144, 536108]",0.0,,0.0,False
panda,trac_ik_5ms,c29aa165d35837491f991f39833a44f2a778cd5b357cac09824ddef9af479dcf,hard_feasible,602500.0,"[659084, 565823, 582593]",1.0,,1.0,True
panda,trac_ik_5ms,c2acc6971779e9fe6c6d2641c85dd36593e874804afd8ebc13466f12c3f77a89,local,218890.66666666666,"[214676, 202488, 239508]",1.0,,1.0,True
panda,trac_ik_5ms,c2c2b8abe41f3654efbb87658cd404cd0790d8adb2a7bc45b1c593dad034bfec,local,243048.66666666666,"[237120, 229267, 262759]",1.0,,1.0,True
panda,trac_ik_5ms,c2cfba33adbb2d4b122974f93ca2e7ff6282546977bd3d8497e4ec151ecc405f,local,207705.33333333334,"[189004, 214142, 219970]",1.0,,1.0,True
panda,trac_ik_5ms,c2e2a60bfec7c1d14085f8c9730fcdac4216c4b78d98794023ddac3f92fe834d,local,225416.0,"[175129, 244725, 256394]",1.0,,1.0,True
panda,trac_ik_5ms,c2eaffd3b7fefb1557d42753274648b7b2edc85ab57215341a20d8aca0e7c3c4,near_limit,237767.33333333334,"[238378, 266441, 208483]",1.0,,1.0,True
