robot,method,uid,family,complete,deadline_complete,first_failure_frame,first_failure_reason,total_fev,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max
panda,routing_only,2b4005a003f984e31a88a51f38e3182f7cc5ad0c0c12ae73238b7987db34f02a,high_curvature,True,True,,,448,150,1.0,1.0,0,286231033,1.8699970000000001,2.088591899999999,2.7038604799999986,2.986666666666667,0,0,0,0.0,"{""hard"": 118, ""easy"": 14, ""medium"": 18}",6.427392443435376e-05,0.0005042448457048944,4.4774613360618984e-05,0.005929044176568723,0.013366204647495938,0.035191199739462276,0.30726907235622847,0.8089930974589029
panda,routing_only,33af396c797e0f73ded6c7a1d8836ecc02fe9c03d9ebbc521b27e893dff23586,high_curvature,True,True,,,446,150,1.0,1.0,0,283001824,1.869198,2.0209087,2.2704885199999976,2.973333333333333,0,0,0,0.0,"{""hard"": 150}",6.836413797115204e-05,0.0008682065399602925,9.573974903126232e-05,0.006437613588508714,0.011731360168040245,0.021733860812443773,0.2615893019511813,0.4957917882722491
panda,routing_only,33fe895dca1ff18c28fe3903c5949649e04329bda2d1ccf9fbdb01f725439e6f,joint_limit_return,True,True,,,450,150,1.0,1.0,0,286696160,1.8824420000000002,2.05429475,2.278978509999999,3.0,0,0,0,0.0,"{""easy"": 150}",2.2575407322637082e-05,2.915396953046525e-05,4.046020000692664e-05,6.981285036401968e-05,0.011663035967245772,0.013949565443958756,0.24623040530034046,0.2936921183078271
panda,routing_only,34d461249b6c84388a8a925d2ced5254dc7a9ea2526b13b9a7a34604308cc719,smooth,True,True,,,450,150,1.0,1.0,0,287347811,1.8700875,2.069082549999999,2.563535699999999,3.0,0,0,0,0.0,"{""hard"": 50, ""medium"": 5, ""easy"": 95}",2.8287778846549105e-05,4.3290434157509606e-05,6.698002198543882e-05,0.00011584817949819183,0.01027955020989424,0.012027359256949643,0.22921847626334207,0.27649101740114124
panda,routing_only,34dceb225dc425cd8437298db9402b61ecfee4a64b4d95c8abe2cd9f03549567,joint_limit_return,True,True,,,450,150,1.0,1.0,0,287604410,1.8799115,2.05494565,2.71359256,3.0,0,0,0,0.0,"{""easy"": 150}",5.648308836941697e-05,0.00011481388641486872,4.169793947013364e-05,8.505506227636786e-05,0.008341608380446397,0.011863550058790029,0.19176111219417005,0.27272528870781676
panda,routing_only,4574c066e06c0edcd0ced47d2c72f11652bc38487f435c7844644de20af5357a,high_curvature,True,True,,,450,150,1.0,1.0,0,286563226,1.8685185,2.1060008,2.43569115,3.0,0,0,0,0.0,"{""easy"": 150}",0.0001282162974327175,0.0003362912784584911,0.00015610656862147216,0.00036808807618494234,0.020207744852263093,0.03293001349302505,0.39560850147811877,0.6308431703644647
panda,routing_only,490609e08d34ab896f75bad178df12cb0838272a895847d67a6578c1d1ca0a97,smooth,True,True,,,450,150,1.0,1.0,0,291752749,1.885182,2.25588535,2.6756437199999983,3.0,0,0,0,0.0,"{""easy"": 136, ""hard"": 14}",5.307279607916593e-05,9.967284984093869e-05,5.438796202701728e-05,7.452965223754562e-05,0.008872922011482653,0.012308554726100263,0.1868108967364282,0.25802207666718363
panda,routing_only,4cc5ef5c4c9aa6bf49a51ea1b0c183d22a3ad3076219f3fdaaa33a4c97b7085d,near_singular,True,True,,,430,150,1.0,1.0,0,278853160,1.8666260000000001,1.9983349499999996,2.15081133,2.8666666666666667,0,0,0,0.0,"{""easy"": 150}",2.2790615606778096e-05,0.000978581559035384,1.4237289510937572e-05,0.0012926907165161643,0.006143083074107325,0.012621060225615599,0.13825658932403667,0.2901393155313931
panda,routing_only,4de9c1b60ea7786ec5c9f2cd585bc318cc916fca235633471174ff7402518a14,smooth,True,True,,,450,150,1.0,1.0,0,290907658,1.8874624999999998,2.14080565,2.2638363,3.0,0,0,0,0.0,"{""easy"": 96, ""hard"": 54}",8.950325804424996e-05,0.00018495485179967878,8.821826036163719e-05,0.00017807919699389086,0.011682285822171568,0.013566831510320787,0.26855829476256476,0.31188118414530547
panda,routing_only,514dce4d6858ec3460d0adabe07c14a84559f25c0de5bf6fbbfd94e7838f8255,joint_limit_return,True,True,,,450,150,1.0,1.0,0,282651280,1.86748,2.02904455,2.217960259999999,3.0,0,0,0,0.0,"{""easy"": 150}",3.876257447375756e-05,6.574771994910662e-05,6.138188498767463e-05,8.921901659967438e-05,0.009492041399608908,0.013713175577637404,0.1964355332091613,0.2627045129815595
panda,routing_only,56b49ec9a094550fea046a9379e8714df458c147018de0b02dbbedf7a2a15417,smooth,True,True,,,450,150,1.0,1.0,0,291382836,1.8841195000000002,2.3100210499999987,2.53869663,3.0,0,0,0,0.0,"{""easy"": 118, ""hard"": 32}",0.00011147417368633731,0.00020505189001296948,0.00011544037119168299,0.0003010715348508811,0.012091605923164328,0.013448442578618658,0.27421059341415965,0.30915959950847494
panda,routing_only,5ab75c01e8edca50f485b25d6fa459e537ef25723ff4a262fea0d7c4a9aefd6b,smooth,True,True,,,450,150,1.0,1.0,0,292808319,1.8822245,2.372166649999998,2.57166697,3.0,0,0,0,0.0,"{""hard"": 126, ""medium"": 3, ""easy"": 21}",7.787851865713193e-05,0.0001145329484976712,0.00010119014628037987,0.00020663922407097412,0.011925295903741695,0.014725297595241882,0.2533306952738582,0.3385125883963651
panda,routing_only,5f5ae7c5470ed9544d3dc186ec24aa84f42c39a9830f65aba1e0391747cac121,high_curvature,True,True,,,450,150,1.0,1.0,0,285802736,1.883118,2.0314815499999996,2.3492638499999976,3.0,0,0,0,0.0,"{""hard"": 135, ""easy"": 13, ""medium"": 2}",0.00010207687852844439,0.00046341970314087296,0.0001734884690851401,0.000462728259346058,0.01895803427272663,0.03334981958766681,0.39297592322380936,0.6388854327139235
panda,routing_only,6022bca06e4788aea6d009d55187a72a09f6936022859d0bda40fe33a8afb09e,smooth,True,True,,,450,150,1.0,1.0,0,291760553,1.8842135,2.2320397999999995,2.6479001499999986,3.0,0,0,0,0.0,"{""easy"": 150}",9.194668889206091e-05,0.00014483211222116006,9.596412190848255e-05,0.00021705199070280506,0.010608173296032808,0.013325539439634104,0.2438660527823634,0.3063342399915886
panda,routing_only,69d9b47f6ae99215e87ead9845fe384e3178b92272c8c1037dade1d22ea68de4,joint_limit_return,True,True,,,450,150,1.0,1.0,0,284424667,1.8690925,2.036427,2.32746055,3.0,0,0,0,0.0,"{""easy"": 150}",4.925920911069371e-05,7.349049775366113e-05,6.331607960577473e-05,9.299919881971115e-05,0.009938987144669065,0.012967246597511917,0.22848246309584058,0.2980976229313084
panda,routing_only,6cdfe650762b413f2b081dd90fc72e47f0bd3a139d1bd7b7ed85d9380bc7c13d,smooth,True,True,,,450,150,1.0,1.0,0,283725251,1.8677525,2.0397416499999994,2.370486559999999,3.0,0,0,0,0.0,"{""easy"": 115, ""hard"": 35}",1.6437180623974475e-05,4.7034747684447854e-05,6.56964256075839e-05,0.0001133739744508681,0.010554041946164161,0.013230392321535112,0.2173921277415391,0.2534557916002895
panda,routing_only,707e67723856c45e39ac74273e9c04ccc7ba5f4fe572603e960462328fa2f05b,joint_limit_return,True,True,,,450,150,1.0,1.0,0,283206751,1.8729255,2.0251196,2.112023109999999,3.0,0,0,0,0.0,"{""easy"": 150}",2.7792213612072374e-05,4.872176522262193e-05,1.739218888317064e-05,3.1454429770722605e-05,0.009031362389408604,0.012511779064542483,0.20761752619330126,0.2876271049320111
panda,routing_only,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,smooth,False,False,36,all_cascade_stages_failed;,42628,150,0.24,0.24,0,29475022848,231.880294,351.4567196,358.24816648999996,284.18666666666667,0,4,114,0.76,"{""easy"": 9, ""hard"": 137, ""defer"": 4}",4.928285223232301e-05,0.000993831589337761,9.310772422189319e-05,0.000992215728082472,0.01316412285384927,0.04092996825061679,0.2553239377197596,0.9409188103590067
panda,routing_only,80e7aa2ca2a47e31ad934f80a765edcd871fde93a2b572ab28157278652bb2f6,near_singular,True,True,,,452,150,1.0,1.0,0,286248737,1.877412,2.1924373999999998,3.565647259999997,3.013333333333333,0,0,0,0.0,"{""easy"": 150}",0.0003949217750749774,0.0009994357910672808,0.00040753414474871245,0.0018698863932034796,0.00358182870462323,0.03615433962047687,0.08234088976145357,0.8311342441488937
panda,routing_only,847e0a931fea7c921a5cb15fa9fde0181357a567fd5718f74d1142e64e727293,joint_limit_return,True,True,,,450,150,1.0,1.0,0,291343333,1.8857475,2.1437152999999993,2.747535179999999,3.0,0,0,0,0.0,"{""easy"": 150}",2.5218687357655526e-05,3.88835329952782e-05,0.00010057517684663046,0.0001711419879877909,0.011683459583740008,0.01588393695512244,0.24931437306651336,0.3042899799831885
panda,routing_only,96ead6e14eb36d6086223509347fdca58c3b3b34586f803f5fee8e38cafcbb30,high_curvature,True,True,,,450,150,1.0,1.0,0,283040831,1.8749345000000002,2.0127694999999997,2.1366787499999984,3.0,0,0,0,0.0,"{""hard"": 95, ""medium"": 9, ""easy"": 46}",6.925845201303394e-05,0.000701021495768398,0.00012225070656860207,0.000558493268464455,0.013603213098154314,0.027234185650596876,0.28159791430779846,0.5284272997864822
panda,routing_only,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,near_singular,True,True,,,426,150,1.0,1.0,0,283453496,1.8818525,2.0808107,2.1299923399999994,2.84,0,0,0,0.0,"{""easy"": 150}",0.00016928369170898355,0.0009643999941449668,0.000253660063313839,0.0031189480284220775,0.004379683735140749,0.005940594957597356,0.09940817241821578,0.13656540132407716
panda,routing_only,a651a7d643e9e9b0489558ec691eea5a5402582e788f00527986770b7f00961a,near_singular,False,False,95,all_cascade_stages_failed;,11606,150,0.6333333333333333,0.6333333333333333,0,4205442919,1.894612,80.7838278,86.02906446999998,77.37333333333333,0,41,55,0.36666666666666664,"{""easy"": 96, ""hard"": 13, ""defer"": 41}",1.722431364911378e-05,0.0009862904118600184,4.775552303648437e-05,0.0022032789922225137,0.006292202481924636,0.008948657195706478,0.14464833291780774,0.20571625737256272
panda,routing_only,b4b5e43a9af4b0c4c739f8bf5adcc311880c6c658e97516ab2146ee24f3616c0,smooth,True,True,,,450,150,1.0,1.0,0,283205196,1.866745,2.0191649999999997,2.14373921,3.0,0,0,0,0.0,"{""easy"": 117, ""hard"": 33}",6.330759509839059e-05,0.00012850431389658173,0.0001075032013453441,0.00022607956193888221,0.012393281937995104,0.016614039541110515,0.2629500560893062,0.3338102126738187
panda,routing_only,b771b273c4b23a3811efc586c0958fb8fd60b35a6db9c65a9d075fefd7851bbc,joint_limit_return,True,True,,,526,150,1.0,1.0,0,300838206,1.8900190000000001,2.2603601499999995,5.078766009999983,3.506666666666667,0,0,0,0.0,"{""easy"": 150}",0.00014645159913531446,0.0009992636486707523,0.00011690587380959916,0.007230388379686601,0.009441909134219717,0.013521749858495191,0.2170553823958556,0.3108448243332228
panda,routing_only,b82acfb0f8aeca32d455788ace0eae3c1ac31cfac5269c5a38c8b080b1192218,near_singular,True,True,,,366,150,1.0,1.0,0,277715986,1.8724750000000001,2.2634151499999997,3.0381176099999943,2.44,0,0,0,0.0,"{""easy"": 150}",0.00020400666515451058,0.0009847479822763132,0.0003619894730178326,0.008443899950658303,0.004198704372342765,0.006623853005307656,0.09243401051701045,0.15227248288063577
panda,routing_only,c27ce734147fac572ca1ddd088565aeb5f022220251ef6f10a5d3db6670559b0,near_singular,False,False,125,all_cascade_stages_failed;,7109,150,0.8333333333333334,0.8333333333333334,0,2972596772,1.891301,111.22179344999999,120.08940578999996,47.39333333333333,0,0,25,0.16666666666666666,"{""easy"": 133, ""hard"": 17}",0.0002208914406556647,0.0009890055494388382,0.0002473673019542277,0.0036204464522575637,0.003970262000891012,0.005122759506535957,0.07605865902090062,0.0981371552976237
