robot,uid,family,selection_fold,preferred_entry,preference_stable,heldout_selected_mean_ms,heldout_selected_p95_ms,heldout_selected_success,heldout_hard_mean_ms,heldout_hard_p95_ms,heldout_hard_success,full_measurement_entry_p95_range_ms,full_measurement_entry_mean_range_ms,within_entry_median_absolute_deviation_ms
panda,09269c53803294b626ac80c754ff696afaa28f9236ce8541170eb9a78f646e46,local,1,forced_medium,False,1.5217396,1.9141119999999998,1.0,1.5150971999999998,1.8142222,1.0,0.23590350000000027,0.11571649999999978,0.06826549999999998
panda,0a05075ba7132ab16f50d3050da4527e2e3516c03a5bc8d3809c6a8ba3d9fd9e,hard_feasible,0,forced_hard,True,1.8577312,2.0315844,1.0,1.8577312,2.0315844,1.0,1.1897270000000004,1.1900354,0.1302287499999999
panda,0a05075ba7132ab16f50d3050da4527e2e3516c03a5bc8d3809c6a8ba3d9fd9e,hard_feasible,1,forced_hard,True,1.9714977999999999,2.3098324,1.0,1.9714977999999999,2.3098324,1.0,1.1897270000000004,1.1900354,0.1302287499999999
panda,0ad7412f244c203da513c2a8d77b871358c7074fc3c57a884b8cb44ae5aba95c,local,0,forced_hard,True,1.4045124,1.4747788,1.0,1.4045124,1.4747788,1.0,0.3778952499999997,0.2745561000000003,0.15542299999999998
panda,0ad7412f244c203da513c2a8d77b871358c7074fc3c57a884b8cb44ae5aba95c,local,1,forced_hard,True,1.5301415999999999,1.8047336,1.0,1.5301415999999999,1.8047336,1.0,0.3778952499999997,0.2745561000000003,0.15542299999999998
panda,0b0ffa98b290834e140cb1d61d94c72b142512529bdc2b34fd1c338dec20e4e2,near_limit,0,forced_easy,False,1.497366,1.7117984,1.0,1.6902168,2.4709627999999997,1.0,1.1733407999999999,0.2958896000000004,0.07227950000000005
panda,0b0ffa98b290834e140cb1d61d94c72b142512529bdc2b34fd1c338dec20e4e2,near_limit,1,forced_medium,False,1.5156139999999998,1.6821696,1.0,1.8396207999999998,2.6996352,1.0,1.1733407999999999,0.2958896000000004,0.07227950000000005
panda,0b25a5ec5415c72a9d6d86f2c66c21f295bff1671a4cbc91245d7b312e5f8e00,local,0,forced_hard,False,1.5529300000000001,2.0472574,1.0,1.5529300000000001,2.0472574,1.0,0.40176915000000024,0.21661209999999986,0.03696024999999992
panda,0b25a5ec5415c72a9d6d86f2c66c21f295bff1671a4cbc91245d7b312e5f8e00,local,1,forced_easy,False,1.4650906,1.6569272,1.0,1.3941896,1.4182144,1.0,0.40176915000000024,0.21661209999999986,0.03696024999999992
panda,0b6a66958761241dd60f04ab8c48193a479291345e4a708ba938e488763b0522,hard_feasible,0,forced_hard,True,1.7552064,1.7761676,1.0,1.7552064,1.7761676,1.0,1.5999205500000002,1.2440371000000003,0.0542895000000001
panda,0b6a66958761241dd60f04ab8c48193a479291345e4a708ba938e488763b0522,hard_feasible,1,forced_hard,True,2.0064646,2.3659893999999997,1.0,2.0064646,2.3659893999999997,1.0,1.5999205500000002,1.2440371000000003,0.0542895000000001
panda,0bf99059b420c7329024a7c7a8234bb1b284c94a89c16fdee45c89f08d05575d,near_limit,0,forced_hard,True,1.41942,1.4830764,1.0,1.41942,1.4830764,1.0,0.29038019999999953,0.12029989999999957,0.08331
panda,0bf99059b420c7329024a7c7a8234bb1b284c94a89c16fdee45c89f08d05575d,near_limit,1,forced_hard,True,1.4376579999999999,1.5324832,1.0,1.4376579999999999,1.5324832,1.0,0.29038019999999953,0.12029989999999957,0.08331
panda,0cc19ae1ca0a781775a64b7941cca887e817db19a6ea66a261f7366a5d598c59,near_singular,0,forced_easy,True,1.4346144,1.5727842,1.0,1.7287760000000003,2.641996,1.0,1.0321018499999994,0.24109840000000005,0.06481424999999996
panda,0cc19ae1ca0a781775a64b7941cca887e817db19a6ea66a261f7366a5d598c59,near_singular,1,forced_easy,True,1.3955816,1.4088506,1.0,1.5836168000000002,1.9965145999999998,1.0,1.0321018499999994,0.24109840000000005,0.06481424999999996
panda,0cf2f193f393560b547abdd92c36d6ef32056fa6c1594e1ab4b0d67a288289a0,near_singular,0,forced_medium,True,1.4058351999999998,1.4543818,1.0,1.6104461999999997,1.9270551999999999,1.0,0.47512589999999966,0.17920889999999967,0.06871025000000008
panda,0cf2f193f393560b547abdd92c36d6ef32056fa6c1594e1ab4b0d67a288289a0,near_singular,1,forced_medium,True,1.5195007999999999,1.7284266,1.0,1.6733076,2.066216,1.0,0.47512589999999966,0.17920889999999967,0.06871025000000008
panda,0d4274d37293fccb78db68b0feb9652c9e99b88fdece3975b6a9be2884397927,local,0,forced_hard,False,1.4607747999999998,1.5721792,1.0,1.4607747999999998,1.5721792,1.0,0.25985415,0.09999709999999995,0.027461500000000028
panda,0d4274d37293fccb78db68b0feb9652c9e99b88fdece3975b6a9be2884397927,local,1,forced_medium,False,1.4465949999999999,1.6366004,1.0,1.441413,1.5217986,1.0,0.25985415,0.09999709999999995,0.027461500000000028
panda,0d458c80c3f7366cb1e8964111222cef5d34bd9a363b6f9ec71f551fb3e43a88,hard_feasible,0,forced_hard,False,2.1657900000000003,2.5903274,1.0,2.1657900000000003,2.5903274,1.0,0.5490890500000001,0.879073599999999,0.0457869999999998
panda,0d458c80c3f7366cb1e8964111222cef5d34bd9a363b6f9ec71f551fb3e43a88,hard_feasible,1,forced_medium,False,2.5065098,2.7650411999999998,1.0,2.0319681999999997,2.3875318,1.0,0.5490890500000001,0.879073599999999,0.0457869999999998
panda,0d6ba00d205d653e74db3fc325824843ad2c11048ea9d9d2a410e4e4e3fb6fa4,local,0,forced_medium,False,1.5715204,1.8778054,1.0,1.4525946,1.5740942,1.0,0.09211285000000013,0.06776069999999978,0.07419775000000006
panda,0d6ba00d205d653e74db3fc325824843ad2c11048ea9d9d2a410e4e4e3fb6fa4,local,1,forced_hard,False,1.5599382,1.8494868,1.0,1.5599382,1.8494868,1.0,0.09211285000000013,0.06776069999999978,0.07419775000000006
panda,0da74d4f957b5801d33d57e8c96a3acf2131437209576a499b1c959577b5e2db,near_limit,0,forced_medium,False,1.4788476,1.6426189999999998,1.0,1.4438114,1.5414944,1.0,0.23237779999999963,0.040706300000000084,0.022338249999999893
panda,0da74d4f957b5801d33d57e8c96a3acf2131437209576a499b1c959577b5e2db,near_limit,1,forced_easy,False,1.5197132,1.8209613999999998,1.0,1.5646756,1.979095,1.0,0.23237779999999963,0.040706300000000084,0.022338249999999893
panda,0e64bc3197e2967b3a0bf5cdab431b2c0f92f49e4469a171cb3ee6e352d60f2a,local,0,forced_hard,False,1.5067322,1.721677,1.0,1.5067322,1.721677,1.0,0.3759944500000001,0.0702383000000002,0.04517150000000003
panda,0e64bc3197e2967b3a0bf5cdab431b2c0f92f49e4469a171cb3ee6e352d60f2a,local,1,forced_medium,False,1.5818286,2.1087738,1.0,1.5000516000000002,1.6652384,1.0,0.3759944500000001,0.0702383000000002,0.04517150000000003
panda,0e7628310e48c6c81e9fc1c19b7ea63c1292e27415ae52d2e0122d0a7b45382f,local,0,forced_easy,False,1.4968603999999999,1.7121776,1.0,1.6472696,1.9841514,1.0,0.3908794499999999,0.19585680000000028,0.05643100000000001
panda,0e7628310e48c6c81e9fc1c19b7ea63c1292e27415ae52d2e0122d0a7b45382f,local,1,forced_medium,False,1.5887622000000001,1.9593626,1.0,1.6803377999999998,2.0661448,1.0,0.3908794499999999,0.19585680000000028,0.05643100000000001
panda,10c466a092a412365013d9d512752633945ece5a4a04816d780b45d4c6e90519,hard_feasible,0,no_successful_entry,True,,,,279.3117838,280.5369592,0.0,2.114701000000025,0.44839939999997114,0.5509719999999447
panda,10c466a092a412365013d9d512752633945ece5a4a04816d780b45d4c6e90519,hard_feasible,1,no_successful_entry,True,,,,279.0740842,280.07950259999996,0.0,2.114701000000025,0.44839939999997114,0.5509719999999447
panda,1189b66e9940cbee132656e33a60d73bf459fe76b41c75e98b91014b42ed04e1,local,0,forced_medium,True,1.446571,1.6029512,1.0,1.5184317999999999,1.7214896,1.0,0.3338064999999999,0.15779790000000005,0.04358649999999997
panda,1189b66e9940cbee132656e33a60d73bf459fe76b41c75e98b91014b42ed04e1,local,1,forced_medium,True,1.4118724,1.508182,1.0,1.5070143999999999,1.7462182,1.0,0.3338064999999999,0.15779790000000005,0.04358649999999997
panda,129eb88e5757451a9605950992a401a9cdf2b557e7cff73148309aaf6fd4d5e5,hard_feasible,0,forced_hard,True,1.786626,1.953384,1.0,1.786626,1.953384,1.0,0.9902318000000006,1.0803270999999999,0.08904200000000029
panda,129eb88e5757451a9605950992a401a9cdf2b557e7cff73148309aaf6fd4d5e5,hard_feasible,1,forced_hard,True,2.0383428,2.2156816,1.0,2.0383428,2.2156816,1.0,0.9902318000000006,1.0803270999999999,0.08904200000000029
