robot,subset,method,query_count,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max,witness_false_reject_rate,all_repeats_success_query_count
ur5e,local,reject_only_hard,1000,3000,1.0,1.0,0,5582747521,1.772799,2.2881947,3.1275176899999924,3.002,0,0,0,0.0,"{""hard"": 3000}",8.192204584385031e-05,0.000990114675701358,0.00014064067906447382,0.008316761679999956,0.0181606826569502,0.05863964251341347,0.28903624147768797,0.9332788967151406,0.0,1000
ur5e,local,routing_only,1000,3000,1.0,1.0,0,5602090193,1.7787045,2.3131223999999997,3.062128109999999,3.008,0,0,0,0.0,"{""hard"": 1674, ""easy"": 1323, ""medium"": 3}",8.415109784201897e-05,0.000990114675701358,0.00014182975563138223,0.008316761679999956,0.018159985078552765,0.05863964251341347,0.28902513917267336,0.9332788967151406,0.0,1000
ur5e,local,trac_ik_100ms,1000,3000,1.0,1.0,0,671804161,0.20795950000000002,0.33587749999999983,0.4016584799999995,,0,0,0,0.0,"{""trac_ik_speed"": 3000}",3.754850333652826e-08,1.4065823340832071e-05,2.700796667028796e-08,1.1787042242416217e-05,0.0182052818717946,0.048613677572192336,0.2897460600277383,0.7737107087490019,0.0,1000
ur5e,local,trac_ik_20ms,1000,3000,1.0,1.0,0,671240101,0.2080775,0.3314329999999998,0.39547714999999994,,0,0,0,0.0,"{""trac_ik_speed"": 3000}",3.754850333652826e-08,1.4065823340832071e-05,2.6855310437956348e-08,1.1787042242416217e-05,0.018307147126291334,0.048613677572192336,0.2913672959059852,0.7737107087490019,0.0,1000
ur5e,local,trac_ik_400ms,1000,3000,1.0,1.0,0,671921791,0.2076925,0.34001964999999995,0.40821939,,0,0,0,0.0,"{""trac_ik_speed"": 3000}",3.765050151245285e-08,1.4065823340832071e-05,2.6855310437956348e-08,1.1787042242416217e-05,0.0182052818717946,0.048613677572192336,0.2897460600277383,0.7737107087490019,0.0,1000
ur5e,local,trac_ik_5ms,1000,3000,1.0,1.0,0,667971647,0.206203,0.33404575,0.40422181999999973,,0,0,0,0.0,"{""trac_ik_speed"": 3000}",3.765050151245285e-08,1.4065823340832071e-05,2.6855310437956348e-08,1.1787042242416217e-05,0.0182052818717946,0.048613677572192336,0.2897460600277383,0.7737107087490019,0.0,1000
ur5e,near_limit,always_hard,500,1500,1.0,1.0,0,2134984344,1.3329654999999998,1.8144028499999996,2.76627263,3.04,0,0,0,0.0,"{""hard"": 1500}",0.00010563437222614778,0.0009702788050351906,0.00018138447796302401,0.008346914046530346,0.018309475518738294,0.05267368439914222,0.2914043534227244,0.8383277242985935,0.0,500
ur5e,near_limit,full_cghik,500,1500,1.0,1.0,0,2813824525,1.780234,2.31999085,3.19692171,3.036,0,0,0,0.0,"{""hard"": 1143, ""easy"": 357}",0.00010870275638890563,0.0009702788050351906,0.00018138447796302401,0.008346914046530346,0.01831629240019894,0.05267368439914222,0.29151284746081774,0.8383277242985935,0.0,500
ur5e,near_limit,geometry_threshold,500,1500,1.0,1.0,0,2791060124,1.7732565,2.29939975,3.02879176,3.032,0,0,0,0.0,"{""easy"": 342, ""hard"": 1158}",0.00010821184666950803,0.0009702788050351906,0.00018138447796302401,0.008420170187542639,0.01828181706696741,0.05267368439914222,0.2909641554909639,0.8383277242985935,0.0,500
ur5e,near_limit,p50_selection,500,1500,1.0,1.0,0,2811635401,1.778012,2.37770005,3.21191281,3.096,0,0,0,0.0,"{""easy"": 1284, ""hard"": 216}",0.00011447460560025454,0.0009702788050351906,0.00018138191615818603,0.008420170187542639,0.018268004971802476,0.05267368439914222,0.2907443291689684,0.8383277242985935,0.0,500
