robot,workload,uid,family,frame,repeat,same_complete_query,routing_only_accepted,same_query_verified_rescue,original_point_witness,full_latency_ns,routing_only_latency_ns
panda,points,42fdcd7a6feb1d734a42be76173f92f3fec3f087c4890efee394c5b7fed025f3,constructed_inexecutable,0,2,True,False,False,False,1582397,307774571
panda,points,31bf307e6923d60cdd12c37cae66b7a777544e03c31ff271701261dc769b780d,constructed_inexecutable,0,0,True,False,False,False,1580716,282219395
panda,points,31bf307e6923d60cdd12c37cae66b7a777544e03c31ff271701261dc769b780d,constructed_inexecutable,0,1,True,False,False,False,1557640,282184042
panda,points,31bf307e6923d60cdd12c37cae66b7a777544e03c31ff271701261dc769b780d,constructed_inexecutable,0,2,True,False,False,False,1419090,285109260
panda,points,72f266e340ef56ecab9353f1d4519cc277211b27716a78dc1c9ac5ecc2e8227b,constructed_inexecutable,0,0,True,False,False,False,1451163,268924231
panda,points,72f266e340ef56ecab9353f1d4519cc277211b27716a78dc1c9ac5ecc2e8227b,constructed_inexecutable,0,1,True,False,False,False,1386438,271331689
panda,points,72f266e340ef56ecab9353f1d4519cc277211b27716a78dc1c9ac5ecc2e8227b,constructed_inexecutable,0,2,True,False,False,False,1643651,271581666
panda,points,1ccd7bb4cf372110302c418a034748fabcd48ef217dd9aaf68046af500990096,constructed_inexecutable,0,0,True,False,False,False,1483155,268799685
panda,points,1ccd7bb4cf372110302c418a034748fabcd48ef217dd9aaf68046af500990096,constructed_inexecutable,0,1,True,False,False,False,1564905,272512886
panda,points,1ccd7bb4cf372110302c418a034748fabcd48ef217dd9aaf68046af500990096,constructed_inexecutable,0,2,True,False,False,False,1723161,271574574
panda,points,dfb162be75d4dccd6d3cb5101e1162f860627c1700ebab852f9463fb5419ea3b,constructed_inexecutable,0,0,True,False,False,False,1976202,298597943
panda,points,dfb162be75d4dccd6d3cb5101e1162f860627c1700ebab852f9463fb5419ea3b,constructed_inexecutable,0,1,True,False,False,False,1886249,299177759
panda,points,dfb162be75d4dccd6d3cb5101e1162f860627c1700ebab852f9463fb5419ea3b,constructed_inexecutable,0,2,True,False,False,False,2048540,300613736
panda,points,05e64ee1eb9bdbe41cba8b98b588c15eea5128f472a9a29c4aa892597cd91f7e,constructed_inexecutable,0,0,True,False,False,False,2353543,274997531
panda,points,05e64ee1eb9bdbe41cba8b98b588c15eea5128f472a9a29c4aa892597cd91f7e,constructed_inexecutable,0,1,True,False,False,False,1725167,272556545
panda,points,05e64ee1eb9bdbe41cba8b98b588c15eea5128f472a9a29c4aa892597cd91f7e,constructed_inexecutable,0,2,True,False,False,False,2693624,274503258
panda,points,cb241e8a40ced334ec96d8737de8c339d803913f20658c785adae0ddc6997a77,constructed_inexecutable,0,0,True,False,False,False,1841959,304286588
panda,points,cb241e8a40ced334ec96d8737de8c339d803913f20658c785adae0ddc6997a77,constructed_inexecutable,0,1,True,False,False,False,1938478,303230452
panda,points,cb241e8a40ced334ec96d8737de8c339d803913f20658c785adae0ddc6997a77,constructed_inexecutable,0,2,True,False,False,False,1960080,304359623
panda,points,08781981f98af4eb822c6e1bda97e959d4d4d9ad03aeaeaaab5befde75a3aa00,constructed_inexecutable,0,0,True,False,False,False,2351449,274301296
panda,points,08781981f98af4eb822c6e1bda97e959d4d4d9ad03aeaeaaab5befde75a3aa00,constructed_inexecutable,0,1,True,False,False,False,1583406,276903318
panda,points,08781981f98af4eb822c6e1bda97e959d4d4d9ad03aeaeaaab5befde75a3aa00,constructed_inexecutable,0,2,True,False,False,False,1309205,273342313
panda,points,db531ee8ba810b52b07747573aca3ffc3df76775823b4c40f8bbcbe2f0cedcef,constructed_inexecutable,0,0,True,False,False,False,1532747,247238753
panda,points,db531ee8ba810b52b07747573aca3ffc3df76775823b4c40f8bbcbe2f0cedcef,constructed_inexecutable,0,1,True,False,False,False,1470953,248674654
panda,points,db531ee8ba810b52b07747573aca3ffc3df76775823b4c40f8bbcbe2f0cedcef,constructed_inexecutable,0,2,True,False,False,False,1989143,251306522
panda,points,3a72124ba4d4d0f92d0ffa7538ef414624bc8f01f5205b42760c0e88b0e07d98,constructed_inexecutable,0,0,True,False,False,False,2025169,301566235
panda,points,3a72124ba4d4d0f92d0ffa7538ef414624bc8f01f5205b42760c0e88b0e07d98,constructed_inexecutable,0,1,True,False,False,False,2633845,299270972
