robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,tar_free,tar_nominal,completion,-0.04166666666666667,"[-0.1,0.008333333333333331]",0.9545454545454545,"[0.8962120590648073,1.009259259259259]"
panda,tar_free,tar_nominal,deadline_completion,-0.058333333333333334,"[-0.125,0.008333333333333328]",0.9351851851851851,"[0.8623853211009175,1.0089285714285714]"
panda,tar_free,tar_nominal,total_latency_ns,384407511.28333336,"[365134912.08979166,403349244.77166665]",2.3607631271938447,"[2.2146795530447387,2.502509858613334]"
panda,tar_free,tar_nominal,frame_success,-0.01588888888888889,"[-0.03594583333333335,0.0021111111111111027]",0.983675799086758,"[0.9632607684219946,1.0021548775993432]"
panda,tar_free,tar_nominal,acceleration_rms,0.840602008200553,"[0.2212361356418083,1.5187679793943298]",1.1796046975188375,"[1.0434675216509737,1.3510473031968155]"
panda,tar_free,tar_fixed,completion,-0.04166666666666667,"[-0.09166666666666667,0.0]",0.9545454545454545,"[0.8990825688073393,1.0]"
panda,tar_free,tar_fixed,deadline_completion,-0.04166666666666667,"[-0.10833333333333335,0.025]",0.9528301886792453,"[0.8785046728971961,1.0285714285714285]"
panda,tar_free,tar_fixed,total_latency_ns,27614206.0,"[9889146.028541675,45739349.52145833]",1.0431952939433404,"[1.0155256382210955,1.0724710465112877]"
panda,tar_free,tar_fixed,frame_success,-0.013166666666666665,"[-0.030501388888888894,-0.0008888888888888861]",0.9864346631560873,"[0.9686126073062814,0.9990948178320885]"
panda,tar_free,tar_fixed,acceleration_rms,0.5292744521822652,"[-0.10507244875270925,1.1997017644951835]",1.1060326602708461,"[0.9812144461504969,1.2565740388052953]"
ur5e,tar_free,trac_task_5ms,completion,-0.016666666666666666,"[-0.075,0.025]",0.9827586206896552,"[0.9230769230769231,1.0256410256410255]"
ur5e,tar_free,trac_task_5ms,deadline_completion,-0.03333333333333334,"[-0.1,0.025]",0.9649122807017543,"[0.8983050847457626,1.0267857142857142]"
ur5e,tar_free,trac_task_5ms,total_latency_ns,583759760.3,"[572827071.3075,595035779.7343751]",20.01346451574669,"[16.445641790284995,23.60170213086897]"
ur5e,tar_free,trac_task_5ms,frame_success,-0.001944444444444446,"[-0.006166666666666665,0.00033333333333332714]",0.9980472019193216,"[0.9938075313807531,1.000333444481494]"
ur5e,tar_free,trac_task_5ms,acceleration_rms,1.7715591015174226,"[0.7215712881592863,2.7934292759455794]",1.1710419113552673,"[1.059636901097936,1.3313623698937045]"
ur5e,tar_free,trac_task_20ms,completion,-0.016666666666666666,"[-0.075,0.025]",0.982758620689655,"[0.925,1.0256410256410255]"
ur5e,tar_free,trac_task_20ms,deadline_completion,-0.04166666666666667,"[-0.10833333333333335,0.016666666666666666]",0.9565217391304348,"[0.8907563025210083,1.017094017094017]"
ur5e,tar_free,trac_task_20ms,total_latency_ns,556292492.5333332,"[510382896.3195833,587908220.9222916]",10.563267729278012,"[5.637572380121223,24.24076147247425]"
ur5e,tar_free,trac_task_20ms,frame_success,0.0045555555555555575,"[-0.006166666666666665,0.019833333333333335]",1.0046051892620464,"[0.9938333333333332,1.020321038251366]"
ur5e,tar_free,trac_task_20ms,acceleration_rms,1.9167796191906548,"[0.8524515420597519,2.981134552187375]",1.1876944170587413,"[1.0734761908526578,1.350594507876886]"
ur5e,tar_free,pink_qp,completion,0.0,"[-0.1,0.1]",1.0,"[0.9,1.1142857142857143]"
ur5e,tar_free,pink_qp,deadline_completion,-0.025000000000000012,"[-0.125,0.08333333333333333]",0.9734513274336283,"[0.875,1.0926142263759087]"
ur5e,tar_free,pink_qp,total_latency_ns,518023949.6166666,"[504844334.4731249,532754446.04583335]",6.371561014652284,"[6.218911329123676,6.5392639523786436]"
ur5e,tar_free,pink_qp,frame_success,0.006111111111111114,"[-0.012444444444444442,0.034444444444444444]",1.006187422657217,"[0.9875555555555555,1.0357492936631492]"
ur5e,tar_free,pink_qp,acceleration_rms,0.023368087386762503,"[-1.7369301586174013,1.7336722657573735]",1.0019303459794655,"[0.8809297159551401,1.1815958818534265]"
ur5e,tar_free,tar_nominal,completion,2.7755575615628915e-18,"[-0.08333333333333333,0.08333333333333334]",1.0,"[0.9130434782608696,1.090909090909091]"
ur5e,tar_free,tar_nominal,deadline_completion,-0.008333333333333335,"[-0.1,0.08333333333333334]",0.990990990990991,"[0.8983050847457626,1.0925925925925926]"
ur5e,tar_free,tar_nominal,total_latency_ns,345688825.69166666,"[314683432.375,371003558.60687506]",2.2861721356683455,"[2.0544097886562045,2.474713125676199]"
ur5e,tar_free,tar_nominal,frame_success,0.023944444444444442,"[-0.0067222222222222214,0.07033333333333333]",1.0246892364094633,"[0.9932530389204862,1.0757186398135419]"
ur5e,tar_free,tar_nominal,acceleration_rms,0.41447865426095304,"[-0.3917469714490623,1.194064973350848]",1.035381566297398,"[0.9666213062558872,1.102257572898394]"
ur5e,tar_free,tar_fixed,completion,0.025000000000000005,"[-0.049999999999999996,0.1]",1.027027027027027,"[0.9473684210526315,1.1111111111111112]"
ur5e,tar_free,tar_fixed,deadline_completion,0.008333333333333331,"[-0.06666666666666668,0.09166666666666667]",1.0091743119266054,"[0.9272727272727271,1.1052758097165993]"
ur5e,tar_free,tar_fixed,total_latency_ns,30352944.34166666,"[1487917.7041666612,58401558.83104168]",1.051964498102751,"[1.0024398532540202,1.104400991258245]"
ur5e,tar_free,tar_fixed,frame_success,0.03111111111111111,"[0.0009444444444444422,0.07672222222222222]",1.0323176361957527,"[1.0009532353930695,1.0834785760223042]"
ur5e,tar_free,tar_fixed,acceleration_rms,-0.5964124278682841,"[-1.15073345717509,-0.07402605163716384]",0.9531322292996592,"[0.9137557836615081,0.99332960509114]"
