robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
ur5e,single_gn_k1,trac_task_5ms,deadline_completion,0.03333333333333334,"[0.0,0.09166666666666667]",1.0344827586206897,"[1.0,1.1009174311926606]"
ur5e,single_gn_k1,trac_task_5ms,total_latency_ns,10796040.325,"[3999533.4689583327,14569936.680000003]",1.3840601422631573,"[1.1148206835875303,1.5978456181832148]"
ur5e,single_gn_k1,trac_task_5ms,frame_success,0.004222222222222222,"[0.0,0.01261111111111111]",1.0042401249721045,"[1.0,1.0127721825240534]"
ur5e,single_gn_k1,trac_task_5ms,successful_prefix,1.525,"[0.0,3.95]",1.0102710894089915,"[1.0,1.0270455323519343]"
ur5e,single_gn_k1,trac_task_5ms,acceleration_rms,-4.462337773686768,"[-6.247128998006568,-2.7597864035009634]",0.5650054437196143,"[0.4401430181678888,0.7008291060709754]"
ur5e,single_gn_k1,pink_qp,completion,0.05,"[0.0,0.125]",1.0526315789473684,"[1.0,1.1428571428571428]"
ur5e,single_gn_k1,pink_qp,deadline_completion,0.058333333333333334,"[0.0,0.13333333333333336]",1.0619469026548674,"[1.0,1.153846153846154]"
ur5e,single_gn_k1,pink_qp,total_latency_ns,-56854332.55833334,"[-57855272.77312499,-56142422.383125]",0.40628716009866134,"[0.40205803179351507,0.4095681527078141]"
ur5e,single_gn_k1,pink_qp,frame_success,0.012333333333333335,"[0.0,0.03683333333333334]",1.0124873439082012,"[1.0,1.038241910365115]"
ur5e,single_gn_k1,pink_qp,successful_prefix,3.75,"[0.0,9.425]",1.0256410256410255,"[1.0,1.0670460608216255]"
ur5e,single_gn_k1,pink_qp,acceleration_rms,-6.309608834155159,"[-8.55238333627615,-4.191086006786098]",0.4787879793744071,"[0.3797107618529127,0.5895559306124939]"
ur5e,single_gn_k0,trac_task_5ms,completion,0.03333333333333334,"[0.0,0.09166666666666667]",1.0344827586206897,"[1.0,1.1009174311926606]"
ur5e,single_gn_k0,trac_task_5ms,deadline_completion,0.025,"[-0.01666666666666667,0.08333333333333334]",1.0258620689655173,"[0.9833333333333332,1.0917431192660554]"
ur5e,single_gn_k0,trac_task_5ms,total_latency_ns,11289651.65,"[4403945.717291665,15277985.971874999]",1.4016199540085073,"[1.1271884464311046,1.6233365520965075]"
ur5e,single_gn_k0,trac_task_5ms,frame_success,0.004222222222222222,"[0.0,0.01261111111111111]",1.0042401249721045,"[1.0,1.0127721825240534]"
ur5e,single_gn_k0,trac_task_5ms,successful_prefix,1.525,"[0.0,3.95]",1.0102710894089915,"[1.0,1.0270455323519343]"
ur5e,single_gn_k0,trac_task_5ms,acceleration_rms,-4.514521848366329,"[-6.415640539380168,-2.7060153734671917]",0.559918471472916,"[0.42485765037758194,0.7061967392654773]"
ur5e,single_gn_k0,pink_qp,completion,0.05,"[0.0,0.125]",1.0526315789473684,"[1.0,1.1428571428571428]"
ur5e,single_gn_k0,pink_qp,deadline_completion,0.05,"[-0.008333333333333335,0.125]",1.0530973451327434,"[0.9915966386554621,1.1442307692307692]"
ur5e,single_gn_k0,pink_qp,total_latency_ns,-56360721.23333333,"[-57550771.100208335,-55182516.818125]",0.4114417959616807,"[0.40401502149836954,0.42178352002530195]"
ur5e,single_gn_k0,pink_qp,frame_success,0.012333333333333335,"[0.0,0.03683333333333334]",1.0124873439082012,"[1.0,1.038241910365115]"
ur5e,single_gn_k0,pink_qp,successful_prefix,3.75,"[0.0,9.425]",1.0256410256410255,"[1.0,1.0670460608216255]"
