robot,uid,site_id,family,method,fixed_updates,repeat,known_zero,zero_found,objective,tau,accepted,changed_exact,max_change_rad,numerical_ns,saved_backup_ns,reconstructed_outer_ns,fixed_actual_updates,joint_actual_updates,zero_found_stage,numerical_phase_times_ns
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,0,2,True,False,7.991785590029336e-19,0.0,True,True,4.3606673827412124e-11,5205530,176074,5381604,0,2,,
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,6,2,True,True,0.0,0.0,True,False,0.0,3354811,176074,3530885,0,0,initialization,"{""initialization_ns"":203158,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2988929}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,0,1,True,False,7.991785590029336e-19,0.0,True,True,4.3606673827412124e-11,5126372,176074,5302446,0,2,,
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,0,0,True,False,7.991785590029336e-19,0.0,True,True,4.3606673827412124e-11,5074314,176074,5250388,0,2,,
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3342917,176074,3518991,0,0,initialization,"{""initialization_ns"":207419,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2972326}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3281905,176074,3457979,0,0,initialization,"{""initialization_ns"":193862,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2929928}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3275475,176074,3451549,0,0,initialization,"{""initialization_ns"":183476,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2933990}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3279778,176074,3455852,0,0,initialization,"{""initialization_ns"":185219,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2936474}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3289995,176074,3466069,0,0,initialization,"{""initialization_ns"":185876,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2944410}"
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3432260,192213,3624473,0,0,initialization,"{""initialization_ns"":248310,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2963206}"
