robot,uid,method,repeat,accepted,latency_ns,reason,raw_file,line
panda,5854bb50df8eb5749f3b60b09805a81abf13011dbff470a0c2482e2d615770f3,range_loss_matched,2,False,7384147,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12463
panda,5854bb50df8eb5749f3b60b09805a81abf13011dbff470a0c2482e2d615770f3,range_loss_matched,1,False,7327339,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12477
panda,5854bb50df8eb5749f3b60b09805a81abf13011dbff470a0c2482e2d615770f3,range_loss_matched,0,False,7420463,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12479
panda,5cf5039fc3c7d028119c6991026934fb21f1dd3cde553d00f59ccf22fa345d77,range_loss_matched,1,False,7142523,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12721
panda,5cf5039fc3c7d028119c6991026934fb21f1dd3cde553d00f59ccf22fa345d77,range_loss_matched,0,False,7144910,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12727
panda,5cf5039fc3c7d028119c6991026934fb21f1dd3cde553d00f59ccf22fa345d77,range_loss_matched,2,False,7243762,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12739
panda,11ba86af3079de82cf27223c75ee5d2cb98873ea6e6a70841e0c7a33cbe7400d,range_loss_matched,0,False,2802057,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12964
panda,11ba86af3079de82cf27223c75ee5d2cb98873ea6e6a70841e0c7a33cbe7400d,range_loss_matched,2,False,2795322,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12965
panda,11ba86af3079de82cf27223c75ee5d2cb98873ea6e6a70841e0c7a33cbe7400d,range_loss_matched,1,False,2802175,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12967
panda,4bdebb84c92ab8f21a49a6581b1384ef0daf5eb46935fbd012c763837782aa12,range_loss_matched,2,False,3921855,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,16163
panda,4bdebb84c92ab8f21a49a6581b1384ef0daf5eb46935fbd012c763837782aa12,range_loss_matched,0,False,3916115,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,16172
panda,4bdebb84c92ab8f21a49a6581b1384ef0daf5eb46935fbd012c763837782aa12,range_loss_matched,1,False,3982096,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,16176
panda,c8896e6046dd75756b86f5422d995b0c223098ec59c2d3536aba05f81048f6c4,range_loss_matched,0,False,2938140,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,18492
panda,c8896e6046dd75756b86f5422d995b0c223098ec59c2d3536aba05f81048f6c4,range_loss_matched,2,False,2967268,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,18494
panda,c8896e6046dd75756b86f5422d995b0c223098ec59c2d3536aba05f81048f6c4,range_loss_matched,1,False,2884408,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,18503
panda,5a666571ff2677e6acc4fcd2a36cd24d08069e073514acd047835009c1ffed3b,range_loss_matched,0,False,2451235,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,18510
panda,5a666571ff2677e6acc4fcd2a36cd24d08069e073514acd047835009c1ffed3b,range_loss_matched,1,False,2461818,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,18519
panda,5a666571ff2677e6acc4fcd2a36cd24d08069e073514acd047835009c1ffed3b,range_loss_matched,2,False,2425722,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,18523
panda,ece5fecbab1609f0bedeb10085c9209098ddfd4e6247f56ddedc2511db81141a,range_loss_matched,0,False,2937573,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19349
panda,ece5fecbab1609f0bedeb10085c9209098ddfd4e6247f56ddedc2511db81141a,range_loss_matched,1,False,2963966,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19362
panda,ece5fecbab1609f0bedeb10085c9209098ddfd4e6247f56ddedc2511db81141a,range_loss_matched,2,False,2955268,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19363
panda,42e4f625869a39fb06b4dac645e954389abea5132e0f8f327d78bc7ec638ed27,range_loss_matched,0,False,2310486,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19574
panda,42e4f625869a39fb06b4dac645e954389abea5132e0f8f327d78bc7ec638ed27,range_loss_matched,1,False,2313252,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19579
panda,42e4f625869a39fb06b4dac645e954389abea5132e0f8f327d78bc7ec638ed27,range_loss_matched,2,False,2292127,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19583
panda,0d32c6916decb925d713a8b84dc54d863d0c9c284dd3c084e1b925ac1edc08ea,range_loss_matched,2,False,2783232,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19753
panda,0d32c6916decb925d713a8b84dc54d863d0c9c284dd3c084e1b925ac1edc08ea,range_loss_matched,1,False,2781905,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19763
panda,0d32c6916decb925d713a8b84dc54d863d0c9c284dd3c084e1b925ac1edc08ea,range_loss_matched,0,False,2756189,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,19765
panda,a84f93278123665cbff89bc80a5e7ac67ace38e86af07ba58e075234869955a3,range_loss_matched,2,False,3908734,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,20042
panda,a84f93278123665cbff89bc80a5e7ac67ace38e86af07ba58e075234869955a3,range_loss_matched,1,False,3875737,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,20044
panda,a84f93278123665cbff89bc80a5e7ac67ace38e86af07ba58e075234869955a3,range_loss_matched,0,False,3925995,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,20064
panda,16d931b8b208381482c3a9ef96bcafa33b09e2a1fcfcc8202b326316fae6beac,range_loss_matched,2,False,3403467,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,23241
panda,16d931b8b208381482c3a9ef96bcafa33b09e2a1fcfcc8202b326316fae6beac,range_loss_matched,0,False,2773576,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,23246
panda,16d931b8b208381482c3a9ef96bcafa33b09e2a1fcfcc8202b326316fae6beac,range_loss_matched,1,False,2829756,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,23249
