robot,method,frame,uid,x_mm,y_mm,target_x_mm,target_y_mm,position_utilization,orientation_utilization,accepted
panda,direct_sqp,15,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,27.741020947199253,8.907247968196417,28.60886553078015,8.867873433203805,0.9999999504602536,0.9999999500004356,True
panda,direct_sqp,16,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,28.399950762708173,9.340682444797872,29.267812140586706,9.3699984190936,0.9999999521156442,0.9999999500078992,True
panda,direct_sqp,17,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,28.86126197987289,9.71672639604344,29.718702862799393,9.855463889733677,0.9999999846384148,0.9999999525224911,True
panda,direct_sqp,18,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,29.14413085091021,10.013659025324822,29.958332453754448,10.323406705233285,0.9999999613972429,0.9999999513976568,True
panda,direct_sqp,19,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,29.29512050124177,10.22864503980277,29.984997460286237,10.772994880343155,0.9999999516502489,0.9999999501001305,True
panda,direct_sqp,20,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,29.377416043150454,10.412520383067868,29.79850832905284,11.20342906369478,0.9999999500215017,0.999999950001255,True
panda,direct_sqp,21,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,29.414087238281283,10.676251798157192,29.400190754012588,11.61394395901791,0.9999999501346245,0.9999999500251063,True
panda,direct_sqp,22,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,29.286816150959726,11.140273491093351,28.792876252472606,12.00380968580963,0.9999999505506023,0.9999999500608499,True
panda,direct_sqp,23,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,28.74053193141338,11.7514039844224,27.980882036702063,12.37233307703512,0.999999953990769,0.999999950016502,True
panda,direct_sqp,24,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,27.771641762312832,12.18393055737886,26.969980324196182,12.718858911553257,0.9999999994891994,0.8717599398019039,True
panda,direct_sqp,25,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,26.580683592446718,12.5318977825184,25.767357304754686,13.042771079076049,0.9999999501597665,0.6994129351078999,True
panda,direct_sqp,26,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,25.201237333333047,12.843710679839916,24.381562056065725,13.343493675590151,0.9999999511400861,0.5293952232847965,True
panda,direct_sqp,27,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,23.646601138049302,13.12820754817569,22.822445770938053,13.620492027293256,0.9999999526210095,0.4409161526257114,True
panda,direct_sqp,28,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,21.928671451322256,13.386777103473664,21.1010917281971,13.873273641224571,0.9999999577490232,0.5391207724054263,True
panda,direct_sqp,29,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,20.06001733414328,13.619547827333037,19.229736505059776,14.101389080899192,0.9999999500266055,0.7925753665843878,True
