robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts,theta_min,theta_max,mean_box_active_updates,mean_backtracking
ur5e,all,relative,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3996675,0.5406754499999998,0.6158411800000001,0.3873730407407407,836.7257679999999,0,0.0008844360065055817,0.0009996388208158363,0.007072155556148601,0.008719286251032748,0.9210635666098894,0.06574074074074074,0.00011556399349441783,0.0016544907038513873,0.9999999999990026,1.5337962962962963,2.5615740740740742,0.4722222222222222,0.5268518518518519,0.005555555555555556,0.5268518518518519,0.9896995708154507,1.561574074074074,"{""native_task_candidate"":6480}",{},0.0,1.0,4.309722222222222,0.5337962962962963
ur5e,all,tight,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.5426565,2.26279615,2.60500987,0.8373634069444444,1808.704959,0,0.0009086581593091146,0.0009996388208158363,0.007199103086045786,0.008719286251032748,0.9354566259222089,0.07685185185185185,9.134184069088509e-05,0.0015275431739542082,0.9999999999990026,1.5037037037037038,5.698148148148148,0.4722222222222222,0.5268518518518519,0.5259259259259259,0.0,0.0,4.698611111111111,"{""native_task_candidate"":6480}",{},0.0,1.0,14.64861111111111,0.5037037037037037
ur5e,all,clarabel,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.5929125,0.7596344,0.88949908,0.4928172297839506,1064.4852163333333,0,0.0008971746928596983,0.0009996388208158363,0.007196386946759398,0.008719286251032748,0.9267999491425055,0.0712962962962963,0.0001028253071403016,0.0015302593132405999,0.9999999999990026,1.5199074074074075,3.0550925925925925,0.4722222222222222,0.5268518518518519,0.5268518518518519,0.0,0.0,2.0550925925925925,"{""native_task_candidate"":6480}",{},1.2559201139333612e-10,0.9999999999999243,4.090740740740741,0.5199074074074074
ur5e,all,fixed_qp1,2160,240,3,"[2148,2148,2148]","[2148,2148,2148]",2148.0,0.9944444444444445,0.9944444444444445,2148,12,0.37319800000000003,0.51110595,0.58045435,0.38096833472222225,822.891603,0,0.0008781747803220569,0.0009996388208158363,0.006899241873509788,0.008719286251032748,0.913140916098335,0.06052141527001862,0.00012182521967794315,0.0018274043864902117,0.9999999999990026,1.5740740740740742,2.786574074074074,0.4722222222222222,0.5268518518518519,0.0,0.0,0.0,1.5731481481481482,"{""native_task_candidate"":6444,""stationary"":18,""no_descent"":18}","{""orientation_tolerance"":24,""position_tolerance"":12}",0.5,0.5,4.247685185185185,0.7907407407407407
ur5e,all,fixed_qp2,2160,240,3,"[2156,2156,2156]","[2156,2156,2156]",2156.0,0.9981481481481481,0.9981481481481481,2156,4,0.5031985,0.6950135999999999,0.79236554,0.4612270595679012,996.2504486666667,0,0.0008933998529811373,0.0009996388208158363,0.007056606393898494,0.008722127094528657,0.9272119035748058,0.06957328385899815,0.00010660014701886258,0.0016700398661014977,0.9999999999990026,1.5444444444444445,3.176851851851852,0.4722222222222222,0.5268518518518519,0.5268518518518519,0.0,0.0,2.102314814814815,"{""native_task_candidate"":6468,""stationary"":12}","{""position_tolerance"":3,""orientation_tolerance"":9}",0.0,1.0,6.020833333333333,0.6189814814814815
ur5e,multijoint_boundary/alpha=0.95,relative,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.48687400000000003,0.6450298499999998,1.8920368699999994,0.5153185930555555,123.67646233333333,0,0.0009574229738323232,0.0009990380064297897,0.00840176157029424,0.008698925242337207,0.9741130470020746,0.3125,4.257702616767671e-05,0.00032488468970576,0.9999999999990026,1.95,3.175,0.09583333333333334,0.9041666666666667,0.04583333333333333,0.9041666666666667,0.9539748953974896,2.175,"{""native_task_candidate"":720}",{},0.0,1.0,8.654166666666667,0.95
ur5e,multijoint_boundary/alpha=0.95,tight,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,1.2788875000000002,2.58000405,4.1084973399999996,1.3912959638888889,333.9110313333333,0,0.0009657747624001783,0.000999635481112774,0.008411652948014938,0.00869738534923897,0.9811999627377256,0.32916666666666666,3.422523759982155e-05,0.00031499331198506177,0.9999999999990026,1.8708333333333333,8.825,0.09583333333333334,0.9041666666666667,0.9041666666666667,0.0,0.0,7.825,"{""native_task_candidate"":720}",{},0.0,1.0,33.19166666666667,0.8708333333333333
ur5e,multijoint_boundary/alpha=0.95,clarabel,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.7026654999999999,0.89945035,1.0256257499999997,0.6837670069444445,164.10408166666667,0,0.0009439497016396196,0.00098510708773745,0.008350948127455373,0.00869738487721779,0.9691952172957795,0.3125,5.605029836038022e-05,0.000375698132544627,0.9999999999990026,1.8916666666666666,3.8541666666666665,0.09583333333333334,0.9041666666666667,0.9041666666666667,0.0,0.0,2.8541666666666665,"{""native_task_candidate"":720}",{},1.2559201139333612e-10,0.9999999999994493,8.045833333333333,0.8916666666666667
ur5e,multijoint_boundary/alpha=0.95,fixed_qp1,240,240,3,"[229,229,229]","[229,229,229]",229.0,0.9541666666666667,0.9541666666666667,229,11,0.4581275,0.5849643999999997,4.42864742,0.5470256708333333,131.286161,0,0.0009492109984223538,0.00098510708773745,0.008360203679606173,0.008698925242337207,0.9725608458738964,0.2794759825327511,5.0789001577646194e-05,0.00036644258039382656,0.9999999999990026,2.2666666666666666,4.866666666666666,0.09583333333333334,0.9041666666666667,0.0,0.0,0.0,2.2666666666666666,"{""native_task_candidate"":687,""stationary"":18,""no_descent"":15}","{""orientation_tolerance"":24,""position_tolerance"":9}",0.5,0.5,8.108333333333333,2.8916666666666666
ur5e,multijoint_boundary/alpha=0.95,fixed_qp2,240,240,3,"[236,236,236]","[236,236,236]",236.0,0.9833333333333333,0.9833333333333333,236,4,0.630603,0.7753010999999993,3.824408429999999,0.6790495791666668,162.971899,0,0.0009598960539757507,0.000990985517614578,0.008427905192190239,0.008722127094528657,0.9746590604541125,0.3135593220338983,4.0103946024249286e-05,0.00029874106780976127,0.9999999999990026,2.075,4.770833333333333,0.09583333333333334,0.9041666666666667,0.9041666666666667,0.0,0.0,3.216666666666667,"{""native_task_candidate"":708,""stationary"":12}","{""position_tolerance"":3,""orientation_tolerance"":9}",0.0,1.0,12.7625,1.6291666666666667
