robot,uid,method,anchor_uid,displacement,alpha,accepted,mean_ms,mean_total_local_qp_calls,max_qps_one_local_model,exit_reasons
panda,67686b74d3fc3145a4966833ca6e5bb2d5c043ad99fd1be3a4dcec14b92fcf5a,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.0,1.0,0.40012533333333333,1.0,1,{}
panda,67686b74d3fc3145a4966833ca6e5bb2d5c043ad99fd1be3a4dcec14b92fcf5a,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.0,1.0,0.3924453333333333,1.0,1,{}
panda,67686b74d3fc3145a4966833ca6e5bb2d5c043ad99fd1be3a4dcec14b92fcf5a,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.0,1.0,0.3974456666666667,1.0,1,{}
panda,67686b74d3fc3145a4966833ca6e5bb2d5c043ad99fd1be3a4dcec14b92fcf5a,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.0,1.0,0.39843433333333333,1.0,1,{}
panda,67686b74d3fc3145a4966833ca6e5bb2d5c043ad99fd1be3a4dcec14b92fcf5a,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.0,1.0,0.39338,1.0,1,{}
panda,206f9e21f9d8c96a166641a140713c67a39b0f7f88f74cb4c92f7f28fa48fa5e,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.5,1.0,0.3577466666666667,1.0,1,{}
panda,206f9e21f9d8c96a166641a140713c67a39b0f7f88f74cb4c92f7f28fa48fa5e,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.5,1.0,0.3270686666666667,1.0,1,{}
panda,206f9e21f9d8c96a166641a140713c67a39b0f7f88f74cb4c92f7f28fa48fa5e,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.5,1.0,0.3340623333333333,1.0,1,{}
panda,206f9e21f9d8c96a166641a140713c67a39b0f7f88f74cb4c92f7f28fa48fa5e,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.5,1.0,0.33638233333333334,1.0,1,{}
panda,206f9e21f9d8c96a166641a140713c67a39b0f7f88f74cb4c92f7f28fa48fa5e,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.5,1.0,0.3515736666666667,1.0,1,{}
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.95,1.0,1.2584853333333332,8.0,7,"{""relative_progress"":3,""task"":3}"
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.95,0.0,6.678371666666667,26.0,1,"{""fixed_budget"":78}"
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.95,1.0,4.528510666666667,22.0,2,"{""fixed_budget"":30,""task"":3}"
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.95,1.0,3.825329,23.0,16,"{""cap"":3,""task"":3}"
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,multijoint_boundary,0.95,1.0,0.959126,4.0,2,"{""conic_solved"":3,""task"":3}"
panda,7d42810581df6a877544de19fda3027387758b6df508c890e010b05f63de89e4,relative,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.0,1.0,0.27233266666666667,1.0,1,{}
panda,7d42810581df6a877544de19fda3027387758b6df508c890e010b05f63de89e4,fixed_qp1,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.0,1.0,0.2808523333333333,1.0,1,{}
panda,7d42810581df6a877544de19fda3027387758b6df508c890e010b05f63de89e4,fixed_qp2,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.0,1.0,0.286662,1.0,1,{}
panda,7d42810581df6a877544de19fda3027387758b6df508c890e010b05f63de89e4,tight,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.0,1.0,0.281648,1.0,1,{}
panda,7d42810581df6a877544de19fda3027387758b6df508c890e010b05f63de89e4,clarabel,a08ec57059ecc9b35ca849dec8f3cc2e1c63ee3be8066bb028dde63c615b987c,regular,0.0,1.0,0.2758173333333333,1.0,1,{}
