robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts
ur5e,near_limit/high_utilization/alpha=0.0,relative,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.42839249999999995,0.50150175,0.51354944,0.4085988125,32.687905,0,0.0008383808764167995,0.0009925146484238197,0.0032913951235673737,0.006056012664536105,0.8383808764167994,0.025,0.0001616191235831997,0.005435251136432624,0.9999999999990026,1.775,2.775,0.225,0.775,0.0,0.775,1.0,1.775,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,gn,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.4173495,0.49837729999999997,0.51646801,0.40814567083333336,32.65165366666667,0,0.0008383808764167995,0.0009925146484238197,0.0032913951235673737,0.006056012664536105,0.8383808764167994,0.025,0.0001616191235831997,0.005435251136432624,0.9999999999990026,2.775,5.55,,,,,,,"{""task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,tight,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.7758445,2.34692475,2.4678687299999997,0.9609953708333333,76.87962966666667,0,0.000869710881955517,0.0009925146484238197,0.0032913951235673737,0.006056012664536105,0.8697108819555169,0.025,0.00013028911804448276,0.005435251136432624,0.9999999999990026,1.75,7.0875,0.225,0.775,0.775,0.0,0.0,6.0875,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,clarabel,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.6214305,0.7130700999999999,0.7356668999999999,0.5592359458333334,44.73887566666667,0,0.0008383808764167995,0.0009925146484238197,0.0032913951235673737,0.006056012664536105,0.8383808764167994,0.025,0.0001616191235831997,0.005435251136432624,0.9999999999990026,1.775,3.55,0.225,0.775,0.775,0.0,0.0,2.55,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,range_loss_matched,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,2.737094,4.726086049999999,5.860598489999989,2.634898475,210.791878,0,0.0009671497815866857,0.0009979482646623901,0.008540463481025877,0.008585774879263028,0.9809685829001401,0.375,3.285021841331423e-05,0.00018618277897412263,0.9999999999990026,14.85,36.375,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,direct_sqp,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,2.3288155,2.9016424499999998,3.02616658,2.37663585,190.130868,0,0.0009999999821223228,0.0009999999975289864,0.008726646100525495,0.008726646182119902,0.9999999878639655,1.0,1.787767718152561e-11,1.594745039149026e-10,0.9999999999990026,17.8875,30.65,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,fixed_qp1,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.402005,0.4816464,0.50148776,0.38801988749999994,31.041590999999997,0,0.0008383808764167995,0.0009925146484238197,0.0032913951235673737,0.006056012664536105,0.8383808764167994,0.025,0.0001616191235831997,0.005435251136432624,0.9999999999990026,1.775,2.775,0.225,0.775,0.0,0.0,0.0,1.775,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.0,fixed_qp2,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.538779,0.63869405,0.6615265199999999,0.49972815833333334,39.97825266666667,0,0.0008383808764167995,0.0009925146484238197,0.0032913951235673737,0.006056012664536105,0.8383808764167994,0.025,0.0001616191235831997,0.005435251136432624,0.9999999999990026,1.775,3.55,0.225,0.775,0.775,0.0,0.0,2.55,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.5,relative,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.4265475,0.50331785,0.53220894,0.40924544583333333,32.739635666666665,0,0.0008739675652788045,0.0009952125812292812,0.003511136997050929,0.007299763647400665,0.8739675652788045,0.0375,0.00012603243472119542,0.005215509262949062,0.9999999999990026,1.775,2.775,0.225,0.775,0.0,0.775,1.0,1.775,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.5,gn,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.411984,0.49406954999999997,0.50903945,0.4047356416666667,32.37885133333334,0,0.0008739675652788045,0.0009952125812292812,0.003511136997050929,0.007299763647400665,0.8739675652788045,0.0375,0.00012603243472119542,0.005215509262949062,0.9999999999990026,2.775,5.55,,,,,,,"{""task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.5,tight,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.766297,2.3171442,2.531255239999999,0.9483333458333332,75.86666766666666,0,0.0008844439687060869,0.0009952125812292812,0.003511136997050929,0.007299763647400665,0.8844439687060869,0.05,0.00011555603129391196,0.005215509262949062,0.9999999999990026,1.7375,6.9625,0.225,0.775,0.7625,0.0,0.0,5.9625,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.5,clarabel,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.622749,0.700754,0.79704979,0.5642340375,45.138723,0,0.0008739675652788045,0.0009952125812292812,0.003511136997050929,0.007299763647400665,0.8739675652788045,0.0375,0.00012603243472119542,0.005215509262949062,0.9999999999990026,1.775,3.55,0.225,0.775,0.775,0.0,0.0,2.55,"{""native_task_candidate"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.5,range_loss_matched,80,80,3,"[78,78,78]","[78,78,78]",78.0,0.975,0.975,78,2,2.6261925,4.506504849999999,5.234440329999998,2.6752521625,214.020173,0,0.000980996392107431,0.0009992078697950858,0.008567318541733229,0.008705178536681195,0.9860392604728285,0.358974358974359,1.9003607892569115e-05,0.0001593277182667709,0.9999999999990026,14.8875,36.925,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":234,""optimizer:CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"":6}","{""position_tolerance+orientation_tolerance"":3,""position_tolerance"":3}"
ur5e,near_limit/high_utilization/alpha=0.5,direct_sqp,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,2.3506235,2.87460545,3.025755829999998,2.3832350625,190.658805,0,0.0009999999861049675,0.0009999999903662436,0.008726646005486905,0.008726646219342027,0.9999999888572765,1.0,1.389503253125882e-11,2.545130948876373e-10,0.9999999999990026,18.075,30.7875,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":240}",{}
ur5e,near_limit/high_utilization/alpha=0.5,fixed_qp1,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.4006885,0.4736471,0.49218055999999993,0.38831475,31.065179999999998,0,0.0008739675652788045,0.0009952125812292812,0.003511136997050929,0.007299763647400665,0.8739675652788045,0.0375,0.00012603243472119542,0.005215509262949062,0.9999999999990026,1.775,2.775,0.225,0.775,0.0,0.0,0.0,1.775,"{""native_task_candidate"":240}",{}
