robot,query_sha256,family,entry,predicted_p95_ms,observed_empirical_p95_ms,selected_action,semantic_success
ur5e,acf4ba9a8dcd60ce930d96decc60c535a65637bc9191b77f4af909cf606e3eb4,hard_valid,easy,3.5901479721069336,4.1153128,hard,True
ur5e,c6cccdd09ddbb0e9d72deace5c44c8ce846d742575d6fda679296f679b36f684,near_singular,easy,2.977933883666992,1.7922961999999998,hard,True
ur5e,e944a750653c6c388ec683af6eb3f6e4e6ab8153c9f63665fb8de0bcbb1b354a,hard_valid,easy,3.0199573040008545,2.9778338,hard,True
ur5e,c39763beec1a3952599f44e0b3d4fd7b4d33d6034154a76960aaec536a799e13,large_step,easy,76.87507629394531,44.247729,reject,False
ur5e,c883ca07589a201c6422d8777335b17b94aa203cf29811cfcde7852792160bc6,large_step,easy,74.15670013427734,38.8825318,reject,False
ur5e,623f3a4681087a2f479839818a4e4627cc69a38167196f279d5dae75a0030459,large_step,easy,75.45801544189453,43.331793600000005,reject,False
ur5e,481b6e73c63acd6b33125ff396559b675877a38601d2d17ef639712d9978345c,id,easy,3.1512014865875244,3.4260669999999998,hard,True
ur5e,6eee7daf70c680de702354b445cf3dd9fc706c40e1a3bb161e5766369920bce3,hard_valid,easy,3.935445547103882,3.8349273999999998,hard,True
ur5e,a0e31e65939cd7e89c829c7833a2692038ba9c3144b1b2ce28afda2c2acf8a57,workspace_boundary,easy,2.213819742202759,1.9098518,hard,True
ur5e,205821393d537df2c4f30928c98b919405a62e9855548a6361b7b9db95c3c942,id,easy,2.3509254455566406,1.9249316,hard,True
ur5e,692eb6746dced9b018f1b5fc96e0e917cd40da41f7114d1424fc61542b81b629,id,easy,3.228529453277588,8.9366532,hard,True
ur5e,bf1c593926ba4d64e88463bbb986dfe9b44f4987f2ab2f3f85f95dd85af514ae,id,easy,2.9326882362365723,1.6620452000000001,hard,True
ur5e,ab0983d7e4d00f98c9626df80f57fa262e3c30d9855340220bbed2d338ffd97e,id,easy,2.3443284034729004,1.6352014,hard,True
ur5e,9a7d76426f9f14833232355f63911f14e3bca116d7f4ec7b2d4a1d38f643fd30,id,easy,3.0499496459960938,3.2982386000000004,hard,True
ur5e,28fb8e5327a047b2343060b7ae211f9b6d278ac3f9a2be4d0509f16eef7449e3,id,easy,2.4245402812957764,1.937757,hard,True
ur5e,f997ee65a65b518284dfbd2aa425090102d95cbc876699c22694d44d226e89bb,id,easy,3.1725261211395264,3.1802446,hard,True
ur5e,41633ade228c5968dd610e2d97d9fcc786a66e5e3290188df14b20e489ee50e7,hard_valid,easy,4.303854465484619,3.6470621999999997,hard,True
ur5e,f880fe416e9909e2a358ecf59f1d3cb082b12d888e3dff7fb705db253f85971a,id,easy,2.7643938064575195,2.0851732,hard,True
ur5e,cb7b743fc4bc67ff97be25dfaf00366e796ba2a302663b2feb868c2bb3d73557,hard_valid,easy,3.765690803527832,3.4525,hard,True
ur5e,c4bbae54b0a6a6b3fb8c758f5a77cb169d816fa3a2d336cf4b7227e44b5d3ca7,id,easy,5.80929708480835,3.3716284,hard,True
ur5e,aa98121c8092ac2156a0abad8b0141b7c120f26f246a3b450e40d22082bddff2,unreachable,easy,197.41294860839844,87.1773522,reject,False
ur5e,cc59955fa261874d6d253f2e00f7f0329668ef9822dad01597a29ef128a816a4,hard_valid,easy,3.1215648651123047,3.3270896,hard,True
ur5e,e9588188686197b0e7cd2a9e91dbb45541a7f4fcf0d5f30d6459e4b54fe4e049,id,easy,2.053140640258789,2.1960227999999997,easy,True
ur5e,7d9679a38e9cc69060a1bb31ae05656deda89a558fd72e17abe41247a528a431,hard_valid,easy,2.7492504119873047,3.5221906,hard,True
ur5e,2984a753c44dca3e147afc17d7df4a7d9abebaf757d525599d50a721a8468cd8,near_limit,easy,2.897618055343628,1.907098,hard,True
ur5e,1be9bb0bbbe6977a484f53ee908650e7d070f9af38504fb30ccbe09bc2621919,near_singular,easy,3.2205474376678467,1.6278986,hard,True
ur5e,e9248525d78e9bed13060018f4c7187651c1d60acfbfd915113ba25a50868284,hard_valid,easy,4.593252658843994,3.8053936,hard,True
ur5e,30dc6195a380e3183c06f686ec8eda5e4ab42eec2699c35fb6ff074f9d956da1,large_step,easy,75.3931655883789,40.6312306,reject,False
ur5e,c87e9f2161a090863bd2ed2dd6c3c717776e3074486f99d9be19870fee4679ea,workspace_boundary,easy,2.8931031227111816,1.77839,hard,True
ur5e,de5bd607ae9e85ce709972be1bc0b4f20f9e305df76b501587b09f799051248e,large_step,easy,87.157470703125,46.5886342,reject,False
ur5e,f03633bf84cc596a0e7a5911e7ac20020c002e2ca0debf8e16cc62d03afd5cb9,workspace_boundary,easy,2.402690887451172,1.6481218,hard,True
ur5e,c54ac4f256a00fa07a330d599aba3ea9c363633ed111531f449266e213f0f3a5,large_step,easy,75.86143493652344,37.4013182,reject,False
ur5e,993de27ca6ff02cb25b40ee249cec2c90c395b040269983ea61d31c6bbb2e8ca,id,easy,3.698328733444214,2.9773158,hard,True
ur5e,c02a7fe05cbb3daa96d99c1a777f9d2d4244f351565622d77d15b8780a088154,id,easy,2.084458827972412,1.819576,easy,True
ur5e,7f6c8777d8873aa540a9f3b4c2d627ad3cb978d61746659ada31919c859c518c,workspace_boundary,easy,3.3392081260681152,2.2258039999999997,hard,True
ur5e,e0c10e2587be0a1abe2f9272348ed304a4581a7f85b766b8dcb257999e6554ec,id,easy,2.9682626724243164,3.3214278,hard,True
ur5e,38ba63db4f64ae51f2cf98dbb2d7fc470611cbf8b67898dced366a44675d09c4,near_limit,easy,3.0525403022766113,1.5762758000000001,hard,True
ur5e,9b6395ab7b00a3e21278d80e369e84aefaf14e1262ccc3e54a6d51269734e5bb,near_singular,easy,2.957034111022949,2.7786866,hard,True
ur5e,37e9bb525ddf3b3f62f8dd1aa7d4dbac3bce118491c1844646e977660b0d203f,hard_valid,easy,3.7383220195770264,3.2497743999999997,hard,True
ur5e,e99598b85c2936a48607ea4e2bd76f040a787fb4978132e0698a21644ed4863d,id,easy,1.9370582103729248,2.4761746000000002,easy,True
ur5e,07047fc2c4c57e0aaec08d9c33d90a6cf6b2153aec495754245b1504d77e6e33,hard_valid,easy,3.3143200874328613,3.1875541999999997,hard,True
ur5e,aa5aa1c2955161745ec02c8e8472863c679628bb7ed9c1c2564937b95763ab80,near_limit,easy,2.9105777740478516,1.8951533999999999,hard,True
ur5e,ebb0751c6f0c25a5c4fd7c6e129464c1d4bc55b4fb3f33feacd0183bf7a1fe4f,near_limit,easy,3.1654272079467773,2.3771425999999996,hard,True
ur5e,cd260142c0567bbb0e54a85c9c05093286aa401d99541e56a16dacc34dc7fbc4,unreachable,easy,154.50685119628906,60.717624,reject,False
ur5e,906f0923c3d1ee2f00042db8e77f16b44a7776978e5f88b8007c43158c55f78f,id,easy,2.7979750633239746,3.0000923999999998,hard,True
ur5e,f135b08170db8b6e9c44e2c7f9f1c522600914f44b805ae68b5cbd3b4de8cc0d,unreachable,easy,175.83631896972656,109.5838282,reject,False
ur5e,108403a9f38fccb59951bba688672bb1112418f848b713e52f7154a0aefad0d9,id,easy,2.4938557147979736,2.0811129999999998,hard,True
ur5e,69f5a4d04a83432ad83d061293eaaa6a270d3beb4ed6321862608b7542ef4d23,id,easy,3.1882007122039795,1.9437419999999999,hard,True
ur5e,9029334e310e1cf73c00ab352af4b447140f1b189f27309163713fa40f477212,unreachable,easy,164.6156768798828,107.113955,reject,False
ur5e,49ad58cfb19addcb33a7616e6e1c84b9e68d85b4c89df8fdb4b9e9ee512767ce,near_limit,easy,3.209200859069824,1.665061,hard,True
ur5e,94ec60af1237193709de89ad9a9ab0a587c986457301969f1a3adf0becafdbf6,near_singular,easy,2.9405899047851562,3.621142,hard,True
ur5e,be32e8676420a66ae80ce3c6a9a90eebb6e58309aba53545a2475c987d93cad8,id,easy,3.1027092933654785,1.9871284,hard,True
ur5e,569c465002eeb9b84148eea2915e105a817a9814c59d811f1df836d6b3012778,near_limit,easy,2.93340802192688,1.9587271999999998,hard,True
ur5e,546e2a6647b9a54a04d54ad228b9e9a6a157817ae87ac9898779cbfb0daca628,near_singular,easy,3.3424947261810303,1.6866584,hard,True
ur5e,bef9037cbab40d56d21d5ab4a02a0ba148056095af09880626a98c3bec957ea5,near_singular,easy,2.7883119583129883,2.4337281999999996,hard,True
ur5e,aa1407df48f11c37f838674019bb79dce5ede958087bd4efdfe8f607fe27d7cf,hard_valid,easy,4.143988132476807,3.3250471999999998,hard,True
ur5e,5e6b2850f7408a3633c95affafb1ec8956c4fb9ea3a0bf1426c14067ce2d1bed,hard_valid,easy,3.102509021759033,3.6615526,hard,True
ur5e,b8222338a6540d1eb410706334fee1f7ce553430ea0044fb3b93866cd006fdd9,id,easy,2.003462553024292,2.1430386,easy,True
ur5e,68236ddf069f6698ff34a73e2e700614610fc2290c3abf6886ba588553093cde,large_step,easy,67.48323822021484,31.694445,reject,False
ur5e,77210777747c40c8c195a8838131a00514828e159245fd128053bc4e9a275a31,near_limit,easy,2.75475811958313,1.7513105999999998,hard,True
ur5e,d4f18303f7c034a033bca83d34a22006f94657769570449370526cb5e310c980,id,easy,2.0926761627197266,2.4764492000000002,easy,True
ur5e,65f91f25873c45dde9ef1734dcb27c9bd8ebfc77a0a84a27d11fc5d09e8f44a2,id,easy,2.9828274250030518,3.3867605999999997,hard,True
ur5e,94a9df5a15eb65ec5a973ce6d3f7abbda366676ff2098f4f077630712021e587,id,easy,4.608336925506592,3.4193406,hard,True
ur5e,b83a455c2221686229ce199175b72bac87db9095a4a5aa96a262b2bf7a76e1e4,hard_valid,easy,3.508061408996582,3.0786452,hard,True
ur5e,4ad46ceda24cab2c7d62c32dd50c0ef8897fd9b638fe4ecc6c9e9fea841cc867,hard_valid,easy,3.2887215614318848,3.421421,hard,True
ur5e,b4697427d5f8fa9ca980766f1f71e74b13e4b241ca638f02dd89d063ddcb5074,workspace_boundary,easy,3.5627615451812744,3.2799554,hard,True
ur5e,7f672e8adf0a01d291bc1b5c2ed4f29056f1c4f1ea9a6bee6828ccfd62b68bb9,id,easy,2.830994129180908,2.004715,hard,True
ur5e,9411bc0ef1c5ede7f1fca3c137d03ee5adca8af3bfda091881c2a97eb5d018bb,id,easy,2.9306867122650146,1.945441,hard,True
ur5e,fcb8bcecc8550491fb0d41559513563227aa87a1589cee375aedd486fbb0de4d,hard_valid,easy,4.013267993927002,3.381919,hard,True
ur5e,7948a1fad208ef3097a1298690f023c02a15f0a0eaa23392bd9a9a9401e5c2bd,large_step,easy,77.67253875732422,48.8213886,reject,False
ur5e,d29f0f6c5aabced2dd20afd6b7725c59595688c2972c1164e3b8ddd13fa724fe,workspace_boundary,easy,2.7635185718536377,1.8636077999999998,hard,True
ur5e,d6c7172c17d9b01752ec4225d31d7e15414bf2556495337975c2b430c35bcb00,unreachable,easy,183.80111694335938,84.206262,reject,False
ur5e,2dfbf0327e7963017012d03e65c294b225dc7feff974afa0587eaba34a6493c3,id,easy,2.3489627838134766,2.180783,hard,True
ur5e,4940b0b44b0e7d46dd8c2eb1e4e5edb72a18225db1797fb2ac5250024698dad5,unreachable,easy,184.8008270263672,59.9647574,reject,False
