robot,cohort,group,method,unique_qps,source_uids,calls,quality_failed_calls,quality_failed_qps,max_box,max_raw_kkt,max_normalized_kkt,max_scaled_objective_gap,kernel_mean_us,kernel_p50_us,kernel_p95_us,kernel_p99_us,return_mean_us,return_p50_us,return_p95_us,return_p99_us,common_check_mean_us,common_check_p50_us,common_check_p95_us,common_check_p99_us,total_mean_us,total_p50_us,total_p95_us,total_p99_us,first_call_mean_us,steady_call_mean_us
panda,targeted,all,osqp_cached,2000,22,10000,15,3,2.876319848965636e-09,0.018424599433083114,0.00013487611173736147,2.4455292572957755e-05,1474.9126275,73.759,9839.099049999995,20810.53299,1498.6216413,96.1375,9868.771399999996,20838.75016,47.9153729,45.406,61.47659999999999,66.07708,1546.5370142000002,141.9345,9933.046399999997,20904.06903,172.6120272727273,1561.8182830131443
panda,targeted,all,qpoases,2000,22,10000,0,0,1.1102230246251565e-16,7.386422203048415e-13,1.05120950650645e-13,3.325846542612254e-13,2.8973671999999997,2.413,5.2570999999999986,14.494530000000012,12.4865068,11.05,14.66305,47.27125000000001,44.1014503,43.842,46.0442,49.040130000000005,56.5879571,54.945,60.351099999999995,92.73298000000003,81.53486363636362,56.310488978766436
panda,targeted,internal_set_change,active_numpy,283,22,1415,0,0,0.0,4.547473508864641e-13,3.3306690738754696e-16,0.0,72.54405795053003,67.984,121.2331,147.61637999999994,72.83271307420495,68.156,121.5559,147.83897999999994,46.475250883392235,46.381,47.878699999999995,50.34603999999996,119.30796395759717,114.393,169.20589999999999,194.59285999999997,96.61766315789474,120.94097803030304
panda,targeted,internal_set_change,clip,283,22,1415,1395,279,0.0,1.9999999999980052,0.8814994994471678,3039.2119108614193,5.504773144876325,5.221,6.021599999999999,10.033659999999992,5.766132862190813,5.477,6.3416999999999994,10.55627999999999,41.678621908127205,41.441,43.2027,46.045719999999946,47.44475477031803,46.954,49.13399999999999,71.71487999999995,48.94813684210526,47.33655681818182
panda,targeted,internal_set_change,osqp_cached,283,22,1415,5,1,2.876319848965636e-09,0.003217181538914815,1.3739919580979532e-06,3.6401752120790284e-06,118.41842190812721,31.385,96.45309999999999,342.70147999998574,141.61463816254417,53.78,122.92429999999997,369.0563999999854,45.98066431095406,45.152,50.072799999999994,59.86343999999999,187.59530247349824,99.174,169.7706,417.6893799999877,167.80005263157895,189.0199606060606
panda,targeted,internal_set_change,qpoases,283,22,1415,0,0,1.1102230246251565e-16,4.547473508864641e-13,3.586540786582049e-15,5.422745585903499e-14,4.883050883392226,3.002,16.64689999999999,32.06499999999997,14.526185865724381,12.018,31.4209,51.51558,44.528850883392224,44.138,46.7641,52.15757999999996,59.05503674911661,56.417,77.62979999999999,97.20373999999994,82.40817894736841,57.37431818181819
panda,targeted,multiple_active,active_numpy,1820,11,9100,0,0,0.0,4.547473508864641e-13,3.3306690738754696e-16,0.0,26.591832857142855,18.265,97.75804999999997,119.95936000000005,26.872645274725272,18.564,98.00325,120.28738000000004,44.923077912087905,44.687,46.953050000000005,48.18103,71.79572318681319,63.473,144.7641,166.99388000000002,98.63583999999999,71.72178347107439
panda,targeted,multiple_active,clip,1820,11,9100,9100,1820,0.0,1.9999999999980052,0.8814994994471678,14819.584640907617,5.540042197802197,5.193,5.898099999999999,8.452270000000006,5.79472076923077,5.447,6.229049999999999,8.751990000000044,41.701867692307694,41.462,43.25815,45.45405,47.49658846153846,46.924,49.1732,59.02068000000021,53.452360000000006,47.48018137741047
panda,targeted,multiple_active,osqp_cached,1820,11,9100,0,0,4.773959005888173e-14,9.35291760335312e-08,1.5164491568878743e-10,3.178343005449946e-13,1577.9213165934063,86.705,10354.190099999985,20797.060670000003,1601.7419054945058,110.0145,10386.363299999985,20824.57245,48.14988703296704,45.475,61.685249999999996,66.28036000000002,1649.8917925274725,155.64499999999998,10447.100649999982,20888.83522,134.85716,1654.0654416528928
panda,targeted,multiple_active,qpoases,1820,11,9100,0,0,1.1102230246251565e-16,7.386422203048415e-13,1.05120950650645e-13,3.325846542612254e-13,2.735098571428571,2.418,4.565049999999999,6.934470000000011,12.318730989010987,11.053,14.235,47.13147000000001,44.08298274725275,43.826,45.988249999999994,48.857060000000004,56.40171373626373,54.932,59.58425,92.43688000000003,86.87776,56.31775768595041
panda,targeted,one_active,active_numpy,176,19,880,0,0,0.0,1.8474111129762605e-13,1.214306433183765e-16,0.0,30.56102727272727,24.93,45.8458,47.93785000000001,30.812042045454547,25.1575,46.241350000000004,48.56278,45.22871818181818,45.056,47.0084,48.239940000000004,76.04076022727273,70.225,92.85205,96.10246000000002,91.31464705882352,74.40770314465408
panda,targeted,one_active,clip,176,19,880,880,176,0.0,1.9999999999979974,0.210014706566996,72.95107929757893,6.075293181818181,5.1955,5.7311499999999995,6.51749000000001,6.291873863636364,5.4015,6.064,6.991360000000004,41.45128068181818,41.355,42.8971,43.74436,47.74315454545455,46.8,48.733,49.86414,47.38498823529412,47.781449056603776
panda,targeted,one_active,osqp_cached,176,19,880,15,3,2.876319848965636e-09,0.018424599433083114,0.00013487611173736147,2.4455292572957755e-05,442.7349681818182,44.468999999999994,312.3227499999998,22292.0235,465.1976670454546,66.318,335.85969999999986,22317.15778,45.490793181818184,44.953,47.4122,62.29770000000003,510.68846022727274,111.4205,381.66019999999986,22375.53766,183.7164,545.6477371069183
panda,targeted,one_active,qpoases,176,19,880,0,0,1.1102230246251565e-16,1.7053025658242404e-13,2.220446049250313e-16,9.33367966249321e-15,4.528252272727273,2.2645,19.75304999999999,32.15110000000001,14.153069318181819,10.947,33.51739999999998,49.44545000000001,44.28562954545455,43.966499999999996,46.55865,50.004310000000004,58.43869886363636,55.024,79.46244999999999,95.27573000000001,79.96342352941177,56.137313207547166
panda,targeted,sequence_set_change,active_numpy,165,22,825,0,0,0.0,4.547473508864641e-13,3.3306690738754696e-16,0.0,57.260439999999996,44.613,117.0722,145.97216,57.5551406060606,44.956,117.38980000000001,146.23004,46.25130666666667,46.15,47.7202,50.26191999999998,103.80644727272725,91.035,164.3298,193.90912,96.61766315789474,104.74197397260275
panda,targeted,sequence_set_change,clip,165,22,825,805,161,0.0,1.9999999999980052,0.8814994994471678,3039.2119108614193,5.5598363636363635,5.202,5.905399999999999,28.411319999999996,5.82759393939394,5.461,6.2698,28.96251999999999,41.66969575757575,41.424,43.0816,46.19044,47.497289696969695,46.907,48.9568,74.90704,48.94813684210526,47.30848082191782
panda,targeted,sequence_set_change,osqp_cached,165,22,825,0,0,2.876319848965636e-09,9.807990863919258e-09,2.876319848965636e-09,1.277922713829871e-09,52.57306787878788,33.402,115.82459999999996,421.92163999999997,75.64248848484849,55.94,141.33339999999987,443.72108000000003,45.78548969696969,45.085,47.672599999999996,59.738319999999995,121.42797818181819,101.383,207.49979999999985,488.73908,167.80005263157895,115.39325616438357
panda,targeted,sequence_set_change,qpoases,165,22,825,0,0,1.1102230246251565e-16,4.547473508864641e-13,3.586540786582049e-15,5.422745585903499e-14,6.521629090909091,4.71,22.60839999999999,33.2016,16.113573333333335,13.53,35.636399999999995,57.768879999999974,44.77670181818181,44.297,47.1686,52.98,60.89027515151515,57.795,82.39479999999995,107.48547999999992,82.40817894736841,58.089999999999996
panda,targeted,unconstrained,active_numpy,4,4,20,0,0,0.0,5.684341886080802e-14,7.632783294297951e-17,0.0,47.582350000000005,46.4215,48.62255000000002,63.846109999999975,47.79635,46.6025,48.85325000000002,64.10264999999998,45.87135,45.845,47.269999999999996,47.330799999999996,93.6677,92.5085,95.94810000000001,109.72081999999997,,93.6677
panda,targeted,unconstrained,clip,4,4,20,0,0,0.0,5.684341886080802e-14,7.632783294297951e-17,5.603348528613003e-16,5.067499999999999,5.0625,5.3153500000000005,5.33587,5.251249999999999,5.242,5.5449,5.588979999999999,41.4639,41.462999999999994,42.05295,42.62979,46.715149999999994,46.734,47.3679,48.12638,,46.715149999999994
panda,targeted,unconstrained,osqp_cached,4,4,20,0,0,0.0,2.2394885945686838e-09,3.2342739597623904e-12,4.2025113964597517e-16,21.7761,20.501,24.644450000000024,50.324089999999956,49.5563,41.798500000000004,52.92060000000011,169.93931999999978,47.89295,44.556,49.74095000000004,100.09778999999992,97.44924999999998,85.97800000000001,102.66155000000016,270.0371099999997,,97.44924999999998
panda,targeted,unconstrained,qpoases,4,4,20,0,0,0.0,5.684341886080802e-14,5.551115123125783e-17,5.603348528613003e-16,4.970650000000001,4.7865,5.7762,6.676039999999999,15.495750000000001,13.484,17.708400000000022,43.23527999999995,44.4003,44.207499999999996,45.7351,46.35982,59.89605,57.78,62.02800000000002,89.31199999999995,,59.89605
ur5e,natural,all,active_numpy,1000,8,5000,0,0,0.0,3.410605131648481e-13,1.8041124150158794e-16,0.0,24.4341742,23.897,25.2521,40.90497000000003,24.6306836,24.09,25.477050000000002,41.12593000000002,44.1125404,43.934,45.6771,47.291109999999996,68.743224,68.084,70.63405,87.30502000000003,75.23915,68.6908375
ur5e,natural,all,clip,1000,8,5000,15,3,0.0,1.9282315050759642,0.015849593638564863,0.011297233776184813,5.389631800000001,5.1135,5.70705,6.86845000000001,5.551397199999999,5.267,5.899,7.052300000000006,41.3965004,41.290499999999994,42.91205,44.07702,46.947897600000005,46.5745,48.58965,50.99941000000001,50.589075,46.91853326612903
ur5e,natural,all,osqp_cached,1000,8,5000,0,0,2.0317081350640365e-14,9.499927955403109e-09,9.167479275706825e-12,1.5092693277838748e-15,13.999529200000001,13.801,14.700099999999999,19.92535000000001,34.709335200000005,34.328,36.61145,42.03375000000003,44.4041582,44.237,45.86315,47.43307,79.11349340000001,78.598,81.857,88.46111000000002,92.26289999999999,79.0074497983871
ur5e,natural,all,qpoases,1000,8,5000,0,0,1.1102230246251565e-16,3.410605131648481e-13,2.220446049250313e-16,4.3298697960381105e-15,2.1678949999999997,1.982,2.283,6.111180000000004,11.6083906,10.507,11.87,45.073720000000016,43.748656200000006,43.595,45.6871,47.69803,55.3570468,54.086,57.395300000000006,90.06257000000004,79.604675,55.161501411290324
ur5e,natural,internal_set_change,active_numpy,5,1,25,0,0,0.0,1.1368683772161603e-13,2.7755575615628914e-17,0.0,41.75624,41.935,43.5598,43.56776,41.96604,42.119,43.782,43.8426,46.08368,45.674,49.23759999999999,49.881319999999995,88.04972000000002,87.772,92.8594,93.70592,,88.04972000000002
ur5e,natural,internal_set_change,clip,5,1,25,15,3,0.0,1.9282315050759642,0.015849593638564863,0.011297233776184813,5.01584,5.0,5.4274,5.451359999999999,5.169,5.131,5.6015999999999995,5.64064,41.36004,41.256,43.014199999999995,43.12784,46.529039999999995,46.366,48.0644,48.2004,,46.529039999999995
ur5e,natural,internal_set_change,osqp_cached,5,1,25,0,0,2.0317081350640365e-14,1.5328538438552641e-09,1.096206458939264e-12,1.2212453270876722e-15,22.99196,25.091,34.1072,34.41776,44.4084,46.19,55.4556,55.892759999999996,45.08768,44.805,46.354,47.89395999999999,89.49608000000002,90.7,100.7214,101.74687999999999,,89.49608000000002
ur5e,natural,internal_set_change,qpoases,5,1,25,0,0,1.1102230246251565e-16,1.1368683772161603e-13,1.1102230246251565e-16,4.3298697960381105e-15,5.2258000000000004,5.144,6.3176,6.42808,15.31344,13.739,16.844599999999996,42.11275999999994,44.44096,44.618,45.879999999999995,46.292359999999995,59.7544,58.38,62.1716,87.87211999999992,,59.7544
ur5e,natural,one_active,active_numpy,3,1,15,0,0,0.0,1.1368683772161603e-13,2.7755575615628914e-17,0.0,41.38893333333333,41.338,43.104,43.4456,41.595333333333336,41.543,43.3125,43.640100000000004,45.8356,45.641,47.866699999999994,49.21574,87.43093333333333,87.265,90.7186,92.76372,,87.43093333333333
ur5e,natural,one_active,clip,3,1,15,15,3,0.0,1.9282315050759642,0.015849593638564863,0.011297233776184813,5.007933333333333,4.958,5.3884,5.43208,5.1582,5.092,5.5781,5.60442,41.43746666666667,41.371,43.100699999999996,43.13374,46.59566666666667,46.366,48.1475,48.2119,,46.59566666666667
ur5e,natural,one_active,osqp_cached,3,1,15,0,0,2.0317081350640365e-14,2.2737367544323206e-13,2.0317081350640365e-14,4.545163092396654e-16,28.402333333333335,26.432,34.2333,34.457860000000004,49.812,47.907,55.7313,55.927859999999995,45.34186666666667,45.082,46.964299999999994,48.096059999999994,95.15386666666664,93.445,101.3039,101.84317999999999,,95.15386666666664
ur5e,natural,one_active,qpoases,3,1,15,0,0,1.1102230246251565e-16,1.1368683772161603e-13,1.1102230246251565e-16,1.1362907730991635e-16,5.2346,5.144,6.3669,6.44138,16.220599999999997,13.799,26.111399999999964,45.234279999999984,44.343399999999995,44.208,46.0803,46.33846,60.564,58.281,72.37609999999997,91.24081999999997,,60.564
ur5e,natural,unconstrained,active_numpy,997,8,4985,0,0,0.0,3.410605131648481e-13,1.8041124150158794e-16,0.0,24.38315687061184,23.897,25.2174,31.007519999999726,24.579636509528584,24.088,25.4202,31.339599999999738,44.107355667001,43.932,45.6686,47.245639999999995,68.68699217652959,68.081,70.5736,79.32363999999988,75.23915,68.63399191102123
ur5e,natural,unconstrained,clip,997,8,4985,0,0,0.0,3.410605131648481e-13,1.8041124150158794e-16,1.7763568394002505e-15,5.39078034102307,5.114,5.707800000000001,6.875199999999994,5.552580341023069,5.267,5.899,7.0567999999999955,41.39637713139418,41.29,42.9078,44.07732,46.948957472417256,46.575,48.5994,51.005559999999996,50.589075,46.91951263902933
ur5e,natural,unconstrained,osqp_cached,997,8,4985,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,1.5092693277838748e-15,13.956190772316951,13.8,14.655600000000002,18.273679999999995,34.66389087261785,34.326,36.4918,40.55323999999999,44.401336609829485,44.235,45.857,47.391839999999995,79.06522748244734,78.597,81.711,87.00868,92.26289999999999,78.95847178968654
ur5e,natural,unconstrained,qpoases,997,8,4985,0,0,0.0,3.410605131648481e-13,2.220446049250313e-16,4.3298697960381105e-15,2.1586672016048145,1.982,2.273,5.376319999999981,11.594512337011032,10.505,11.798000000000002,45.065439999999995,43.7468665997994,43.594,45.679,47.698479999999996,55.34137893681043,54.082,57.319200000000016,90.0274,79.604675,55.14511365015167
ur5e,targeted,all,active_numpy,1903,16,9515,0,0,0.0,4.547473508864641e-13,2.220446049250313e-16,0.0,30.716117603783506,17.574,70.16659999999992,108.13358000000001,30.932162059905412,17.791,70.34539999999993,108.3133,43.95379695218077,43.682,45.91089999999999,47.47586,74.88595901208618,61.799,115.55359999999999,154.33724000000004,90.12171249999999,74.7567740328564
ur5e,targeted,all,clip,1903,16,9515,9490,1898,0.0,1.9999999999980052,0.5740323625650595,1210.472612834273,5.207001261166579,4.865,5.44,6.724440000000002,5.38053210719916,5.031,5.6663,6.998780000000013,40.554394745139255,40.327,42.0096,43.60586,45.934926852338414,45.385,47.493,53.92158,48.7716875,45.91087376788553
ur5e,targeted,all,osqp_cached,1903,16,9515,0,0,4.163336342344337e-14,5.6595539883339964e-08,1.1257829382048999e-10,1.0776644333854168e-13,612.3809820283763,59.095,2852.1679999999997,8727.429020000003,634.5664906988965,80.938,2877.582599999995,8753.61864,46.592822490804,45.384,57.782799999999995,61.18162000000001,681.1593131897005,126.446,2934.9611999999947,8812.073020000002,108.1980875,686.0174899841018
ur5e,targeted,all,qpoases,1903,16,9515,0,0,2.220446049250313e-16,9.094947017729282e-13,1.253717182153613e-15,1.0851150707147372e-13,2.471122963741461,2.204,3.7609999999999926,7.953200000000303,11.894987703625855,10.743,13.323,45.47338000000002,43.57328712559117,43.263,45.3946,50.28530000000018,55.46827482921703,54.042,58.54439999999999,90.19686,74.62993750000001,55.3058018018018
