robot,cohort,group,method,uid,unique_qps,kernel_ns,return_ns,total_ns,all_quality_pass
panda,natural,unconstrained,osqp_cached,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,125,14765.1808,36587.2624,81758.2496,True
panda,natural,unconstrained,osqp_cached,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,125,14546.7264,35975.0192,80662.5632,True
panda,natural,unconstrained,osqp_cached,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,125,14391.8352,35720.8656,80169.3424,True
panda,natural,unconstrained,osqp_cached,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,96,14461.291666666666,35806.22083333333,80354.3875,True
panda,natural,unconstrained,osqp_cached,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,125,14550.0048,36013.9728,80569.0752,True
panda,natural,unconstrained,osqp_cached,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,125,14517.1936,35867.9216,80414.112,True
panda,natural,unconstrained,osqp_cached,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,125,14644.5184,35972.9968,80588.176,True
panda,natural,unconstrained,osqp_cached,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,125,14873.2672,36478.5744,81231.1696,True
panda,natural,unconstrained,qpoases,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,125,2473.7184,12695.2064,56755.0784,True
panda,natural,unconstrained,qpoases,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,125,2325.688,11557.3808,55017.1792,True
panda,natural,unconstrained,qpoases,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,125,2346.9088,12097.7776,56035.2224,True
panda,natural,unconstrained,qpoases,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,96,2385.81875,11867.141666666666,55646.03125,True
