robot,cohort,group,comparison,metric,all_qps,quality_paired_qps,source_uids,ratio,ci95_low,ci95_high,unit
ur5e,natural,all,active_numpy / qpoases,return_ns,1000,1000,8,2.121800036604556,2.0752489616359933,2.1723445634079677,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / qpoases,total_ns,1000,1000,8,1.2418152335395178,1.2329982809783582,1.2511326522216488,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / osqp_cached,kernel_ns,1000,1000,8,1.7453568510003896,1.7319588371227468,1.7645136354895603,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / osqp_cached,return_ns,1000,1000,8,0.7096270630962701,0.7039398761125746,0.7171156171565598,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / osqp_cached,total_ns,1000,1000,8,0.8689190812549813,0.8660214138082669,0.8724407501994808,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / clip,kernel_ns,1000,997,8,4.523667742220184,4.378403617881357,4.646811841137837,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / clip,return_ns,1000,997,8,4.427239211699402,4.28760690297614,4.545742717938249,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / clip,total_ns,1000,997,8,1.4630647958807934,1.4553355362543698,1.4715225346811274,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / qpoases,kernel_ns,5,5,1,7.990401469631445,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / qpoases,return_ns,5,5,1,2.7404711155690684,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / qpoases,total_ns,5,5,1,1.4735269703988325,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / osqp_cached,kernel_ns,5,5,1,1.8161235492754861,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / osqp_cached,return_ns,5,5,1,0.9450022968627557,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / osqp_cached,total_ns,5,5,1,0.983838845232104,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / clip,kernel_ns,5,2,1,8.414821886747418,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / clip,return_ns,5,2,1,8.20066728380776,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,internal_set_change,active_numpy / clip,total_ns,5,2,1,1.916425259158588,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,one_active,active_numpy / qpoases,kernel_ns,3,3,1,7.906799628115488,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,one_active,active_numpy / qpoases,return_ns,3,3,1,2.5643523256435232,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,one_active,active_numpy / qpoases,total_ns,3,3,1,1.4436122669132379,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,one_active,active_numpy / osqp_cached,kernel_ns,3,3,1,1.4572370814604434,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,one_active,active_numpy / osqp_cached,return_ns,3,3,1,0.8350464412859017,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,one_active,active_numpy / osqp_cached,total_ns,3,3,1,0.9188374198140837,,,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / qpoases,kernel_ns,997,997,8,11.29454520331789,11.083119424506938,11.509039958306618,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / qpoases,return_ns,997,997,8,2.1200191877278844,2.073799430952813,2.169999401447259,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / qpoases,total_ns,997,997,8,1.24117632387493,1.2327780918875066,1.2502831221797779,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / osqp_cached,kernel_ns,997,997,8,1.7471137578389024,1.7336953509954798,1.7657976852076498,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / osqp_cached,return_ns,997,997,8,0.7090931082983131,0.703873145714342,0.7166075922409718,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,unconstrained,active_numpy / osqp_cached,total_ns,997,997,8,0.8687471902373433,0.8659636229823525,0.872218387378151,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
