robot,uid,site_id,family,method,known_zero,zero_all_repeats,exact_changed_any,meaningful_changed_any,objective_max,tau_max,max_change_rad,numerical_mean_ms,reconstructed_outer_mean_ms
panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,3.3018213333333333,3.4761613333333337
panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,tar_corrected,True,True,False,False,0,0,0,4.772973,4.953002
panda,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.330992,3.517803
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,tar_corrected,True,True,False,False,0,0,0,4.77096,4.955726
panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,4.841265333333333,5.012166333333333
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,tar_corrected,True,True,False,False,0,0,0,4.885503,5.06595
panda,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,3.2819816666666664,3.4818596666666664
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,tar_corrected,True,True,False,False,0,0,0,6.565664333333333,6.816807333333333
panda,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,tar_corrected,True,True,False,False,0,0,0,4.901888,5.661219
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,3.3166596666666663,3.4980016666666667
panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,3.369564,3.54874
panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,tar_corrected,True,True,False,False,0,0,0,3.2729423333333334,3.4873093333333336
panda,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,3.383246,3.636657
panda,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,trajectory_23,joint_limit_return,tar_corrected,True,True,False,False,0,0,0,3.2922176666666667,3.4979246666666666
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,high_curvature,tar_corrected,True,True,False,False,0,0,0,4.924143,5.104589
panda,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,trajectory_33,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3250643333333336,3.6187453333333335
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,tar_corrected,True,True,False,False,0,0,0,3.3168286666666664,3.5048496666666664
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,True,True,False,False,0,0,0,3.2982006666666663,3.4742746666666666
panda,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,trajectory_19,near_singular,tar_corrected,True,True,False,False,0,0,0,4.838863666666667,5.027772666666667
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,True,True,False,False,0,0,0,3.2902203333333335,3.4929933333333336
panda,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,smooth,tar_corrected,True,True,False,False,0,0,0,3.3893783333333336,3.6647113333333334
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,joint_limit_return,tar_corrected,False,False,False,False,,,0,3.0672433333333333,8.340284333333333
panda,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,trajectory_31,high_curvature,tar_corrected,True,True,False,False,0,0,0,3.3024913333333337,3.6020453333333333
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,tar_corrected,True,True,False,False,0,0,0,3.5227506666666666,3.7166676666666665
