problem_id,robot,stratum,kappa,method,repeat,reason,theta,dual_updates,active_updates,upper,lower,gap,pzero,model_fraction,bounds_valid,raw_gap,objective,feasible_box_violation,normal_residual,dual_lower,box_minorant_lower,task_squared,outer_ns,kernel_ns,conversion_ns,verifier_calls,command_accepted,common_gap,tight_quality_pass,common_normalized_gap,model_fraction_vs_reference,objective_difference_vs_clarabel,raw_box_violation,roundoff_projection,raw_epigraph_violation,native_theta_weights,iterations,status,native_primal_objective,native_dual_objective,native_primal_residual,native_dual_residual,setup_update_ns,solve_ns,native_seconds,updated,total_ns,box_qp_updates,primal_upper,converged,task_feasible_early,deadline
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_tight,4,,0.3856362725278188,2,,,,2.69130349672686e-08,,,,2.69130349672686e-08,0.06369655528221459,0.0,1.3091219639867969e-14,0.06369652836917962,0.06369652836917962,"[1.2011513718692525e-06,1.2709400222023912e-06]",190879,150489,4462,0,,2.69130349672686e-08,True,2.69130349672686e-08,,2.6645702505545543e-08,,,,,,gap_converged,,,,,,,,,,2,0.06369655528221459,True,False,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_tight,4,tight_gap,0.3856362725279163,2,2,0.06369655528221459,0.0636965283691796,2.691303498114639e-08,6.546214141792001,0.999999995848367,True,2.691303498114639e-08,0.06369655528221459,0.0,2.670449884045373e-14,0.0636965283691796,0.0636965283691796,"[1.2011513718759455e-06,1.270940022208589e-06]",188663,149087,4511,0,,2.69130349672686e-08,True,2.69130349672686e-08,0.9999999958896059,2.6645702505545543e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_command,4,,0.5,1,,,,,,,,,0.06369705774274599,0.0,2.7245515444068443e-14,0.06369645573481753,0.06369645573481753,"[7.144645050339586e-07,1.9184803619683596e-06]",305859,166904,4188,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,task_feasible_early,,,,,,,,,,1,,False,True,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_progress,4,relative_progress,0.5,1,1,0.06369705774274599,0.06369645573481753,6.020079284657642e-07,6.546214141792001,0.9999999071336234,True,6.020079284657642e-07,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",117544,79165,4378,0,,5.293735663713939e-07,False,5.293735663713939e-07,0.9999999183795145,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,old_tight,2,,0.3856362725278188,2,,,,2.69130349672686e-08,,,,2.69130349672686e-08,0.06369655528221459,0.0,1.3091219639867969e-14,0.06369652836917962,0.06369652836917962,"[1.2011513718692525e-06,1.2709400222023912e-06]",193049,152972,4675,0,,2.69130349672686e-08,True,2.69130349672686e-08,,2.6645702505545543e-08,,,,,,gap_converged,,,,,,,,,,2,0.06369655528221459,True,False,False
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_command,2,task_first,0.5,1,,,,,,,,,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",266523,133545,4243,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,clarabel_command,2,,0.3798906248632046,,,,,,,,,,0.06369652863651208,0.0,4.5062756046823776e-05,0.06369642709412947,0.06369642709412945,"[1.2547675317314192e-06,1.2547517546684188e-06]",250719,145160,4683,1,True,2.673324617230577e-10,True,2.673324617230577e-10,,0.0,0.0,0.0,0.0,"[0.37989062487312386,0.620109375152987]",11,Solved,0.06369652866284377,0.06369652806594159,3.6773648083500036e-10,1.4222479029301235e-11,23151,62412,0.000224353,True,143176,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_command,2,task_first,0.5,1,,,,,,,,,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",274493,136845,4099,2,True,5.293735663713939e-07,False,5.293735663713939e-07,,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,relative_progress,2,relative_progress,0.5,1,1,0.06369705774274599,0.06369645573481753,6.020079284657642e-07,6.546214141792001,0.9999999071336234,True,6.020079284657642e-07,0.06369705774274599,0.0,3.192504173130471e-14,0.06369645573481753,0.06369645573481753,"[7.144645050342813e-07,1.918480361968592e-06]",126888,87415,4347,0,,5.293735663713939e-07,False,5.293735663713939e-07,0.9999999183795145,5.291062339096708e-07,,,,,,,,,,,,,,,,,,,,
panda_trajectory_21_k1_f149,panda,regular_first_subproblems,1,cached_tight,2,tight_gap,0.3856362725279163,2,2,0.06369655528221459,0.0636965283691796,2.691303498114639e-08,6.546214141792001,0.999999995848367,True,2.691303498114639e-08,0.06369655528221459,0.0,2.670449884045373e-14,0.0636965283691796,0.0636965283691796,"[1.2011513718759455e-06,1.270940022208589e-06]",188792,149350,4218,0,,2.69130349672686e-08,True,2.69130349672686e-08,0.9999999958896059,2.6645702505545543e-08,,,,,,,,,,,,,,,,,,,,
