robot,method,baseline,metric,units,difference,difference_ci,ratio,ratio_ci
ur5e,balance_progress_k1,balance_cached_k1,completion,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,deadline_completion,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,total_latency_ns,80,29896.191666666466,"[-29201.02770833334,92279.15187499969]",1.0008655199879897,"[0.9991570351193703,1.0026719859353015]"
ur5e,balance_progress_k1,balance_cached_k1,frame_success,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,acceleration_rms,80,-2.940868246548156e-06,"[-8.822604739644469e-06,0.0]",0.9999993441308638,"[0.9999978943606619,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,successful_prefix,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,completion,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,deadline_completion,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,total_latency_ns,80,-3695789.833333333,"[-3757125.7640625,-3632070.530729167]",0.9034209501204475,"[0.90196638904451,0.9049507504798177]"
ur5e,balance_progress_k1,single_gn_k1,frame_success,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,acceleration_rms,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,successful_prefix,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,completion,80,0.0041666666666666675,"[0.0,0.0125]",1.00418410041841,"[1.0,1.0126582278481013]"
ur5e,balance_progress_k1,task_balance_k1,deadline_completion,80,0.0041666666666666675,"[0.0,0.0125]",1.00418410041841,"[1.0,1.0126582278481013]"
ur5e,balance_progress_k1,task_balance_k1,total_latency_ns,80,-34034032.954166666,"[-34548306.170312494,-33638098.92520834]",0.5039149365370648,"[0.5005067173480909,0.5060638467931148]"
ur5e,balance_progress_k1,task_balance_k1,frame_success,80,2.7777777777777955e-05,"[0.0,8.333333333333387e-05]",1.0000277785494043,"[1.0,1.0000833402783564]"
ur5e,balance_progress_k1,task_balance_k1,acceleration_rms,80,-0.0052576079342387325,"[-0.015769882935405957,9.605714140770164e-13]",0.9988288266646173,"[0.9961372551908666,1.000000000000213]"
ur5e,balance_progress_k1,task_balance_k1,successful_prefix,80,0.2791666666666666,"[0.0,0.8374999999999998]",1.0018645813040938,"[1.0,1.0056146819743568]"
ur5e,balance_progress_k1,trac_task_5ms,completion,80,0.025,"[0.0,0.058333333333333334]",1.0256410256410255,"[1.0,1.0619469026548674]"
ur5e,balance_progress_k1,trac_task_5ms,deadline_completion,80,0.025,"[0.0,0.058333333333333334]",1.0256410256410255,"[1.0,1.0619469026548674]"
ur5e,balance_progress_k1,trac_task_5ms,total_latency_ns,80,665370.6041666664,"[-10889404.6515625,8804668.57625]",1.0196240750433305,"[0.7599868811775805,1.3414495984095625]"
ur5e,balance_progress_k1,trac_task_5ms,frame_success,80,0.010166666666666668,"[0.0,0.025083333333333336]",1.0102710894089915,"[1.0,1.0257286947602358]"
ur5e,balance_progress_k1,trac_task_5ms,acceleration_rms,80,-4.791010272503203,"[-6.449082648217598,-3.2579517351533696]",0.483445278070721,"[0.3887014308850361,0.6050950701829704]"
ur5e,balance_progress_k1,trac_task_5ms,successful_prefix,80,1.5333333333333334,"[0.0,3.7791666666666663]",1.0103277952402336,"[1.0,1.0258456102356595]"
ur5e,balance_progress_k1,trac_task_20ms,completion,80,0.029166666666666667,"[0.0,0.06666666666666668]",1.0300429184549358,"[1.0,1.0714285714285714]"
ur5e,balance_progress_k1,trac_task_20ms,deadline_completion,80,0.04166666666666667,"[0.0125,0.07916666666666668]",1.0434782608695654,"[1.0126582278481013,1.0859728506787332]"
ur5e,balance_progress_k1,trac_task_20ms,total_latency_ns,80,-25495509.958333332,"[-67945562.216875,7824263.655000003]",0.575546777935491,"[0.3371436043130681,1.2923532620216198]"
ur5e,balance_progress_k1,trac_task_20ms,frame_success,80,0.010833333333333335,"[0.0,0.024722222222222225]",1.0109519797809605,"[1.0,1.0253489034463117]"
ur5e,balance_progress_k1,trac_task_20ms,acceleration_rms,80,-4.863674365090999,"[-6.50839785433659,-3.3297259368305414]",0.47968718780498826,"[0.3859707887860462,0.5982322622823079]"
ur5e,balance_progress_k1,trac_task_20ms,successful_prefix,80,1.625,"[0.0,3.7083333333333344]",1.0109519797809603,"[1.0,1.0253489034463117]"
