robot,method,family,queries,calls,success_by_repeat,verified_success,within20,missed_per_repeat,stable_missed_uids,mixed_uids,p50_p95_p99_ms,mean_latency_ms,cumulative_ms_per_sweep,late_calls,accepted_position_p50_p95_p99_max_m,accepted_orientation_p50_p95_p99_max_rad,edge_fraction
panda,trac_task_20ms,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.233969,0.37692999999999993,1.1258361899999996]",0.27859757799999996,139.298789,0,"[0.00011578702860541899,0.0007081217329435417,0.0008089816796266093,0.0008426962407521828]","[0.0002309420449878692,0.0037742546415744506,0.005281739443002404,0.005986246180518223]",0.0
ur5e,single_gn_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.321438,0.47458605,0.5208508900000001]",0.3430019853333333,686.0039706666666,0,"[6.198622728697422e-05,0.0006862201871413623,0.0009144623576208186,0.0009950799551409245]","[0.00012105482253095696,0.001750064633330358,0.0034560073962303928,0.007762970944548852]",0.0115
ur5e,single_gn_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.312904,0.3502807,0.376294]",0.316309218,158.154609,0,"[0.00010326836603368053,0.0004317601709876271,0.0007105332034835833,0.0008369177444113265]","[0.00014667199553188373,0.0007189342194779567,0.001300183690187799,0.0056368827422437675]",0.0
ur5e,single_gn_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.3143515,0.3523878,0.41329253]",0.31646947733333336,158.23473866666666,0,"[6.455625946087468e-05,0.0005381727423956048,0.0007481153641984098,0.0009872813350674295]","[0.00016439871588778173,0.0013403204188653908,0.005297284142378482,0.007762970944548852]",0.004
ur5e,single_gn_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.3144105,0.35748995,0.39521179999999995]",0.318042402,159.021201,0,"[7.352588912409275e-05,0.000542335740732797,0.0008354365227976066,0.0009709337902649222]","[0.0001320983212782267,0.0008949862367254159,0.0014304819173711185,0.004866271313408072]",0.006
ur5e,single_gn_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.430296,0.5158379,0.55871319]",0.421186844,210.593422,0,"[1.6446786520422303e-05,0.0008578977384084926,0.0009753142588601659,0.0009950799551409245]","[2.7360435287266873e-05,0.003078519251314148,0.0038152015573526144,0.0071827585145853865]",0.036
ur5e,task_balance_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.537399,1.519308200000001,2.6546955000000003]",0.7124841700000001,1424.96834,0,"[6.269748429350337e-05,0.000709803933694257,0.0009213099511975837,0.0009950799551409245]","[0.00012580750877175874,0.0018607581167530878,0.003606558474789162,0.007762970944548852]",0.0125
ur5e,task_balance_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.5300115,0.575417,0.61148622]",0.5345028046666667,267.2514023333333,0,"[0.00010326836603369004,0.0004317601709876303,0.0007105332034834732,0.0008369177444113265]","[0.00014667199553153093,0.0007189342194779567,0.0013001836901878141,0.0056368827422437675]",0.0
ur5e,task_balance_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.5299525,0.5816614,0.70091522]",0.537384956,268.692478,0,"[6.455625946090127e-05,0.0005468117252624424,0.0008045900230220104,0.0009872813350674295]","[0.0001677341903578599,0.0013484062338830708,0.005297284142378482,0.007762970944548852]",0.006
ur5e,task_balance_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.5298075,0.57660765,0.6166324799999999]",0.536311978,268.155989,0,"[7.352588912407424e-05,0.0005423357407328411,0.0008354365227976339,0.0009709337902649222]","[0.00013209832127804476,0.0008949862367252079,0.0014304819173711232,0.004866271313408072]",0.006
