scene_uid,slot,cluster,robot,family,placement,direction,method,repeat,implementation_ready,planner_feasible,execution_completed,quality_completed,T_init,T_smooth,T_opt,T_retime,T_validate,total_plan_wall_s,predicted_execution_s,physical_run,status,reason,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,initialization_node_process_legal,dense_geometry_feasible,dense_min_clearance_m,smoothing_displacement_rms_rad,planning_cost_scope,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,standoff_error_p95_m,standoff_error_max_m,incidence_p95_deg,incidence_max_deg,center_ray_path_error_max_m,line_orientation_error_max_deg,valid_profile_count,profile_count,tracking_joint_error_p95_rad,actual_clearance_sampled_5ms_min_m,actual_feedback_source,solver_return_status,checkpoint_selected,feasible_checkpoint_count
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B1,1,True,True,,,0.22031567700469168,30.528004833999148,,0.02925194799900055,1.013933246002125,32.096531322000374,15.95746675663842,False,planner_feasible,,True,834,417,0,417,True,0.022061088942352983,0.0037534207096703727,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B1,2,True,True,,,0.2215916460045264,30.682403965998674,,0.029475393996108323,1.0033355620034854,32.25960226399911,15.95746675663842,False,planner_feasible,,True,834,417,0,417,True,0.022061088942352983,0.0037534207096703727,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B2,0,True,True,False,False,32.24527847600257,,32.104151277999335,0.029348763993766624,1.0158925049981917,65.96557066399691,15.95746675663842,True,planner_feasible,,,,,,,True,0.022061088942352983,,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,16.156999999996764,2.760175759998674,1.0,1.0,0.0,0.0009682976875163671,0,0.7227104440535159,1.0220996079356677,0.00013432796542456327,0.0,0.38421698928421916,0.0,0.013000000000000001,12.249,3.709,0.2,0.005,0.001,0.7266523212100346,18.07937337362003,conservative_3d_component_bounding_box_diagonal,0.14999180859698402,0.1500155106721857,0.14956722458954158,0.00015794857057721074,0.0003260877955356521,6.27973364026673e-13,0.0014933337641478226,0.0031528739232787053,4.712160915387242e-08,0.00026398748037085153,0.0010293602787800897,0.0,0.0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,2452,0.00011031804830722996,0.02206112352654225,execution.h5 and actual scan timestamps; no new solve or simulation,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B2,1,True,True,,,32.24527847600257,,31.89683388300182,0.0293789610004751,1.006658968006377,65.74960139299947,15.95746675663842,False,planner_feasible,,,,,,,True,0.022061088942352983,,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B2,2,True,True,,,32.24527847600257,,32.03314002600382,0.029513661000237335,1.0158060870016925,65.89439135200519,15.95746675663842,False,planner_feasible,,,,,,,True,0.022061088942352983,,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B3,0,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B3,1,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B3,2,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,G,0,True,True,False,False,0.22458527900016634,30.771333250995667,,0.029564142001618166,1.0257010659988737,32.35748862000037,15.95746675663842,True,planner_feasible,,True,834,417,0,417,True,0.022061088942352983,0.0037534207096703727,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,16.156999999996764,2.7675765809981385,1.0,1.0,0.0,0.0009682976875163671,0,0.7227104440535159,1.0220996079356677,0.00013432796542456327,0.0,0.38421698928421916,0.0,0.013000000000000001,12.249,3.709,0.2,0.005,0.001,0.7266523212100346,18.07937337362003,conservative_3d_component_bounding_box_diagonal,0.14999180859698402,0.1500155106721857,0.14956722458954158,0.00015794857057721074,0.0003260877955356521,6.27973364026673e-13,0.0014933337641478226,0.0031528739232787053,4.712160915387242e-08,0.00026398748037085153,0.0010293602787800897,0.0,0.0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,2452,0.00011031804830722996,0.02206112352654225,execution.h5 and actual scan timestamps; no new solve or simulation,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,G,1,True,True,,,0.220190875006665,30.56774565899832,,0.02965100500296103,1.01477463899937,32.14138023099804,15.95746675663842,False,planner_feasible,,True,834,417,0,417,True,0.022061088942352983,0.0037534207096703727,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User_Requested_Stop,10.0,3
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,G,2,True,True,,,0.22037368699966464,30.594407878998027,,0.03024337499664398,1.0183962049995898,32.17294784300611,15.95746675663842,False,planner_feasible,,True,834,417,0,417,True,0.022061088942352983,0.0037534207096703727,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User_Requested_Stop,10.0,3
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B0,0,True,True,True,True,0.24780103999364655,,,0.02924042200174881,0.9979500850022305,1.3348101419978775,17.093424865695106,True,planner_feasible,,True,970,421,0,421,True,0.02206616908653258,0.0006900978029061906,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",17.292999999998152,17.292999999998152,2.8756055510020815,1.0,1.0,0.0,0.0009329015449942473,0,0.6724521467491976,0.9620065970000174,0.00011423584067879466,0.0,0.372910249273701,0.0,0.0,11.801,5.293,0.2,0.005,0.001,0.6214632791171961,26.036384867179567,conservative_3d_component_bounding_box_diagonal,0.15004471837107428,0.15042281838491053,0.14992448619883827,0.00014151732862441595,0.00021417653735432887,2.627709166793866e-12,0.0003069250769558066,0.00115027964940939,4.712160915387242e-08,0.00013563327821444727,0.0004308498538049394,0.0,0.0,5.5075342511939896e-05,0.00042281838491053936,0.017585511536295718,0.06590616917094604,0.00021417653735432887,0.024685878226851563,2358,2360,7.737289630491694e-05,0.02206619851968055,execution.h5 and actual scan timestamps; no new solve or simulation,,,
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B0,1,True,True,,,0.24904816500202287,,,0.029413285999908112,1.0078106439978,1.3460396389928064,17.093424865695106,False,planner_feasible,,True,970,421,0,421,True,0.02206616908653258,0.0006900978029061906,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B0,2,True,True,,,0.2490475430022343,,,0.02926879100414226,1.0002711519991863,1.3384993349973229,17.093424865695106,False,planner_feasible,,True,970,421,0,421,True,0.02206616908653258,0.0006900978029061906,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
