site_id,candidate_id,variant,repeat,accepted,failure_kind,position_error,orientation_error,velocity_margin,q
case_00_pre_failure,candidate_00,reused_ordinary,2,False,solver_failure,0.0029473121044806534,0.0036211627783923816,0.0436,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]"
case_00_pre_failure,candidate_00,reused_ordinary,0,False,solver_failure,0.0029473121044806534,0.0036211627783923816,0.0436,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]"
case_00_pre_failure,candidate_00,reused_ordinary,3,False,solver_failure,0.0029473121044806534,0.0036211627783923816,0.0436,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]"
case_00_pre_failure,candidate_01,reused_ordinary,4,True,accepted,1.3434975325256655e-05,4.185768611444645e-06,0.0031126260645492343,"[-2.5959677760925204, 0.8681069536126851, 0.04327787896351711, -0.5273277422279968, -1.7024753358522733, 2.2030316994457677, -2.2424903302570574]"
case_00_pre_failure,candidate_01,reused_ordinary,2,True,accepted,1.3434975325256655e-05,4.185768611444645e-06,0.0031126260645492343,"[-2.5959677760925204, 0.8681069536126851, 0.04327787896351711, -0.5273277422279968, -1.7024753358522733, 2.2030316994457677, -2.2424903302570574]"
case_00_pre_failure,candidate_00,reused_ordinary,1,False,solver_failure,0.0029473121044806534,0.0036211627783923816,0.0436,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]"
case_01_pre_failure,candidate_00,reused_ordinary,0,False,solver_failure,0.006888483269981499,0.022351157264243617,0.0436,"[-1.2914180546906595, -0.037589982794440834, -1.5313244762610967, -2.019454763082975, -1.0775894169894442, 1.86932830876188, -1.8392081849571111]"
case_01_pre_failure,candidate_04,reused_ordinary,2,False,solver_failure,0.006859366075682462,0.022702259277222192,0.0436,"[-1.3042590881774443, -0.05371801165195698, -1.5112999687132591, -2.0196926517881475, -1.0904886005728491, 1.857226282714356, -1.8335933541235585]"
case_01_pre_failure,candidate_05,reused_ordinary,4,False,solver_failure,0.0068884610524014645,0.022351084217378442,0.0436,"[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]"
case_01_pre_failure,candidate_04,reused_ordinary,0,False,solver_failure,0.006859366075682462,0.022702259277222192,0.0436,"[-1.3042590881774443, -0.05371801165195698, -1.5112999687132591, -2.0196926517881475, -1.0904886005728491, 1.857226282714356, -1.8335933541235585]"
case_01_pre_failure,candidate_04,reused_ordinary,4,False,solver_failure,0.006859366075682462,0.022702259277222192,0.0436,"[-1.3042590881774443, -0.05371801165195698, -1.5112999687132591, -2.0196926517881475, -1.0904886005728491, 1.857226282714356, -1.8335933541235585]"
case_01_pre_failure,candidate_04,reused_ordinary,1,False,solver_failure,0.006859366075682462,0.022702259277222192,0.0436,"[-1.3042590881774443, -0.05371801165195698, -1.5112999687132591, -2.0196926517881475, -1.0904886005728491, 1.857226282714356, -1.8335933541235585]"
case_01_pre_failure,candidate_05,reused_ordinary,2,False,solver_failure,0.0068884610524014645,0.022351084217378442,0.0436,"[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]"
case_01_pre_failure,candidate_05,reused_ordinary,1,False,solver_failure,0.0068884610524014645,0.022351084217378442,0.0436,"[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]"
case_01_pre_failure,candidate_05,reused_ordinary,3,False,solver_failure,0.0068884610524014645,0.022351084217378442,0.0436,"[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]"
case_01_pre_failure,candidate_00,reused_ordinary,3,False,solver_failure,0.006888483269981499,0.022351157264243617,0.0436,"[-1.2914180546906595, -0.037589982794440834, -1.5313244762610967, -2.019454763082975, -1.0775894169894442, 1.86932830876188, -1.8392081849571111]"
case_01_pre_failure,candidate_00,reused_ordinary,4,False,solver_failure,0.006888483269981499,0.022351157264243617,0.0436,"[-1.2914180546906595, -0.037589982794440834, -1.5313244762610967, -2.019454763082975, -1.0775894169894442, 1.86932830876188, -1.8392081849571111]"
case_01_pre_failure,candidate_05,reused_ordinary,0,False,solver_failure,0.0068884610524014645,0.022351084217378442,0.0436,"[-1.2914180068763617, -0.037589883577423426, -1.5313245601712437, -2.019454846184302, -1.0775893164925046, 1.869328375377989, -1.8392082479830762]"
case_01_pre_failure,candidate_04,reused_ordinary,3,False,solver_failure,0.006859366075682462,0.022702259277222192,0.0436,"[-1.3042590881774443, -0.05371801165195698, -1.5112999687132591, -2.0196926517881475, -1.0904886005728491, 1.857226282714356, -1.8335933541235585]"
case_01_pre_failure,candidate_00,reused_ordinary,2,False,solver_failure,0.006888483269981499,0.022351157264243617,0.0436,"[-1.2914180546906595, -0.037589982794440834, -1.5313244762610967, -2.019454763082975, -1.0775894169894442, 1.86932830876188, -1.8392081849571111]"
case_01_pre_failure,candidate_00,reused_ordinary,1,False,solver_failure,0.006888483269981499,0.022351157264243617,0.0436,"[-1.2914180546906595, -0.037589982794440834, -1.5313244762610967, -2.019454763082975, -1.0775894169894442, 1.86932830876188, -1.8392081849571111]"
case_02_pre_failure,candidate_00,reused_ordinary,0,False,solver_failure,0.00514201343540828,0.01432553065875109,0.0436,"[0.1339159760878378, -1.4362053789811409, -2.8963581400399048, -1.0285045822736745, 1.505862407238179, 3.3895163866779106, 2.0116520599769645]"
case_02_pre_failure,candidate_04,reused_ordinary,2,False,solver_failure,0.005142143737955361,0.014325933188731068,0.0436,"[0.13391623808719288, -1.436206401385364, -2.896357870576206, -1.02850323753735, 1.5058621646088304, 3.38951638542389, 2.011651829666365]"
case_02_pre_failure,candidate_03,reused_ordinary,2,False,solver_failure,0.005095737617270035,0.014771813098705625,0.0436,"[0.12207997354135901, -1.4408357050322766, -2.8744727938014156, -1.0197980718665582, 1.5132457991027564, 3.3995532979433967, 1.9818115841882704]"
case_02_pre_failure,candidate_00,reused_ordinary,1,False,solver_failure,0.00514201343540828,0.01432553065875109,0.0436,"[0.1339159760878378, -1.4362053789811409, -2.8963581400399048, -1.0285045822736745, 1.505862407238179, 3.3895163866779106, 2.0116520599769645]"
case_02_pre_failure,candidate_03,reused_ordinary,3,False,solver_failure,0.005095737617270035,0.014771813098705625,0.0436,"[0.12207997354135901, -1.4408357050322766, -2.8744727938014156, -1.0197980718665582, 1.5132457991027564, 3.3995532979433967, 1.9818115841882704]"
case_02_pre_failure,candidate_03,reused_ordinary,4,False,solver_failure,0.005095737617270035,0.014771813098705625,0.0436,"[0.12207997354135901, -1.4408357050322766, -2.8744727938014156, -1.0197980718665582, 1.5132457991027564, 3.3995532979433967, 1.9818115841882704]"
case_02_pre_failure,candidate_03,reused_ordinary,0,False,solver_failure,0.005095737617270035,0.014771813098705625,0.0436,"[0.12207997354135901, -1.4408357050322766, -2.8744727938014156, -1.0197980718665582, 1.5132457991027564, 3.3995532979433967, 1.9818115841882704]"
case_02_pre_failure,candidate_00,reused_ordinary,3,False,solver_failure,0.00514201343540828,0.01432553065875109,0.0436,"[0.1339159760878378, -1.4362053789811409, -2.8963581400399048, -1.0285045822736745, 1.505862407238179, 3.3895163866779106, 2.0116520599769645]"
case_02_pre_failure,candidate_04,reused_ordinary,4,False,solver_failure,0.005142143737955361,0.014325933188731068,0.0436,"[0.13391623808719288, -1.436206401385364, -2.896357870576206, -1.02850323753735, 1.5058621646088304, 3.38951638542389, 2.011651829666365]"
case_02_pre_failure,candidate_04,reused_ordinary,0,False,solver_failure,0.005142143737955361,0.014325933188731068,0.0436,"[0.13391623808719288, -1.436206401385364, -2.896357870576206, -1.02850323753735, 1.5058621646088304, 3.38951638542389, 2.011651829666365]"
case_02_pre_failure,candidate_04,reused_ordinary,3,False,solver_failure,0.005142143737955361,0.014325933188731068,0.0436,"[0.13391623808719288, -1.436206401385364, -2.896357870576206, -1.02850323753735, 1.5058621646088304, 3.38951638542389, 2.011651829666365]"
case_02_pre_failure,candidate_03,reused_ordinary,1,False,solver_failure,0.005095737617270035,0.014771813098705625,0.0436,"[0.12207997354135901, -1.4408357050322766, -2.8744727938014156, -1.0197980718665582, 1.5132457991027564, 3.3995532979433967, 1.9818115841882704]"
case_02_pre_failure,candidate_00,reused_ordinary,2,False,solver_failure,0.00514201343540828,0.01432553065875109,0.0436,"[0.1339159760878378, -1.4362053789811409, -2.8963581400399048, -1.0285045822736745, 1.505862407238179, 3.3895163866779106, 2.0116520599769645]"
case_02_pre_failure,candidate_04,reused_ordinary,1,False,solver_failure,0.005142143737955361,0.014325933188731068,0.0436,"[0.13391623808719288, -1.436206401385364, -2.896357870576206, -1.02850323753735, 1.5058621646088304, 3.38951638542389, 2.011651829666365]"
case_02_pre_failure,candidate_00,reused_ordinary,4,False,solver_failure,0.00514201343540828,0.01432553065875109,0.0436,"[0.1339159760878378, -1.4362053789811409, -2.8963581400399048, -1.0285045822736745, 1.505862407238179, 3.3895163866779106, 2.0116520599769645]"
