run_id,site_id,uid,role,candidate_id,variant,repeat,frame,frames,complete,accepted_frames,first_failure,first_failure_kind,contiguous_success_frames,total_latency_ns,refinement_latency_ns,refinement_residual_calls,refinement_scipy_nfev,initial_refinement_latency_ns,initial_refinement_residual_calls,native_trac_fev,total_fev,witness
case_01_pre_failure_matched_02_ordinary_matched_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_02,ordinary_matched,2,33,30,True,30,,,30,15157338,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_02_ordinary_matched_r2.json
case_01_pre_failure_matched_02_ordinary_matched_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_02,ordinary_matched,0,33,30,True,30,,,30,15215504,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_02_ordinary_matched_r0.json
case_01_pre_failure_matched_04_ordinary_matched_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_04,ordinary_matched,4,33,30,True,30,,,30,15100587,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_04_ordinary_matched_r4.json
case_01_pre_failure_candidate_00_uniform_refinement_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,candidate_00,uniform_refinement,1,33,30,False,0,34,solver_failure,0,162597509,0,0,0,174605567,1600,,,
case_01_pre_failure_matched_00_ordinary_matched_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_00,ordinary_matched,3,33,30,False,0,34,solver_failure,0,163609819,0,0,0,0,0,,,
case_01_pre_failure_candidate_00_uniform_refinement_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,candidate_00,uniform_refinement,4,33,30,False,0,34,solver_failure,0,163389574,0,0,0,174108364,1600,,,
case_01_pre_failure_candidate_00_uniform_refinement_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,candidate_00,uniform_refinement,3,33,30,False,0,34,solver_failure,0,164333774,0,0,0,172276771,1600,,,
case_01_pre_failure_matched_05_ordinary_matched_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_05,ordinary_matched,1,33,30,True,30,,,30,15683775,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_05_ordinary_matched_r1.json
case_01_pre_failure_matched_01_ordinary_matched_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_01,ordinary_matched,1,33,30,True,30,,,30,15055810,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_01_ordinary_matched_r1.json
case_01_pre_failure_matched_02_ordinary_matched_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_02,ordinary_matched,1,33,30,True,30,,,30,15176363,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_02_ordinary_matched_r1.json
case_01_pre_failure_matched_00_ordinary_matched_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_00,ordinary_matched,0,33,30,False,0,34,solver_failure,0,162723523,0,0,0,0,0,,,
case_01_pre_failure_matched_01_ordinary_matched_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_01,ordinary_matched,4,33,30,True,30,,,30,16395427,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_01_ordinary_matched_r4.json
case_01_pre_failure_candidate_00_uniform_refinement_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,candidate_00,uniform_refinement,0,33,30,False,0,34,solver_failure,0,162670576,0,0,0,174223024,1600,,,
case_01_pre_failure_matched_03_ordinary_matched_r1,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_03,ordinary_matched,1,33,30,False,0,34,solver_failure,0,164400842,0,0,0,0,0,,,
