slot,scene_uid,cluster,robot,family,placement,direction,method,repeat,status,planner_feasible,physical_run,quality_completed,execution_completed,T_init,T_smooth,T_opt,T_retime,T_validate,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,total_plan_wall_s,solver_return_status,checkpoint_selected,feasible_checkpoint_count,dense_geometry_feasible,dense_min_clearance_m,predicted_execution_s,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,shared_initial_sha256
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B1,2,planner_feasible,True,False,,,0.2065823479933897,30.88191857401398,,0.032689832005416974,1.0001414220023435,True,838,419,0,32.40202941700409,User_Requested_Stop,10.0,3,True,0.017122862877056964,19.344752170635537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B2,0,planner_feasible,True,True,True,True,32.463791049987776,,30.910029064005357,0.033053005987312645,1.0029263260075822,,,,,65.19641100399895,User_Requested_Stop,10.0,3,True,0.017122862819509768,19.328561431386134,19.528000000000883,19.528000000000883,3.588606516990694,0.9999999999999961,0.9999999999999961,0.0,0.0008469223343324698,0,0.28142876265645017,0.82584716708677,8.691538974589519e-05,0.0,0.16442606662751622,0.0,0.0,15.215,4.114,0.2,0.001,0.001,0.47462820254778193,31.754279580866893,conservative_3d_component_bounding_box_diagonal,0.15001397610210254,0.1500211811489016,0.14999961618278657,0.00025308637865034775,0.00038273594004919684,2.2215299868541707e-16,0.0003358835430350169,0.0006194070725336679,0.0,0.0002734464427982969,0.0004908361078025204,0.0,0.0,c592b3bb80e7b56c4e1c4adb803b42a7eb80d5ce0ec38c30203ea3ab7a5bc78c
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B2,1,planner_feasible,True,False,,,32.463791049987776,,30.818509210002958,0.03272354500950314,1.0057744719961192,,,,,65.1131653579796,User_Requested_Stop,10.0,3,True,0.017122862819509768,19.328561431386134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c592b3bb80e7b56c4e1c4adb803b42a7eb80d5ce0ec38c30203ea3ab7a5bc78c
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B2,2,planner_feasible,True,False,,,32.463791049987776,,31.061088497997844,0.03293333400506526,1.0131332939927233,,,,,65.36930049597868,User_Requested_Stop,10.0,3,True,0.017122862819509768,19.328561431386134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c592b3bb80e7b56c4e1c4adb803b42a7eb80d5ce0ec38c30203ea3ab7a5bc78c
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,G,0,planner_feasible,True,True,True,True,0.20520762499654666,31.038861906999955,,0.03294692999043036,1.0060751809942303,True,838,419,0,32.56059323300724,User_Requested_Stop,10.0,3,True,0.017122862877056964,19.344752170635537,19.544000000000903,19.544000000000903,3.603179113997612,0.9999999999999961,0.9999999999999961,0.0,0.0008476780111115499,0,0.28129283760490775,0.82473769557263,6.847648250851712e-05,0.0,0.16428031883557498,0.0,0.0,15.224,4.121,0.2,0.001,0.001,0.47422003102946597,31.809321157458495,conservative_3d_component_bounding_box_diagonal,0.15001398081253223,0.15002111289219133,0.1499996228778323,5.129216764650385e-05,0.00034163344445062576,2.2215299868541707e-16,8.565933340300352e-05,0.0006139041425130812,0.0,4.73631208658285e-05,6.723610669153381e-05,0.0,0.0,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,G,1,planner_feasible,True,False,,,0.20456579700112343,31.102343157006544,,0.03283663699403405,0.9961467539978912,True,838,419,0,32.61597601798712,User_Requested_Stop,10.0,3,True,0.017122862877056964,19.344752170635537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,G,2,planner_feasible,True,False,,,0.20690699700207915,31.259745483999723,,0.03272369199839886,1.0062587360007456,True,838,419,0,32.78597236800124,User_Requested_Stop,10.0,3,True,0.017122862877056964,19.344752170635537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B0,0,planner_feasible,True,True,True,True,0.35527171700960025,,,0.033635615996900015,0.9942296480003279,True,1572,427,0,1.407735998989665,,,,True,0.01712288072379627,20.101814062143163,20.301000000001828,20.301000000001828,3.6219052900123643,0.9999999999999961,0.9999999999999961,0.0,0.0008904394000924024,0,0.4506670253304393,0.8527671120903632,0.00010313442047996113,0.0,0.16477678961637476,0.0,0.0,14.216000000000001,5.886,0.2,0.001,0.001,0.7467218396178379,43.87809495485262,conservative_3d_component_bounding_box_diagonal,0.15007767248009007,0.15013273214271297,0.1499259120951684,5.7280287084690046e-05,7.450456533022314e-05,2.615696107623295e-16,0.00026970588938093567,0.00043645636682163524,0.0,0.00014397811814643413,0.00019722036457931993,0.0,0.0,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B0,1,planner_feasible,True,False,,,0.36506474899942987,,,0.03278843099542428,1.003371109996806,True,1572,427,0,1.4262041969923303,,,,True,0.01712288072379627,20.101814062143163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B0,2,planner_feasible,True,False,,,0.35300844100129325,,,0.03323611299856566,1.0025125389947789,True,1572,427,0,1.4132459590036888,,,,True,0.01712288072379627,20.101814062143163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B1,0,planner_feasible,True,True,True,True,0.2099444119958207,30.16463523800485,,0.03288481700292323,1.0089296299993293,True,854,427,0,31.696436729005654,User_Requested_Stop,10.0,3,True,0.017122868760545785,20.179441836439008,20.379000000001923,20.379000000001923,3.6460657110001193,0.9999999999999961,0.9999999999999961,0.0,0.0008872397404337132,0,0.4493272575891009,0.8460528370160137,9.240192799050972e-05,0.0,0.16458072063825657,0.0,0.0,14.267,5.913,0.2,0.001,0.001,0.7418626841704313,44.113896578710076,conservative_3d_component_bounding_box_diagonal,0.15010399783370612,0.15015796593958108,0.14993416484588173,7.406214319325315e-05,0.00021502885208848216,2.615696107623295e-16,0.0005297864937270285,0.0005711397821012459,0.0,0.00015975752800698228,0.00022434158468081502,0.0,0.0,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B1,1,planner_feasible,True,False,,,0.20996337600809056,30.347832261002623,,0.033158299993374385,1.0041861630015774,True,854,427,0,31.87214923198917,User_Requested_Stop,10.0,3,True,0.017122868760545785,20.179441836439008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B1,2,planner_feasible,True,False,,,0.21023530400998425,30.156718705999083,,0.03303742500429507,0.9945757759996923,True,854,427,0,31.667262160000973,User_Requested_Stop,10.0,3,True,0.017122868760545785,20.179441836439008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B2,0,planner_feasible,True,True,True,True,31.696436729005654,,26.29848785600916,0.03313218599942047,1.01499824700295,,,,,59.677506789012114,Solve_Succeeded,10.0,3,True,0.01712285475315407,20.147382181450773,20.347000000001884,20.347000000001884,3.6400067010108614,0.9999999999999961,0.9999999999999961,0.0,0.0008867328909827135,0,0.4480966618068075,0.846616803235979,8.538741794635041e-05,0.0,0.1645739403633904,0.0,0.0,14.259,5.889,0.2,0.001,0.001,0.7410140356544955,44.60616079575978,conservative_3d_component_bounding_box_diagonal,0.15010806624365727,0.1501611167340462,0.14993116865651684,8.29996746290534e-05,0.00022425633633675875,2.615696107623295e-16,0.0007032761866823487,0.0011634305854640685,0.0,0.00038284549893261304,0.0005730083284343845,0.0,0.0,6e091a39c134d81ac56d277d73ff88966cffd2c4075d2fd6c603efb1ff1cb9f5
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B2,1,planner_feasible,True,False,,,31.696436729005654,,26.102468976998352,0.032961429009446874,0.998652628986747,,,,,59.45636165300675,Solve_Succeeded,10.0,3,True,0.01712285475315407,20.147382181450773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e091a39c134d81ac56d277d73ff88966cffd2c4075d2fd6c603efb1ff1cb9f5
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,B2,2,planner_feasible,True,False,,,31.696436729005654,,26.144676285999594,0.032948051011771895,1.012549407008919,,,,,59.50916112100822,Solve_Succeeded,10.0,3,True,0.01712285475315407,20.147382181450773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e091a39c134d81ac56d277d73ff88966cffd2c4075d2fd6c603efb1ff1cb9f5
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,G,0,planner_feasible,True,True,True,True,0.20940811700711492,30.117162518014084,,0.0331593329901807,0.999945678995573,True,854,427,0,31.628443312991294,User_Requested_Stop,10.0,3,True,0.017122868760545785,20.179441836439008,20.379000000001923,20.379000000001923,3.611459863008349,0.9999999999999961,0.9999999999999961,0.0,0.0008872397404337132,0,0.4493272575891009,0.8460528370160137,9.240192799050972e-05,0.0,0.16458072063825657,0.0,0.0,14.267,5.913,0.2,0.001,0.001,0.7418626841704313,44.113896578710076,conservative_3d_component_bounding_box_diagonal,0.15010399783370612,0.15015796593958108,0.14993416484588173,7.406214319325315e-05,0.00021502885208848216,2.615696107623295e-16,0.0005297864937270285,0.0005711397821012459,0.0,0.00015975752800698228,0.00022434158468081502,0.0,0.0,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,G,1,planner_feasible,True,False,,,0.2098712579900166,30.224086104004527,,0.03331566399720032,0.9974284280033316,True,854,427,0,31.740623124002013,User_Requested_Stop,10.0,3,True,0.017122868760545785,20.179441836439008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e_saddle_p0,ur5e,saddle,0,v,G,2,planner_feasible,True,False,,,0.24349443799292203,30.4478845380072,,0.032774282997706905,1.0114987470005872,True,854,427,0,32.00573843299935,User_Requested_Stop,10.0,3,True,0.017122868760545785,20.179441836439008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
