slot,robot,family,method,repeat,status,optimizer_build_time,optimizer_solver_time,optimizer_elapsed,optimizer_iterations,optimizer_status,optimizer_sample_constraint_violation,optimizer_solver_feasible,verified_improved_incumbents,checkpoint_1.0_available_s,checkpoint_1.0_source,checkpoint_1.0_objective,checkpoint_1.0_relative_to_initial,checkpoint_5.0_available_s,checkpoint_5.0_source,checkpoint_5.0_objective,checkpoint_5.0_relative_to_initial,checkpoint_10.0_available_s,checkpoint_10.0_source,checkpoint_10.0_objective,checkpoint_10.0_relative_to_initial,checkpoint_30.0_available_s,checkpoint_30.0_source,checkpoint_30.0_objective,checkpoint_30.0_relative_to_initial,primary_control_change_max_rad
ur5e_cylinder_p0_u,ur5e,cylinder,B2,2,planner_feasible,4.101342880006996,26.136623258993495,30.23796572300489,60,User_Requested_Stop,0.0,,6,,,,,1.738683425995987,verified_initial_path,23.457692006740416,1.0,8.828263318006066,nonlinear_validated_iterate,23.451392357605897,0.9997314463361225,21.291232069997932,nonlinear_validated_iterate,23.00457207052381,0.9806835243600945,0.0005600289564143823
ur5e_cylinder_p0_u,ur5e,cylinder,G,0,planner_feasible,2.1823842839949066,29.14347573100531,31.325859810996917,50,User_Requested_Stop,0.06052433048938011,False,0,,,,,1.0416854329960188,verified_initial_path,8.01976440585975,1.0,1.0416854329960188,verified_initial_path,8.01976440585975,1.0,1.0416854329960188,verified_initial_path,8.01976440585975,1.0,
ur5e_cylinder_p0_u,ur5e,cylinder,G,1,planner_feasible,2.1988392019993626,29.470980464000604,31.669819552989793,50,User_Requested_Stop,0.06052433048938011,False,0,,,,,1.051529660995584,verified_initial_path,8.01976440585975,1.0,1.051529660995584,verified_initial_path,8.01976440585975,1.0,1.051529660995584,verified_initial_path,8.01976440585975,1.0,
ur5e_cylinder_p0_u,ur5e,cylinder,G,2,planner_feasible,2.180744819008396,29.17009005,31.350834769007633,50,User_Requested_Stop,0.06052433048938011,False,0,,,,,1.0380152860016096,verified_initial_path,8.01976440585975,1.0,1.0380152860016096,verified_initial_path,8.01976440585975,1.0,1.0380152860016096,verified_initial_path,8.01976440585975,1.0,
ur5e_cylinder_p0_v,ur5e,cylinder,B1,0,planner_feasible,2.2065769899927545,28.11543264600914,30.322009495997918,45,User_Requested_Stop,1.0258436572038807,False,1,,,,,1.0585640819917899,verified_initial_path,5.1558336719776126,1.0,1.0585640819917899,verified_initial_path,5.1558336719776126,1.0,23.767981069991947,nonlinear_validated_iterate,0.4008294973906892,0.0777429069462095,
ur5e_cylinder_p0_v,ur5e,cylinder,B1,1,planner_feasible,2.196494966992759,28.10728633600229,30.303781119000632,45,User_Requested_Stop,1.0258436572038807,False,1,,,,,1.049988739003311,verified_initial_path,5.1558336719776126,1.0,1.049988739003311,verified_initial_path,5.1558336719776126,1.0,23.724867106997408,nonlinear_validated_iterate,0.4008294973906892,0.0777429069462095,
ur5e_cylinder_p0_v,ur5e,cylinder,B1,2,planner_feasible,2.1872015639964957,28.0092805220047,30.19648195800255,45,User_Requested_Stop,1.0258436572038807,False,1,,,,,1.04444350299309,verified_initial_path,5.1558336719776126,1.0,1.04444350299309,verified_initial_path,5.1558336719776126,1.0,23.647772595999413,nonlinear_validated_iterate,0.4008294973906892,0.0777429069462095,
ur5e_cylinder_p0_v,ur5e,cylinder,B2,0,planner_feasible,3.812526934008929,27.125538117994438,30.9380646750069,75,User_Requested_Stop,0.00545944789866315,,8,,,,,1.7501534119946882,verified_initial_path,24.940553136117902,1.0,8.363123899995117,nonlinear_validated_iterate,24.89438402623086,0.9981488337634268,21.209989454000606,nonlinear_validated_iterate,18.93066917488201,0.7590316490401883,0.00031095366406130864
ur5e_cylinder_p0_v,ur5e,cylinder,B2,1,planner_feasible,3.7701905499998247,27.239966512992396,31.01015667099273,75,User_Requested_Stop,0.00545944789866315,,8,,,,,1.7171522839926183,verified_initial_path,24.940553136117902,1.0,8.341321608997532,nonlinear_validated_iterate,24.89438402623086,0.9981488337634268,21.27587855499587,nonlinear_validated_iterate,18.93066917488201,0.7590316490401883,0.00031095366406130864
ur5e_cylinder_p0_v,ur5e,cylinder,B2,2,planner_feasible,3.7520646329940064,27.177225934006856,30.92929000199365,75,User_Requested_Stop,0.00545944789866315,,8,,,,,1.713994385994738,verified_initial_path,24.940553136117902,1.0,8.302337988003273,nonlinear_validated_iterate,24.89438402623086,0.9981488337634268,21.223162677997607,nonlinear_validated_iterate,18.93066917488201,0.7590316490401883,0.00031095366406130864
ur5e_cylinder_p0_v,ur5e,cylinder,G,0,planner_feasible,2.2258528810052667,28.416663725991384,30.642516421998153,45,User_Requested_Stop,1.0258436572038807,False,1,,,,,1.0803316340025049,verified_initial_path,5.1558336719776126,1.0,1.0803316340025049,verified_initial_path,5.1558336719776126,1.0,24.027368965005735,nonlinear_validated_iterate,0.4008294973906892,0.0777429069462095,
ur5e_cylinder_p0_v,ur5e,cylinder,G,1,planner_feasible,2.25930339799379,28.13683094200678,30.396134230002644,45,User_Requested_Stop,1.0258436572038807,False,1,,,,,1.0595436529984,verified_initial_path,5.1558336719776126,1.0,1.0595436529984,verified_initial_path,5.1558336719776126,1.0,23.85421734600095,nonlinear_validated_iterate,0.4008294973906892,0.0777429069462095,
ur5e_cylinder_p0_v,ur5e,cylinder,G,2,planner_feasible,2.1917195419955533,27.95131453400245,30.143033977001323,45,User_Requested_Stop,1.0258436572038807,False,1,,,,,1.0503385329939192,verified_initial_path,5.1558336719776126,1.0,1.0503385329939192,verified_initial_path,5.1558336719776126,1.0,23.63951336199534,nonlinear_validated_iterate,0.4008294973906892,0.0777429069462095,
ur5e_cylinder_p1_u,ur5e,cylinder,B1,0,planner_feasible,2.1771949079993647,28.739949829992838,30.91714456200134,50,User_Requested_Stop,1.071605080652339,False,1,,,,,3.778228568000486,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.778228568000486,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.778228568000486,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,
ur5e_cylinder_p1_u,ur5e,cylinder,B1,1,planner_feasible,2.1794665369961876,29.23188321100315,31.411349629997858,50,User_Requested_Stop,1.071605080652339,False,1,,,,,3.8548967509996146,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.8548967509996146,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.8548967509996146,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,
ur5e_cylinder_p1_u,ur5e,cylinder,B1,2,planner_feasible,2.181296729002497,28.7267146249942,30.908011238992913,50,User_Requested_Stop,1.071605080652339,False,1,,,,,3.789773212003638,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.789773212003638,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,3.789773212003638,nonlinear_validated_iterate,13.56145517735741,0.9999999999999996,
ur5e_cylinder_p1_u,ur5e,cylinder,B2,0,planner_feasible,4.06268864699814,25.99298753000039,30.0556757489976,60,User_Requested_Stop,0.0,,0,,,,,1.7122618430003058,verified_initial_path,23.918464850189068,1.0,1.7122618430003058,verified_initial_path,23.918464850189068,1.0,1.7122618430003058,verified_initial_path,23.918464850189068,1.0,0.0
ur5e_cylinder_p1_u,ur5e,cylinder,B2,1,planner_feasible,4.08525826400728,26.97615099399991,31.06140886999492,60,User_Requested_Stop,0.0,,0,,,,,1.7332727189932484,verified_initial_path,23.918464850189068,1.0,1.7332727189932484,verified_initial_path,23.918464850189068,1.0,1.7332727189932484,verified_initial_path,23.918464850189068,1.0,0.0
