slot,scene_uid,robot,family,tb_statuses,tb_T_init,tb_initialization_success_repeat_mean,tb_initialization_nodes,tb_initialization_node_process_legal,tb_initialization_residual_evaluations,tb_tb_dual_continuation_calls,tb_smoothing_displacement_rms_rad,tb_planner_feasible_repeat_mean,tb_quality_completed,tb_quality_execution_s,tb_T_retime,tb_total_plan_wall_s,gn_statuses,gn_T_init,gn_initialization_success_repeat_mean,gn_initialization_nodes,gn_initialization_node_process_legal,gn_initialization_residual_evaluations,gn_tb_dual_continuation_calls,gn_smoothing_displacement_rms_rad,gn_planner_feasible_repeat_mean,gn_quality_completed,gn_quality_execution_s,gn_T_retime,gn_total_plan_wall_s,initial_q_difference_max_rad,final_control_difference_max_rad
panda_saddle_p1_u,9ced85a1ec2cd96c165d3ed941ec82457e30e182c4d037796ec472ed639f71b3,panda,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21906219533411786,1.0,419.0,,838.0,0.0,,1.0,True,19.587000000000955,0.0326997549952163,33.85517719966689,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21872649666814445,1.0,419.0,,838.0,0.0,,1.0,True,19.587000000000955,0.03265402733813971,34.030893589995685,0.0,0.0
panda_saddle_p1_v,5f43b4d6461fcea3fe8ed7073c7de83186d13133f6cb072fc4eb2c12336a6b6c,panda,saddle,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.23430339633584177,1.0,427.0,,917.0,16.0,,0.0,,,,31.001641956327756,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.23299101233230127,1.0,427.0,,917.0,0.0,,0.0,,,,30.983718999666355,0.0,
ur5e_cylinder_p0_u,5d9aac3d7faa587a77b4ef01338725dc9ae7ca13f0a04df57de39f2cb095a9ac,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.207309446001697,1.0,419.0,,838.0,0.0,,1.0,True,23.65700000000593,0.03331553466947904,32.914807248002035,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2061019823352884,1.0,419.0,,838.0,0.0,,1.0,True,23.65700000000593,0.03318129167018924,32.9634421489997,0.0,0.0
ur5e_cylinder_p0_v,b181f4aea3dacadfb66671a2eea89b411650ea76f729a02a7b8c5f249579c5f5,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20909579166618641,1.0,427.0,,854.0,0.0,,1.0,True,25.140000000007742,0.03295014467342602,31.805861158669966,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20902425900082258,1.0,427.0,,854.0,0.0,,1.0,True,25.140000000007742,0.033054418997683875,31.92227781599892,0.0,0.0
ur5e_cylinder_p1_u,78356a8fe9f1e85ce2b8185467eefe91275f3763ead11629ba2fd1962fc65f9a,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20743676266283728,1.0,419.0,,838.0,0.0,,1.0,True,24.118000000006493,0.032891780666735336,32.61349707432964,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20658843400209057,1.0,419.0,,838.0,0.0,,1.0,True,24.118000000006493,0.033023045335236624,32.43834775166761,0.0,0.0
ur5e_cylinder_p1_v,2d20f99cf6c82aa207e523443bbea9c8b2f83a71121fed63556e715ac9a2a97f,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2096759166646128,1.0,427.0,,854.0,0.0,,1.0,True,24.725000000007235,0.03319740199367516,31.75051817932884,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2083932203289199,1.0,427.0,,854.0,0.0,,1.0,True,24.725000000007235,0.0331026896747062,31.92896742566275,0.0,0.0
ur5e_plane_p0_u,74c4b355832ae88369ec214894ab6b8c7e91246fa0de0bbe376637861cd8eed7,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20799832099874038,1.0,419.0,,838.0,0.0,,1.0,True,19.38500000000071,0.032084084993888005,31.60354436133154,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20548127933579963,1.0,419.0,,838.0,0.0,,1.0,True,19.38500000000071,0.03202020633034408,32.30333033866191,0.0,0.0
ur5e_plane_p0_v,b4cbe6298b4c8842e3d61c4c05cef1b634d1de760788b1ccb4c7c2647062845b,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21002135266705105,1.0,427.0,,854.0,0.0,,1.0,True,20.176000000001675,0.0319403363391757,32.462042234333545,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20924145900062285,1.0,427.0,,854.0,0.0,,1.0,True,20.176000000001675,0.03201115866734957,32.460012703338485,0.0,0.0
ur5e_plane_p1_u,403cb6773f1a1675c7f7f184c8e8c74848c8e1cd56930a8f81eb78de27e1428a,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20659036733074268,1.0,419.0,,838.0,0.0,,1.0,True,19.119000000000383,0.03210565033077728,32.78761622366437,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20560729666127978,1.0,419.0,,838.0,0.0,,1.0,True,19.119000000000383,0.0320166163292015,32.6547838733289,0.0,0.0
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21191369400185067,1.0,427.0,,854.0,0.0,,1.0,True,20.67800000000229,0.03211349966780593,32.93537494900132,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2093949713356172,1.0,427.0,,854.0,0.0,,1.0,True,20.67800000000229,0.03209493433435758,32.87395845165884,0.0,0.0
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20616776366659906,1.0,419.0,,838.0,0.0,,1.0,True,19.544000000000903,0.0328861223339724,32.47670422033116,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20556013966658307,1.0,419.0,,838.0,0.0,,1.0,True,19.544000000000903,0.03283575299428776,32.6541805396652,0.0,0.0
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21004769733796516,1.0,427.0,,854.0,0.0,,1.0,True,20.379000000001923,0.033026847333530895,31.745282706998598,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22092460433001784,1.0,427.0,,854.0,0.0,,1.0,True,20.379000000001923,0.033083093328362644,31.791601623330887,0.0,0.0
ur5e_saddle_p1_u,131c413eea68307c7e2869678e592255d46b9ff65ebdafcb0874ee15554f5ed5,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20589914800075348,1.0,419.0,,838.0,0.0,,1.0,True,19.556000000000918,0.033254147667321377,32.395968878665975,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20686022767040413,1.0,419.0,,838.0,0.0,,1.0,True,19.556000000000918,0.03322367666502638,32.24907068499791,0.0,0.0
ur5e_saddle_p1_v,88778a5202fca058c5e99dc6c571ebc77b922de005dac1eb6c79648bfb8c2dc8,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21048110067204107,1.0,427.0,,854.0,0.0,,1.0,True,21.18500000000291,0.03346372099864917,32.17429723133197,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2094687420030823,1.0,427.0,,854.0,0.0,,1.0,True,21.18500000000291,0.033282468333103075,32.27604298232958,0.0,0.0
