input_id,robot,method,source_methods,source_trajectories,accepted_fraction,within_20ms_fraction,latency_ms_mean,evaluations_mean,iterations_mean,statuses
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,task_excess_gn,"[""single_gn_osqp""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,13.624399,89.0,17.0,"{""stationary"":3}"
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,task_excess_lbfgsb,"[""single_gn_osqp""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,6.306905,35.0,,"{""optimizer_stop"":3}"
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,task_excess_isotropic,"[""single_gn_osqp""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,13.315734,89.0,30.0,"{""iteration_limit"":3}"
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,point_loop_control,"[""single_gn_osqp""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,14.707623,108.0,16.0,"{""stationary"":3}"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,single_gn_k0,"[""single_gn_osqp""]","[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]",0.0,0.0,7.522768666666667,188.0,30.0,"{""iteration_limit"":3}"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,single_gn_k1,"[""single_gn_osqp""]","[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]",0.0,0.0,7.459578,186.0,30.0,"{""iteration_limit"":3}"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,task_excess_gn,"[""single_gn_osqp""]","[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]",1.0,1.0,4.357861333333333,25.0,11.0,"{""task_admissible"":3}"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,task_excess_lbfgsb,"[""single_gn_osqp""]","[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]",1.0,1.0,5.270692333333333,29.0,,"{""task_admissible"":3}"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,task_excess_isotropic,"[""single_gn_osqp""]","[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]",0.0,0.0,20.183836,140.33333333333334,21.0,"{""deadline"":3}"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,point_loop_control,"[""single_gn_osqp""]","[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]",0.0,0.0,20.194226333333333,146.0,25.0,"{""deadline"":3}"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,single_gn_k0,"[""single_gn_clip""]","[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]",1.0,1.0,0.3036956666666667,4.0,2.0,"{""task_candidate"":3}"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,single_gn_k1,"[""single_gn_clip""]","[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]",1.0,1.0,0.3038226666666667,4.0,2.0,"{""task_candidate"":3}"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,task_excess_gn,"[""single_gn_clip""]","[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]",1.0,1.0,1.1069866666666668,6.0,3.0,"{""task_admissible"":3}"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,task_excess_lbfgsb,"[""single_gn_clip""]","[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]",1.0,1.0,2.3095473333333336,12.0,,"{""task_admissible"":3}"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,task_excess_isotropic,"[""single_gn_clip""]","[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]",1.0,1.0,0.893571,5.0,2.0,"{""task_admissible"":3}"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,point_loop_control,"[""single_gn_clip""]","[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]",1.0,1.0,0.4337553333333333,2.0,1.0,"{""task_admissible"":3}"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,single_gn_k0,"[""single_gn_k1""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,3.7874733333333337,100.0,15.0,"{""stationary"":3}"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,single_gn_k1,"[""single_gn_k1""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,3.9533793333333334,106.0,14.0,"{""no_descent"":3}"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,task_excess_gn,"[""single_gn_k1""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",1.0,1.0,2.925734,17.0,7.0,"{""task_admissible"":3}"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,task_excess_lbfgsb,"[""single_gn_k1""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,6.537682,37.0,,"{""optimizer_stop"":3}"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,task_excess_isotropic,"[""single_gn_k1""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",1.0,1.0,1.7491743333333332,10.0,3.0,"{""task_admissible"":3}"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,point_loop_control,"[""single_gn_k1""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,10.550011333333334,77.0,15.0,"{""stationary"":3}"
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,single_gn_k0,"[""single_gn_clip""]","[""d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663""]",0.0,0.0,3.6461846666666666,98.0,14.0,"{""stationary"":3}"
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,single_gn_k1,"[""single_gn_clip""]","[""d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663""]",0.0,0.0,3.6873343333333333,98.0,14.0,"{""stationary"":3}"
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,task_excess_gn,"[""single_gn_clip""]","[""d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663""]",0.0,0.0,11.702359666666666,75.0,16.0,"{""stationary"":3}"
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,task_excess_lbfgsb,"[""single_gn_clip""]","[""d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663""]",0.0,0.0,5.776240333333333,32.0,,"{""optimizer_stop"":3}"
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,task_excess_isotropic,"[""single_gn_clip""]","[""d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663""]",0.0,0.0,15.969763333333335,105.0,30.0,"{""iteration_limit"":3}"
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,point_loop_control,"[""single_gn_clip""]","[""d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663""]",0.0,0.0,2.0923963333333333,13.0,7.0,"{""stationary"":3}"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,single_gn_k0,"[""single_gn_clip""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,3.8952046666666664,100.0,15.0,"{""stationary"":3}"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,single_gn_k1,"[""single_gn_clip""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,3.8698536666666663,100.0,15.0,"{""stationary"":3}"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,task_excess_gn,"[""single_gn_clip""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,19.348892666666668,125.0,22.0,"{""stationary"":3}"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,task_excess_lbfgsb,"[""single_gn_clip""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,6.318571333333333,35.0,,"{""optimizer_stop"":3}"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,task_excess_isotropic,"[""single_gn_clip""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,17.48933,117.0,30.0,"{""iteration_limit"":3}"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,point_loop_control,"[""single_gn_clip""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,13.977568333333334,101.0,18.0,"{""stationary"":3}"
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,single_gn_k0,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,3.784777,100.0,15.0,"{""stationary"":3}"
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,single_gn_k1,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",0.0,0.0,3.9901913333333336,106.0,14.0,"{""no_descent"":3}"
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,task_excess_gn,"[""single_gn_osqp""]","[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]",1.0,1.0,2.9713243333333335,17.0,7.0,"{""task_admissible"":3}"
