input_id,robot,point_failure_fraction,task_excess_accept_fraction,stable_recovery,point_endpoint_near_stationary_raw_1e_5,near_stationary_with_independent_legal_command,categories,maximum_projected_gradient_inf,maximum_projected_gradient_scaled,endpoint_active_constraints
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,1.0,0.0,False,True,False,"[""both_fail""]",8.427874686106618e-06,5.935022847315774e-06,"[{""joint"":0,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.2855497794567914},{""joint"":2,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.026546157323769748},{""joint"":6,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.42002396670103526}]"
2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46,panda,1.0,0.0,False,True,False,"[""position_fail""]",1.7262007960816561e-06,5.056186827968151e-07,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.2677621386665101},{""joint"":4,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.414036812352792}]"
38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e,panda,1.0,1.0,True,True,True,"[""position_fail""]",5.516568904462282e-07,4.006828940911303e-07,"[{""joint"":2,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.11138138387361451},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-0.37679171879187046}]"
39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81,panda,1.0,1.0,True,True,True,"[""orientation_fail""]",4.298397615620786e-07,7.148036966535804e-08,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.0015723819359427793},{""joint"":6,""side"":""upper"",""kind"":""physical"",""gradient"":-5.013395895606209}]"
3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d,panda,1.0,1.0,True,True,True,"[""position_fail""]",5.516546899841934e-07,4.0068129583775703e-07,"[{""joint"":2,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.1113813838739785},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-0.3767917187918056}]"
4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b,panda,1.0,0.0,False,True,False,"[""position_fail""]",1.9240663036157457e-06,5.684651816465769e-07,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.267768812690266},{""joint"":4,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.3846686934151857}]"
45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae,panda,1.0,1.0,True,True,True,"[""orientation_fail""]",4.298392348722757e-07,7.148028207927623e-08,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.0015723819414179552},{""joint"":6,""side"":""upper"",""kind"":""physical"",""gradient"":-5.0133958956059566}]"
4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402,panda,1.0,0.0,False,True,False,"[""both_fail""]",1.4265284711267867e-06,1.0270516706199024e-06,"[{""joint"":0,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.30589316665919886},{""joint"":6,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.3889549201217599}]"
4d824fcbe98ef5c10812f59139ebd51a12365b7e6d7efadfc76ffdcdccd427c6,ur5e,1.0,0.0,False,True,False,"[""position_fail""]",1.7461893317971544e-06,4.228219641813693e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.129845371628157}]"
5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2,panda,1.0,0.0,False,True,False,"[""orientation_fail""]",1.4044767748799813e-07,1.260596036871868e-07,"[{""joint"":2,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.11413706992538952},{""joint"":4,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.01921595364142581}]"
